SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
SEARCHEMIN,EQ,14,14.4,12,12,12,13.25,1900,26285,2-APR-1998,
SEARLEIND,EQ,39.25,39.4,37.15,37.6,37.6,37.8,40050,1517655,2-APR-1998,
SECALS,EQ,9.5,10.55,9.5,10.5,10.55,10,1000,9945,2-APR-1998,
SESAGOA,EQ,289.7,292.05,284.5,290.15,289,285.4,103950,29956262.5,2-APR-1998,
SESHAPAPER,EQ,26.8,26.8,25.9,26.7,26.7,25.4,900,23540,2-APR-1998,
SHAANINTER,EQ,4.4,4.4,4,4.3,4.3,4.35,3400,14430,2-APR-1998,
SHALMPAINT,EQ,24.75,24.75,24.75,24.75,24.75,22.5,100,2475,2-APR-1998,
SHAMKNFAB,EQ,11,11,10.2,10.2,10.2,10.1,300,3140,2-APR-1998,
SHAMKNSPIN,EQ,3.5,3.5,3.1,3.25,3.25,3.5,3600,11610,2-APR-1998,
SHANTIGEAR,EQ,74.5,75,74.5,75,75,74,700,52450,2-APR-1998,
SHASUNCHEM,EQ,24,24.15,22.6,22.65,22.6,23.75,1300,30505,2-APR-1998,
SHAWALLACE,EQ,28.5,29.9,28.1,28.1,28.1,29.5,1300,37535,2-APR-1998,
SHAWGELTIN,EQ,31,32,30,30,30,30.75,1400,43240,2-APR-1998,
SHIVLOHMIL,EQ,1.7,1.75,1.55,1.55,1.7,1.5,1300,2065,2-APR-1998,
SHOPINVFIN,EQ,3.55,3.55,3.25,3.25,3.25,3.2,1100,3815,2-APR-1998,
SHREDIGCEM,EQ,32.5,32.5,32.5,32.5,32.5,32.5,200,6500,2-APR-1998,
SHREECEM,EQ,16.5,17.25,16.3,16.85,16.5,16.5,9900,166062.5,2-APR-1998,
SHREEKRPET,EQ,22.5,22.85,22,22.85,22.85,22.5,1750,38967.5,2-APR-1998,
SHREEKRPOL,EQ,14,14.35,14,14.35,14.35,13.6,1200,16835,2-APR-1998,
SHREESYNTH,EQ,6.9,7.1,6.5,7,7,6.7,900,6195,2-APR-1998,
SHRENUJ,EQ,14.5,14.5,14.5,14.5,14.5,14.7,300,4350,2-APR-1998,
SHREPRECOT,EQ,4.9,4.9,4.9,4.9,4.9,4.25,100,490,2-APR-1998,
SHRERAJSYN,EQ,13.85,13.85,13.85,13.85,13.85,12.8,100,1385,2-APR-1998,
SHREYASHIP,EQ,8.95,9.1,8.5,8.5,8.5,8,1400,12125,2-APR-1998,
SHRIDINESH,EQ,325,330,320,325,325,333,40,13080,2-APR-1998,
SHRIRAMINV,EQ,8.2,8.35,8.2,8.35,8.35,8.35,1000,8275,2-APR-1998,
SHRMHONDA,EQ,225,226.95,222.5,225.3,225,224.75,2500,562045,2-APR-1998,
SHYAMTELE,EQ,40.2,43.8,40.2,43.05,43,39.95,1300,55570,2-APR-1998,
SIEL,EQ,27.25,27.25,26,26.25,26.25,26.45,11400,299025,2-APR-1998,
SIEMENS,EQ,254,254,245,248.25,245,245,56950,14204622.5,2-APR-1998,
SILTAPCHEM,EQ,103.5,103.8,102.1,102.95,103.4,103.95,2100,216215,2-APR-1998,
SILVERLINE,EQ,51.8,53.2,50.1,51.8,51.8,48.4,515500,26838990,2-APR-1998,
SIMPLEXCON,EQ,46.8,46.8,45.2,46.5,46.5,45,800,36670,2-APR-1998,
SINGER,EQ,40,40.4,39.05,39.9,40.2,39,750,29665,2-APR-1998,
SIRIS,EQ,66.6,68.8,66.6,67,67,68.4,3000,202495,2-APR-1998,
SIRPAPER,EQ,21.8,21.8,21.8,21.8,21.8,21.9,200,4360,2-APR-1998,
SIVIND,EQ,23.35,23.4,23.35,23.4,23.4,21.25,4000,93585,2-APR-1998,
SIYARSILK,EQ,41.7,44,41.7,42,42,40,700,29575,2-APR-1998,
SKFBEARING,EQ,1445,1445,1368,1375,1375,1380,75,103905,2-APR-1998,
SKUMARSYNF,EQ,17.5,17.5,17.5,17.5,17.5,17.35,100,1750,2-APR-1998,
SMDYECHEM,EQ,1.6,1.8,1.45,1.45,1.45,1.7,3500,5320,2-APR-1998,
SMITHKLPHA,EQ,697,700,673,682.3,680,692.65,33100,22751832.5,2-APR-1998,
SMITKLBECH,EQ,443,443,437.5,438.3,437.6,441.1,32500,14284355,2-APR-1998,
SMZSCHEM,EQ,8.65,8.65,8.65,8.65,8.65,7.5,100,865,2-APR-1998,
SNOWCEMIND,EQ,53,53,50.75,51.75,51.75,52.4,1700,87165,2-APR-1998,
SOFTSOLINT,EQ,214.4,219,204.5,209,209.2,201.6,133100,28258325,2-APR-1998,
SOLPHARMA,EQ,13,13.95,13,13.85,13.9,13.5,3000,41035,2-APR-1998,
SOMANICEM,EQ,2.25,2.5,2.25,2.3,2.3,2.3,1200,2755,2-APR-1998,
SOMANISWIS,EQ,1.2,1.2,1.1,1.1,1.1,1.1,600,710,2-APR-1998,
SONASTEER,EQ,52,52,51,51,51,52,700,36100,2-APR-1998,
SOUNDCRAFT,EQ,242,242,239.1,241,241,240.95,5400,1300560,2-APR-1998,
SOUTHNHERB,EQ,19.75,19.9,19,19.15,19.15,19.55,13400,260475,2-APR-1998,
SPARTEK,EQ,4.65,4.65,4.65,4.65,4.65,4.7,150,697.5,2-APR-1998,
SPECIALSTL,EQ,14.95,14.95,14.25,14.55,14.55,14.55,6150,89532.5,2-APR-1998,
SPENTXIND,EQ,3.75,3.8,3.5,3.5,3.5,3.85,1300,4685,2-APR-1998,
SPIC,EQ,34.55,34.8,33.75,33.8,33.8,34.6,116600,3971627.5,2-APR-1998,
SPICELEC,EQ,5,5,4.55,4.75,4.75,4.8,1100,5160,2-APR-1998,
SPICFINE,EQ,23.25,23.9,22.8,23.25,23.05,23.1,17200,400220,2-APR-1998,
SPLLTD,EQ,54,56,53.6,53.6,53.6,54,3700,202855,2-APR-1998,
