SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,30.5,31.15,30.3,30.45,30.65,30.65,70606,2159514.95,20-SEP-2013,824,INE144J01027,
3IINFOTECH,EQ,4.45,4.5,4.3,4.4,4.4,4.5,352586,1542377.25,20-SEP-2013,544,INE748C01020,
3MINDIA,EQ,3050.05,3115,3050.05,3090,3090,3115,114,351816.6,20-SEP-2013,14,INE470A01017,
A2ZMES,EQ,10,10.4,9.75,9.8,9.8,10,53488,530510,20-SEP-2013,218,INE619I01012,
AARTIDRUGS,EQ,194.4,198.5,192,194.9,195,196.4,2319,451312.35,20-SEP-2013,89,INE767A01016,
AARTIIND,EQ,72,72.65,70.4,71.15,71.45,72,22734,1617759.85,20-SEP-2013,116,INE769A01020,
AARVEEDEN,EQ,30.05,31.7,29.5,31.3,31.3,31.25,2907,88752.8,20-SEP-2013,94,INE273D01019,
ABAN,EQ,226.8,226.8,213,214.3,214.35,226,381720,83486504.6,20-SEP-2013,9556,INE421A01028,
ABB,EQ,569,573.7,552.2,563.15,559.5,569.05,60778,34147018.15,20-SEP-2013,2950,INE117A01022,
ABBOTINDIA,EQ,1395,1408,1359.95,1366.3,1360,1400,1205,1656660.35,20-SEP-2013,394,INE358A01014,
ABCIL,BE,85,85,80.55,82.9,82.9,83.55,1383,116101.35,20-SEP-2013,24,INE605B01016,
ABGSHIP,EQ,262.55,269.95,244.4,255.45,259,266.35,26106,6695599.2,20-SEP-2013,2353,INE067H01016,
ABIRLANUVO,EQ,1222.65,1244.35,1181,1218.9,1212.9,1243,120469,146572403.15,20-SEP-2013,10927,INE069A01017,
ACC,EQ,1097,1129,1060.6,1123.25,1121.35,1097.95,348333,384417096.1,20-SEP-2013,19965,INE012A01025,
ACCELYA,EQ,577,580,565.4,570.1,571,582.45,7012,4004176.2,20-SEP-2013,476,INE793A01012,
ACE,EQ,8.7,8.9,8.45,8.55,8.65,8.7,172757,1489439.55,20-SEP-2013,475,INE731H01025,
ACROPETAL,BE,5.4,5.5,5.05,5.35,5.35,5.25,13090,71135.8,20-SEP-2013,39,INE055L01013,
ADANIENT,EQ,150.75,156.4,140.05,151.05,152.2,149.35,4115108,613945576.25,20-SEP-2013,55206,INE423A01024,
ADANIPORTS,EQ,137.3,141.2,136,139.7,139.35,137.95,2326944,322331646.35,20-SEP-2013,19510,INE742F01042,
ADANIPOWER,EQ,35.2,35.8,33.65,34.2,34.4,35.15,2867079,99492502.9,20-SEP-2013,9229,INE814H01011,
ADFFOODS,EQ,46,46.4,44.55,45,44.9,46.9,4363,198253.8,20-SEP-2013,211,INE982B01019,
ADHUNIK,EQ,28.25,29.5,28.15,28.25,28.3,28.55,60072,1717925.3,20-SEP-2013,424,INE400H01019,
ADORWELD,EQ,95,98,94.7,95.45,95,95.15,1800,172805.9,20-SEP-2013,90,INE045A01017,
ADSL,EQ,23.05,23.15,21,21.05,21.1,22.1,160403,3500891.05,20-SEP-2013,388,INE102I01027,
ADVANTA,EQ,121.25,121.5,116.5,117.65,119.65,119.75,4835,571410.6,20-SEP-2013,289,INE517H01028,
AEGISCHEM,EQ,123.5,128.45,121.05,121.5,121.5,124.45,5016,617680.05,20-SEP-2013,255,INE208C01017,
AFL,EQ,21.3,22,20.9,20.9,20.9,21.5,1228,26185.25,20-SEP-2013,18,INE020G01017,
AFTEK,BE,3.65,3.65,3.35,3.35,3.35,3.5,42742,144856.45,20-SEP-2013,49,INE796A01023,
AGCNET,EQ,80.1,85.35,80,81.65,83.45,85.3,1088,88018.4,20-SEP-2013,31,INE676A01019,
AHLUCONT,EQ,17.05,17.6,16.85,16.95,16.9,17,7519,129182.45,20-SEP-2013,168,INE758C01029,
AHMEDFORGE,EQ,90.05,90.1,88.05,88.9,89.2,90.95,12219,1094612,20-SEP-2013,201,INE425A01011,
AIAENG,EQ,317.5,324,317.15,320.05,320.05,320,1132,363154.35,20-SEP-2013,105,INE212H01026,
AIL,EQ,322.2,327.5,312,319,322,326.55,23686,7563220.7,20-SEP-2013,1418,INE878A01011,
AJANTPHARM,EQ,665.05,799,665.05,761.5,772.1,669.35,427142,307907356.15,20-SEP-2013,23190,INE031B01031,
AJMERA,EQ,60.7,60.9,58.2,58.35,58.3,60.85,1480,88344.65,20-SEP-2013,56,INE298G01027,
AKSHOPTFBR,EQ,15.9,16.3,15.75,16.15,16.3,16.05,24658,398128.85,20-SEP-2013,162,INE523B01011,
AKZOINDIA,EQ,837,855,809.95,817,810,845.1,3513,2922816.7,20-SEP-2013,406,INE133A01011,
ALBK,EQ,86.95,87.1,77.9,83.1,83.75,86.05,5205001,428817159.1,20-SEP-2013,35778,INE428A01015,
ALCHEM,EQ,38.55,39.5,35.2,37.05,37.4,38.75,8179,305615.05,20-SEP-2013,109,INE964B01033,
ALEMBICLTD,EQ,25.9,27.4,25.5,26.85,26.9,25.3,271188,7219151.9,20-SEP-2013,1739,INE426A01027,
ALKALI,EQ,15.85,15.85,15.4,15.5,15.5,15.6,1244,19375.6,20-SEP-2013,33,INE773I01017,
ALKYLAMINE,EQ,151,151,145,145,145,144,6200,900200,20-SEP-2013,5,INE150B01013,
