SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,35.65,37.8,35.65,36.95,37.2,35.65,73823,2713169.7,13-SEP-2019,824,INE144J01027,
3IINFOTECH,EQ,2.4,2.4,2.2,2.3,2.35,2.35,1439532,3272850.45,13-SEP-2019,607,INE748C01020,
3MINDIA,EQ,20142.1,20499.95,20142.1,20352.55,20420,20142.1,763,15490996.35,13-SEP-2019,445,INE470A01017,
3PLAND,EQ,6.15,6.15,6.15,6.15,6.15,6.15,144,885.6,13-SEP-2019,3,INE105C01023,
5PAISA,EQ,146.95,147,136.55,139.95,140,143.65,14195,1984947.05,13-SEP-2019,420,INE618L01018,
63MOONS,EQ,124.7,126.35,119.25,121.3,120,125.35,172112,21108461,13-SEP-2019,3366,INE111B01023,
700GS2021,GS,95.99,105,95.99,105,105,100,140,14069.3,13-SEP-2019,3,IN0020180470,
824GS2027,GS,98.09,98.09,98,98,98,102.45,100,9801.8,13-SEP-2019,2,IN0020060078,
8KMILES,EQ,64.65,64.65,59.2,64.65,64.65,61.6,259614,16330733.15,13-SEP-2019,2323,INE650K01021,
A2ZINFRA,EQ,10.1,10.65,10.05,10.3,10.25,10.35,204211,2099940.6,13-SEP-2019,394,INE619I01012,
AARON,SM,46,46,46,46,46,45.9,6600,303600,13-SEP-2019,2,INE721Z01010,
AARTIDRUGS,EQ,437,440.5,434,439.05,440,437.9,6289,2742250.35,13-SEP-2019,430,INE767A01016,
AARTIIND,EQ,1585.15,1599.95,1576,1583.3,1578,1585.15,15828,25091734.6,13-SEP-2019,1336,INE769A01020,
AARVEEDEN,EQ,16.85,16.95,15.2,16.45,16.6,15.6,19956,327611.4,13-SEP-2019,113,INE273D01019,
AARVI,SM,28.5,28.5,28.5,28.5,28.5,28,2000,57000,13-SEP-2019,1,INE754X01016,
AAVAS,EQ,1540,1540,1495,1508.55,1507,1541.6,11479,17338099.75,13-SEP-2019,1588,INE216P01012,
ABAN,EQ,29,29.4,27.15,29.4,29.4,28,197920,5618745.85,13-SEP-2019,1536,INE421A01028,
ABB,EQ,1340.35,1365,1325.3,1348.05,1365,1334.15,52412,70384682,13-SEP-2019,3728,INE117A01022,
ABBOTINDIA,EQ,9721.05,9887.8,9721.05,9833.25,9875,9761.55,4298,42211682.2,13-SEP-2019,1393,INE358A01014,
ABCAPITAL,EQ,96,96.8,94.05,94.55,94.35,95.9,808919,76717980.25,13-SEP-2019,9790,INE674K01013,
ABFRL,EQ,188.9,190.05,187,189.3,188.3,187.65,371420,69997809.45,13-SEP-2019,9455,INE647O01011,
ABMINTLTD,BE,15.3,15.3,14.6,14.6,14.6,14.6,728,10705.1,13-SEP-2019,7,INE251C01017,
ABSLNN50ET,EQ,266.25,266.25,262.07,266.21,266.21,264.49,82,21689.69,13-SEP-2019,4,INF209KB1B87,
ABSLRIF6RG,MF,6.7,6.7,6.31,6.31,6.31,6.69,11500,76567,13-SEP-2019,4,INF209KB1LL4,
ACC,EQ,1482,1531.75,1470.65,1526.65,1529.2,1481.55,1164140,1742771740.5,13-SEP-2019,33393,INE012A01025,
ACCELYA,EQ,843.1,852.9,828.1,831.95,829,843.1,1629,1358358.55,13-SEP-2019,213,INE793A01012,
ACCURACY,SM,36.8,36.8,35,35,35,36.8,17600,644800,13-SEP-2019,2,INE648Z01015,
ACE,EQ,72.15,72.8,70.2,70.7,70.9,71.65,98014,6978506.4,13-SEP-2019,1013,INE731H01025,
ADANIENT,EQ,143,146.9,140.55,145.75,145.3,143.05,3561056,512489586.3,13-SEP-2019,18665,INE423A01024,
ADANIGAS,EQ,140.05,144.8,138.6,143.25,143.55,138.05,1503990,214077278.95,13-SEP-2019,9652,INE399L01023,
