SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
3IINFOTECH,EQ,310,311.35,302.1,303.2,303,310.35,443258,135996931.2,30-MAY-2007,
3MINDIA,EQ,1770,1857.6,1770,1835,1835,1786.35,2525,4579283.1,30-MAY-2007,
AARTIDRUGS,EQ,65.6,66.5,64.6,64.85,64.9,66.05,1446,94661.4,30-MAY-2007,
AARTIIND,EQ,25.4,25.65,24.9,25,24.9,25.1,13342,336093.8,30-MAY-2007,
AARVEEDEN,EQ,103,104.1,102.9,103,103.2,102.75,30560,3172829.75,30-MAY-2007,
ABAN,EQ,2510,2594,2505,2521.35,2515.05,2553.8,42536,108822448.3,30-MAY-2007,
ABB,EQ,4561,4630,4490.15,4513.05,4515,4580.65,66706,304938810.35,30-MAY-2007,
ABGSHIP,EQ,425,443,420.1,430.1,430,426.65,60962,26395830.3,30-MAY-2007,
ABIRLANUVO,EQ,1369,1400,1336.25,1364.85,1345,1369.65,199089,274204228.15,30-MAY-2007,
ABSHEKINDS,EQ,19,19.2,18.55,18.65,18.55,19.15,53172,1006198.25,30-MAY-2007,
ACC,EQ,850,880.95,769.8,860.35,858.6,870.2,352578,306571871.55,30-MAY-2007,
ACE,EQ,266,271.95,253.7,271.95,271.95,259,93227,24903502.35,30-MAY-2007,
ADANIENT,EQ,200,220,191.55,215.65,215,212.8,1031179,216589641.85,30-MAY-2007,
ADHUNIK,EQ,57.5,58.2,55.15,55.15,55.15,58.05,183734,10307851.2,30-MAY-2007,
ADLABSFILM,EQ,530,544.5,522.25,525.05,525,536.75,164798,87981610.1,30-MAY-2007,
ADORWELD,EQ,243,250,240.25,242.1,242,243.85,23721,5792103.2,30-MAY-2007,
ADVANTA,EQ,994.6,1032,980,995.35,999,1001.95,521712,527307812.45,30-MAY-2007,
AEGISCHEM,EQ,142,145.9,138.1,138.65,138.8,142.25,39787,5688509.6,30-MAY-2007,
AFL,BE,56.5,56.9,54.5,54.8,54.6,56,14370,800828,30-MAY-2007,
AFTEK,EQ,73.5,74.25,71,71.3,71.15,73.9,754924,54717552.05,30-MAY-2007,
AGRODUTCH,EQ,31.2,32.2,29.1,29.5,29.6,31,82062,2526417.45,30-MAY-2007,
AHMEDFORGE,EQ,228,233.75,228,232.85,232.5,228.45,2770,640698.6,30-MAY-2007,
AIAENG,EQ,1604,1620,1530,1542.7,1543,1609.4,26027,41177028.25,30-MAY-2007,
AICHAMP,EQ,98.9,100,95.05,96.6,96.95,96,7871,776763.95,30-MAY-2007,
AIRDECCAN,EQ,134.4,138,129.85,130.95,130,135.5,1269291,169599821.7,30-MAY-2007,
AJANTPHARM,EQ,81,83.2,81,82.8,83,82.4,18791,1553647.25,30-MAY-2007,
AKRUTI,EQ,378,383,366.35,370.35,366.35,379.15,67858,25474973.2,30-MAY-2007,
AKSHOPTFBR,EQ,45.85,46,45,45.05,45.05,45.85,20502,930427.25,30-MAY-2007,
ALBK,EQ,83.5,88.5,83.5,86.6,86.35,88.15,151503,13268186.45,30-MAY-2007,
ALCHEMIST,EQ,8.5,8.5,8.3,8.35,8.35,8.45,75366,631199.55,30-MAY-2007,
ALEMBICLTD,EQ,65,67.7,63.35,63.75,64,67.2,98346,6427560.4,30-MAY-2007,
ALFALAVAL,EQ,1154,1175,1154,1159.15,1155.05,1151.85,3259,3785064.25,30-MAY-2007,
ALLCARGO,EQ,965,1000,965,976.2,990,1002.45,736,729848.35,30-MAY-2007,
ALLSEC,EQ,268,268,263,265,266.45,262.6,4550,1207476.3,30-MAY-2007,
ALOKTEXT,EQ,59.8,60.55,59.05,59.45,59.25,59.7,342976,20535651.45,30-MAY-2007,
ALPHAGEO,EQ,300,312.45,300,312.45,312.45,297.55,5242,1623900.8,30-MAY-2007,
ALPSINDUS,EQ,46.85,47,46,46.3,46,46.85,23629,1098876.15,30-MAY-2007,
AMAR,EQ,35.5,35.7,34.7,34.9,34.8,35.4,46883,1649249.05,30-MAY-2007,
AMARAJABAT,EQ,406.95,408,395.15,397.55,396,400.4,11300,4508308.25,30-MAY-2007,
AMBICAAGAR,EQ,12.5,13.6,12.4,12.45,12.55,12.85,17377,218868.35,30-MAY-2007,
AMDMET,EQ,62.4,65.3,56.75,59.15,58.7,63.25,3182436,186099505.05,30-MAY-2007,
AML,EQ,48.4,50,47.65,48.1,48.15,48.75,138729,6761092.9,30-MAY-2007,
AMTEKAUTO,EQ,401,406.9,398,403.95,404.5,404.35,61579,24840161.85,30-MAY-2007,
AMTEKINDIA,EQ,156,158.85,155,156.3,155.8,154.35,145684,22774413.75,30-MAY-2007,
ANANTRAJ,EQ,1245,1254.8,1210.05,1248.5,1220,1247.6,7701,9559214.1,30-MAY-2007,
ANDHRABANK,EQ,89.9,90.95,86.2,86.7,86.8,89.7,386073,34181275.7,30-MAY-2007,
ANDHRSUGAR,EQ,92,92.5,91.5,92.05,92.05,92.3,8530,785168.45,30-MAY-2007,
ANGAUTO,EQ,271.2,285,271.1,275.5,275.5,285.4,277,76189.2,30-MAY-2007,
ANKURDRUGS,EQ,291,296.15,286.75,292.8,295.95,282.05,8145,2391238.3,30-MAY-2007,
ANSALHSG,EQ,235.5,258.05,235.5,252.1,253.5,245.75,19332,4922357.6,30-MAY-2007,
ANSALINFRA,EQ,329,339.9,320.1,322.45,321.3,330.4,480196,159746409.5,30-MAY-2007,
ANTGRAPHIC,EQ,0.45,0.45,0.4,0.4,0.4,0.45,44204,19091.6,30-MAY-2007,
APARINDS,EQ,170,178.5,169.9,170,170,173.5,3030,519173.3,30-MAY-2007,
APCOTEXIND,EQ,36.45,36.45,35,35.4,35,35.7,2568,90617.8,30-MAY-2007,
APIL,EQ,548.9,582,545,564.9,564.1,547.3,462385,263067884.85,30-MAY-2007,
APOLLOHOSP,EQ,480.1,525,478,506.95,501,480.25,40766,20669167.9,30-MAY-2007,
APOLLOTYRE,EQ,355,364,354,358.15,361.8,353.6,58184,20994170.75,30-MAY-2007,
APPAPER,EQ,93.75,97.5,93.75,94.5,95,96.3,1025,97484.25,30-MAY-2007,
APTECHT,EQ,311.9,323.45,308.05,309.25,308.6,312.8,1399967,443794027,30-MAY-2007,
ARCHIES,EQ,130,139.65,126.1,131.6,132.4,129.5,70946,9550536,30-MAY-2007,
ARIHANT,EQ,300,307.55,299,300,300,301.45,2412,723299.9,30-MAY-2007,
ARL,EQ,1.7,1.75,1.65,1.7,1.7,1.7,249745,422342.5,30-MAY-2007,
AROGRANITE,EQ,101,101,98.35,98.65,99,100,602,59731.7,30-MAY-2007,
ARSBONDS,N1,98.01,98.1,98,98.05,98.05,98.03,76193,7467286.72,30-MAY-2007,
ARVINDMILL,EQ,45.2,45.2,43.9,44.15,44.1,45.2,1989834,88618644.2,30-MAY-2007,
ASAHIINDIA,EQ,112.55,113,107.5,108.2,109,112.6,68738,7561545.45,30-MAY-2007,
ASAL,EQ,109.9,109.9,105.25,105.35,107.9,109.1,655,69458.1,30-MAY-2007,
ASHAPURMIN,EQ,296.8,300.95,280.15,282.15,283,294.9,147807,42609386.45,30-MAY-2007,
ASHIMASYN,EQ,8,8.15,7.85,8,8.15,8.2,20823,165981.75,30-MAY-2007,
ASHOKLEY,EQ,37.4,38.1,37,37.4,37.4,37.3,2655001,99937867.8,30-MAY-2007,
ASIANELEC,EQ,603,624.6,587.1,593,590,600.2,28535,17353589,30-MAY-2007,
ASIANHOTEL,EQ,761.55,780,761.55,770.15,770,770.3,876,674609.95,30-MAY-2007,
ASIANPAINT,EQ,818.05,833.95,818.05,824.9,818.45,831.95,83816,69547296.6,30-MAY-2007,
ASIL,EQ,6.25,7,6.25,6.7,6.7,6.45,4702,31393.05,30-MAY-2007,
ASSAMCO,EQ,18.85,18.85,18,18.7,18.85,17.95,3389468,63348230.6,30-MAY-2007,
ASTRAL,EQ,113.8,114,112,112.55,113,113.8,10894,1232255.95,30-MAY-2007,
ASTRAMICRO,EQ,134,138.5,133,134.2,134,134.65,35049,4739817.35,30-MAY-2007,
ASTRAZEN,EQ,629,630,628,630,630,617.65,44,27684.75,30-MAY-2007,
ATFL,EQ,128,131,121.15,121.95,123,127.5,118197,15038388.9,30-MAY-2007,
ATLANTA,EQ,380,385,370.15,372.05,374,380.9,98052,37014550.7,30-MAY-2007,
ATLASCYCLE,EQ,144.85,144.85,142.3,142.45,142.4,144.85,1138,163089.45,30-MAY-2007,
ATNINTER,EQ,2.1,2.1,2,2,2,2.05,20100,40837.5,30-MAY-2007,
ATUL,EQ,88,88.8,87.1,87.6,87.5,88.8,3905,343025.3,30-MAY-2007,
AURIONPRO,EQ,341,341.8,335,336.2,341.8,340.9,8895,2988793.55,30-MAY-2007,
AUROPHARMA,EQ,698,704,680.25,685.7,681,695.75,383030,266993593.25,30-MAY-2007,
AUTOAXLES,EQ,558,575,551,561.4,564,558.05,1254,703059.25,30-MAY-2007,
AUTOIND,EQ,232.6,234,226,230.4,231.4,232.6,35079,8122926.95,30-MAY-2007,
AVAYAGCL,EQ,344.2,375.5,338,360.2,361.05,341.9,708511,255629865.1,30-MAY-2007,
AVENTIS,EQ,1300,1320,1294.1,1311.5,1310,1301.15,2069,2708729.65,30-MAY-2007,
AVTNPL,EQ,98.9,98.9,96.1,96.1,96.1,96.35,532,51184,30-MAY-2007,
AXIS-IT&T,EQ,11,11.1,10.95,11,11.1,10.7,970,10667,30-MAY-2007,
AZTECSOFT,EQ,90,91.4,89.65,90.05,90,90.8,29892,2709361.5,30-MAY-2007,
BAGFILMS,BE,46,46.5,43.65,44.35,45,45.8,158647,7147403.2,30-MAY-2007,
BAJAJAUTO,EQ,2180,2240,2180,2202.3,2192,2192.6,456480,1010128799.95,30-MAY-2007,
BAJAJHIND,EQ,173.1,174.55,168.3,170.4,170,174.5,1299939,222589665.15,30-MAY-2007,
BAJAUTOFIN,EQ,401,405,380,386.6,385,401.15,12922,5105660.6,30-MAY-2007,
BALAJITELE,EQ,220.9,224.55,212,213.35,213.2,221.7,430187,94303295.35,30-MAY-2007,
BALAMINES,EQ,125.15,126.55,125.1,126.55,126.55,128.5,445,55865.5,30-MAY-2007,
BALASPONGE,EQ,84.1,84.1,82.25,82.45,82.55,84.35,1800,148955.15,30-MAY-2007,
BALASTEELS,EQ,28.1,29.2,28.1,28.5,28.5,28.15,18622,531101.1,30-MAY-2007,
BALKRISIND,EQ,492,499.9,476.15,486.7,482.5,492.4,1317,642890.9,30-MAY-2007,
BALMLAWRIE,EQ,430,435,425,425,425,435.95,607,260473.25,30-MAY-2007,
BALPHARMA,EQ,27.95,27.95,26.7,27.05,27.1,27.85,11364,307573.7,30-MAY-2007,
BALRAMCHIN,EQ,75.2,75.95,70.1,70.55,70.75,75.2,2496222,179713259.8,30-MAY-2007,
BANARISUG,EQ,802.1,802.1,800,800,800,806.75,1738,1390450,30-MAY-2007,
BANCOINDIA,EQ,251.4,280,251.4,271.95,275,267,756,204625.65,30-MAY-2007,
BANKBARODA,EQ,271.5,277,270,272.45,273.9,275.15,210441,57485936.85,30-MAY-2007,
BANKBEES,EQ,625,630,625,630,630,634,46,28765,30-MAY-2007,
BANKINDIA,EQ,211.7,214.6,208.15,209.15,209.2,212.8,884868,187241061.8,30-MAY-2007,
BANKRAJAS,EQ,54.5,59.9,54.5,58.5,57.9,55.25,3314028,191835557.4,30-MAY-2007,
BANSWRAS,EQ,65.05,65.05,64.05,64.15,64.05,64.75,3145,203839.5,30-MAY-2007,
BARTRONICS,EQ,133,133,129,129.8,129.8,132.5,80219,10527045.45,30-MAY-2007,
BASF,EQ,271,275,265,266.45,267,270.65,26545,7182048.05,30-MAY-2007,
BASML,EQ,80.9,81,80.1,80.7,80.95,80.6,1779,143047.2,30-MAY-2007,
BATAINDIA,EQ,172,180.05,170,173.8,174,172.6,420853,74271977.35,30-MAY-2007,
BATLIBOI,EQ,107.95,107.95,105.5,105.75,105.65,106.7,5120,544932.15,30-MAY-2007,
