SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,,DELIV_QTY,DELIV_PER
1018GS2026,GS,121.31,121.31,121.31,121.31,121.31,115.54,1,121.31,16-JAN-2024,1,IN0020010081,,1,100.00
182D070324,TB,98.95,98.95,98.95,98.95,98.95,98.81,1000,98950,16-JAN-2024,1,IN002023Y243,,,
182D090524,TB,97.76,97.76,97.59,97.59,97.59,97.6,10100,986213,16-JAN-2024,17,IN002023Y334,,,
182D130624,TB,97.11,97.11,97.11,97.11,97.11,96.9,1000,97110,16-JAN-2024,2,IN002023Y383,,,
182D140324,TB,98.66,98.66,98.66,98.66,98.66,98.75,800,78928,16-JAN-2024,1,IN002023Y250,,,
182D160524,TB,97.64,97.64,97.64,97.64,97.64,97.53,200,19528,16-JAN-2024,1,IN002023Y342,,,
182D200624,TB,96.75,96.76,96.75,96.75,96.75,96.75,500,48376,16-JAN-2024,4,IN002023Y391,,,
182D210324,TB,98.61,98.61,98.61,98.61,98.61,98.61,100,9861,16-JAN-2024,1,IN002023Y268,,,
182D230524,TB,97.51,97.51,97.3,97.3,97.3,97.49,1100,107240,16-JAN-2024,4,IN002023Y359,,,
182D250424,TB,98.01,98.01,97.9,97.9,97.9,97.91,100000,9790055,16-JAN-2024,5,IN002023Y318,,,
182D270624,TB,96.62,96.62,96.62,96.62,96.62,96.62,300,28986,16-JAN-2024,2,IN002023Y409,,,
182D290224,TB,99.01,99.1,99.01,99.01,99.02,98.94,6000,594110,16-JAN-2024,19,IN002023Y235,,,
20MICRONS,EQ,178,180,163.85,165.55,164.7,176.65,313902,53120527.25,16-JAN-2024,11368,INE144J01027,,197705,62.98
21STCENMGM,BE,35.45,35.45,35.45,35.45,35.45,34.8,12397,439473.65,16-JAN-2024,48,INE253B01015,,-,-
360ONE,EQ,660,668.2,654.55,661.6,661,660.55,141899,93816891.75,16-JAN-2024,11164,INE466L01038,,68293,48.13
364D020125,TB,93.57,93.57,93.57,93.57,93.57,93.5,10000,935700,16-JAN-2024,1,IN002023Z422,,,
364D051224,TB,93.7,94.01,93.7,94.01,94.01,93.66,300,28172,16-JAN-2024,2,IN002023Z380,,,
364D090125,TB,93.25,93.45,93.25,93.45,93.45,92,4000,373400,16-JAN-2024,2,IN002023Z430,,,
364D090524,TB,97.56,97.56,97.56,97.56,97.56,96.85,100,9756,16-JAN-2024,1,IN002023Z075,,,
364D121224,TB,93.86,93.86,93.86,93.86,93.86,93.75,1000,93860,16-JAN-2024,2,IN002023Z398,,,
364D160824,TB,96.01,96.01,96.01,96.01,96.01,95.85,7000,672070,16-JAN-2024,1,IN002023Z224,,,
364D180724,TB,96.3,96.3,96.3,96.3,96.3,96.26,5000,481500,16-JAN-2024,4,IN002023Z174,,,
364D191224,TB,93.41,93.82,93.41,93.82,93.82,93.41,17500,1641556,16-JAN-2024,5,IN002023Z406,,,
3IINFOLTD,EQ,56,56.85,53.45,54.2,54.3,56.1,1815385,99188226.7,16-JAN-2024,9474,INE748C01038,,867140,47.77
3MINDIA,EQ,34566.95,34699.75,34100,34335.2,34399.1,34514.4,1705,58614579.1,16-JAN-2024,1096,INE470A01017,,623,36.54
3PLAND,EQ,36.35,36.8,34.6,36.25,35.85,36.4,255841,9125900.75,16-JAN-2024,1603,INE105C01023,,136382,53.31
574GS2026,GS,96.12,97.07,96.12,97.07,97.07,97.8,5300,513959.5,16-JAN-2024,4,IN0020210186,,5250,99.06
5PAISA,EQ,640,643.45,603.6,617.2,619.9,646.25,157384,98407672,16-JAN-2024,7557,INE618L01018,,86593,55.02
610GS2031,GS,94.03,94.03,93.9,93.9,93.9,94.01,900,84536.13,16-JAN-2024,4,IN0020210095,,900,100.00
63MOONS,BE,444.55,455,441.5,448.25,448,444.55,35723,16017859.15,16-JAN-2024,881,INE111B01023,,-,-
654GS2032,GS,97,97,97,97,97,99.5,3,291,16-JAN-2024,2,IN0020210244,,3,100.00
663TN35,SG,95,95,95,95,95,95,100,9500,16-JAN-2024,1,IN3120200321,,,
664GS2035,GS,95,95,93.95,93.95,93.95,94.75,285,26776.8,16-JAN-2024,2,IN0020210020,,285,100.00
667GS2050,GS,94.7,94.7,93.55,93.55,93.55,93.99,710,66432,16-JAN-2024,2,IN0020200252,,710,100.00
669GS2024,GS,99.72,100.3,99.72,100.3,100.3,100.3,7,699.78,16-JAN-2024,2,IN0020220052,,7,100.00
689GS2025,GS,100.91,100.91,100.89,100.9,100.89,100.89,2,201.8,16-JAN-2024,2,IN0020220128,,2,100.00
68GS2060,GS,96.04,96.04,96.04,96.04,96.04,98.5,1,96.04,16-JAN-2024,1,IN0020200187,,1,100.00
695GS2061,GS,96.5,96.5,94.09,94.09,94.09,96.25,129,12188.22,16-JAN-2024,3,IN0020210202,,129,100.00
699GS2051,GS,96.9,98,96.9,97.01,98,97,1205,116878.5,16-JAN-2024,9,IN0020210194,,1205,100.00
706GS2028,GS,101.56,101.61,101.56,101.61,101.61,101.56,600,60941,16-JAN-2024,2,IN0020230010,,600,100.00
710GS2029,GS,101,102.25,101,101.99,101.99,101.95,7902,804544.24,16-JAN-2024,8,IN0020220011,,7301,92.39
716GS2050,GS,100,101,99.1,101,101,100,7997,792553.9,16-JAN-2024,8,IN0020200054,,7996,99.99
717GS2030,GS,100.5,101.39,100.5,101.39,101.39,102.46,415,41804.35,16-JAN-2024,3,IN0020230036,,415,100.00
718GS2033,GS,102.65,103.15,101.75,103,103,103,2999,306950.85,16-JAN-2024,18,IN0020230085,,2998,99.97
718GS2037,GS,100,102.99,100,102.8,102.99,102.21,10198,1047496.03,16-JAN-2024,25,IN0020230077,,10196,99.98
719GS2060,GS,104,104,104,104,104,104,2,208,16-JAN-2024,2,IN0020200039,,2,100.00
725GS2063,GS,99.99,99.99,99.65,99.78,99.79,99.47,64392,6420285.87,16-JAN-2024,39,IN0020230044,,64141,99.61
726GS2032,GS,103.61,103.75,103.61,103.68,103.7,103.5,3900,404418.85,16-JAN-2024,15,IN0020220060,,3900,100.00
726GS2033,GS,102.75,103.05,102.75,103.05,103.05,103.5,20,2058,16-JAN-2024,2,IN0020220151,,20,100.00
732GS2024,GS,103,103.33,103,103.2,103.25,102.8,18366,1895125.87,16-JAN-2024,12,IN0020180488,,14477,78.83
732GS2030,GS,101.75,102.1,101.75,102.01,102.01,102,4600,468984.1,16-JAN-2024,16,IN0020230135,,4600,100.00
733GS2026,GS,102.24,102.25,102,102.25,102.25,102.25,4000,408690.95,16-JAN-2024,16,IN0020230119,,4000,100.00
734TN43,SG,90,90,90,90,90,94,200,18000,16-JAN-2024,2,IN3120230104,,,
736GS2052,GS,102.4,102.89,102.2,102.89,102.89,102.4,1810,184986.5,16-JAN-2024,4,IN0020220086,,1800,99.45
737GS2028,GS,102,102.57,102,102.57,102.57,102.55,1100,112667,16-JAN-2024,9,IN0020230101,,1100,100.00
738GS2027,GS,101.75,101.77,101.64,101.7,101.72,101.69,60092,6113056.82,16-JAN-2024,38,IN0020220037,,59592,99.17
73GS2053,GS,99.67,100,99.2,99.99,99.99,99.79,64600,6440294.38,16-JAN-2024,61,IN0020230051,,63900,98.92
741GS2036,GS,102.5,102.5,101.8,101.9,101.9,102.5,19237,1962800.68,16-JAN-2024,26,IN0020220102,,19235,99.99
746GS2073,GS,102,102,102,102,102,102,1700,173400,16-JAN-2024,1,IN0020230127,,1700,100.00
74GS2062,GS,103,103,103,103,103,103.81,5,515,16-JAN-2024,1,IN0020220094,,5,100.00
753HR33,SG,90.25,90.25,90.25,90.25,90.25,95,100,9025,16-JAN-2024,1,IN1620230236,,,
754GS2036,GS,103.31,103.5,103.29,103.47,103.49,103.35,280456,29022348.07,16-JAN-2024,197,IN0020220029,,270789,96.55
759HR35,SG,90.25,90.25,90.25,90.25,90.25,95,100,9025,16-JAN-2024,1,IN1620230244,,,
794TN32,SG,100,100,99,99,99,102.5,2000,199000,16-JAN-2024,2,IN3120220030,,,
824GS2027,GS,105.5,107,105.5,107,107,106.5,12800,1354600,16-JAN-2024,2,IN0020060078,,10000,78.13
826GS2027,GS,107.75,107.75,107.75,107.75,107.75,106.5,3000,323250,16-JAN-2024,1,IN0020070036,,3000,100.00
828GS2027,GS,106.75,106.75,106.75,106.75,106.75,106.89,3015,321851.25,16-JAN-2024,3,IN0020070069,,3015,100.00
828GS2032,GS,107.94,107.94,107.94,107.94,107.94,107,1,107.94,16-JAN-2024,1,IN0020060086,,1,100.00
83GS2042,GS,111,111,111,111,111,111,40,4440,16-JAN-2024,1,IN0020120062,,40,100.00
91D010224,TB,99.57,99.65,99.57,99.65,99.65,99.56,200,19922,16-JAN-2024,2,IN002023X328,,,
91D040424,TB,98.35,98.45,98.29,98.37,98.45,98.45,4100,403140,16-JAN-2024,12,IN002023X419,,,
91D070324,TB,98.9,98.98,98.9,98.9,98.9,98.96,13600,1345240,16-JAN-2024,9,IN002023X377,,,
91D080224,TB,99.47,99.47,99.47,99.47,99.47,99.45,1200,119364,16-JAN-2024,5,IN002023X336,,,
91D110424,TB,98,98.4,98,98.4,98.4,98.4,1700,166769,16-JAN-2024,7,IN002023X427,,,
91D140324,TB,98.66,98.86,98.66,98.86,98.86,98.84,5300,523619,16-JAN-2024,4,IN002023X385,,,
91D210324,TB,98.56,98.75,98.56,98.71,98.75,98.56,1200,118385,16-JAN-2024,9,IN002023X393,,,
91D250124,TB,99.64,99.74,99.62,99.74,99.74,99.62,1700,169442,16-JAN-2024,4,IN002023X310,,,
91D280324,TB,98.5,98.55,98.5,98.55,98.55,98.5,200,19705,16-JAN-2024,2,IN002023X401,,,
91D290224,TB,99.08,99.1,99,99,99,99.08,1600,158524,16-JAN-2024,4,IN002023X369,,,
92GS2030,GS,113.5,114.5,113.5,114.5,114.5,113.75,2475,281912.35,16-JAN-2024,5,IN0020130053,,2475,100.00
A2ZINFRA,BE,14.2,14.2,13.95,13.95,13.95,14.2,247497,3487921.4,16-JAN-2024,186,INE619I01012,,-,-
AAATECH,BE,100,101,94.4,94.95,98,99.35,57108,5538700.9,16-JAN-2024,451,INE0D0U01013,,-,-
AAKASH,BE,10,10,9.8,9.9,9.9,10,230040,2278030.6,16-JAN-2024,510,INE087Z01024,,-,-
AAREYDRUGS,BE,57.6,57.95,55.05,55.55,55.4,57.5,49167,2776894.5,16-JAN-2024,521,INE198H01019,,-,-
AARON,EQ,284,287,275.4,285.35,284.9,279.5,16129,4555071.1,16-JAN-2024,887,INE721Z01010,,10709,66.40
AARTECH,EQ,144.9,144.9,141.15,142.15,142.65,143.7,8531,1215929.85,16-JAN-2024,609,INE01C001018,,3703,43.41
AARTIDRUGS,EQ,532.95,539.35,529.95,532.7,534.45,532.3,509522,271855081.5,16-JAN-2024,17813,INE767A01016,,289501,56.82
AARTIIND,EQ,612,617.8,594.3,600.25,600,612.15,1659307,1001989472.25,16-JAN-2024,38587,INE769A01020,,872914,52.61
AARTIPHARM,EQ,527.4,534,517.75,519.65,522,524.75,171829,90178828.6,16-JAN-2024,14664,INE0LRU01027,,73574,42.82
AARTISURF,EQ,723,727.9,689.05,697.05,700,723.5,57210,40066075.4,16-JAN-2024,5671,INE09EO01013,,32054,56.03
AARVEEDEN,EQ,32.25,32.3,27.2,29.2,29.7,31.55,176417,5233615.15,16-JAN-2024,1186,INE273D01019,,99659,56.49
AARVI,EQ,159.15,161.95,155,155.4,155,156.8,22521,3532755.3,16-JAN-2024,712,INE754X01016,,14044,62.36
AATMAJ,SM,42.5,42.5,41.6,42.1,42.1,42.05,24000,1005500,16-JAN-2024,12,INE0OB201016,,18000,75.00
AAVAS,EQ,1613,1613,1557.1,1568.85,1565.75,1613,481337,761576051.85,16-JAN-2024,19454,INE216P01012,,368879,76.64
ABAN,BE,59.5,60.8,56.95,57.8,58.1,59.95,168155,9856934.7,16-JAN-2024,1026,INE421A01028,,-,-
ABB,EQ,4770,4842.3,4750.05,4809.3,4805.1,4752.9,192280,922815495.45,16-JAN-2024,28880,INE117A01022,,96163,50.01
ABBOTINDIA,EQ,26220,26305.9,25601,25806.5,25804.9,26210.45,51548,1329747007.8,16-JAN-2024,9194,INE358A01014,,36394,70.60
ABCAPITAL,EQ,179,181.3,177,179.1,178.95,179.15,6117669,1096211309.55,16-JAN-2024,34352,INE674K01013,,2386461,39.01
ABCOTS,SM,123.35,123.35,123.35,123.35,123.35,129.8,4000,493400,16-JAN-2024,2,INE08PH01015,,2000,50.00
ABFL,N0,990,990,955.5,971.36,979,980,52,50511,16-JAN-2024,8,INE860H07IQ0,,,
ABFRL,EQ,231.4,234.75,228.75,231.8,231.45,230.85,7267208,1685205074.8,16-JAN-2024,56301,INE647O01011,,2873085,39.53
ABINFRA,SM,48.6,51.95,48.55,48.55,48.55,51.1,16000,790600,16-JAN-2024,4,INE00YB01017,,12000,75.00
ABMINTLLTD,BE,55.85,55.85,55,55.05,55,55.85,467,25797.75,16-JAN-2024,12,INE251C01025,,-,-
ABSLAMC,EQ,504,504.9,490,493.95,493.5,500.5,96441,47907665.95,16-JAN-2024,4215,INE404A01024,,51637,53.54
ABSLBANETF,EQ,48.95,48.95,48.01,48.45,48.42,48.49,20357,988425.33,16-JAN-2024,473,INF209KB17D5,,16252,79.83
