SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
AARTIDRUGS,EQ,72.5,75.9,71.75,74.75,74.5,72.25,17692,1321872.3,11-FEB-2004,
AARTIIND,EQ,187.5,198.85,187.5,197.8,197,189.35,50274,9901782.7,11-FEB-2004,
ABANLLOYD,EQ,411.5,413,394.5,399.7,394.5,399.2,4743,1900736.5,11-FEB-2004,
ABB,EQ,690,690,648.3,654.95,649,649.8,19634,12837252.15,11-FEB-2004,
ABSHEKINDS,EQ,15.8,15.8,15,15.2,15.25,15.05,77300,1183120.35,11-FEB-2004,
ABSIND,EQ,105.5,105.95,104,104.9,105,105,7932,833707.75,11-FEB-2004,
ACC,EQ,278,278,265,274.65,274.75,264.35,5785036,1571795626,11-FEB-2004,
ADANIEXPO,EQ,354.75,360.05,351.05,357.8,358,346.1,27043,9614836.1,11-FEB-2004,
ADLABSFILM,EQ,108.5,116.75,107.65,112.2,111.05,107.75,194085,21886716.4,11-FEB-2004,
ADVANIORLI,EQ,33.7,33.9,33.25,33.25,33.25,33.25,2346,78315.35,11-FEB-2004,
AEGISCHEM,EQ,18.3,18.6,18,18.3,18.6,18.55,2180,39905.75,11-FEB-2004,
AFTEKINFO,EQ,76.45,78,72.1,72.7,72.15,75.35,230245,17115599.75,11-FEB-2004,
AGEEGOLD,EQ,31,31,31,31,31,30.7,1333,41323,11-FEB-2004,
AGRODUTCH,EQ,35.3,35.9,33.75,34.1,34.3,35.8,39228,1353849.5,11-FEB-2004,
AHMEDELEC,EQ,103.7,103.7,101.2,101.55,101.45,102.85,10189,1042537.3,11-FEB-2004,
AHMEDFORGE,EQ,77.8,77.8,77.8,77.8,77.8,79.35,480,37344,11-FEB-2004,
AJANTPHARM,EQ,46,48.35,45.7,47.5,47.45,45.85,23410,1109000.6,11-FEB-2004,
AKSHOPTFBR,EQ,17.85,18.85,17,18.45,18.7,17.5,39795,709875.5,11-FEB-2004,
ALBK,EQ,28.75,28.9,28.4,28.65,28.85,28.4,545961,15641243.7,11-FEB-2004,
ALEMBICLTD,EQ,354.9,359.4,337.8,339.85,340,350.55,48413,16780494.4,11-FEB-2004,
ALFALAVAL,EQ,520,520,503,504.95,503,511.7,461,235808.4,11-FEB-2004,
ALOKTEXT,EQ,58.7,59.2,56.65,57,57.1,57.75,77381,4477666.2,11-FEB-2004,
ALPSINDUS,EQ,43.25,44.1,43,43.45,43.5,43,24159,1053761,11-FEB-2004,
AMARAJABAT,EQ,69.3,70.35,68.1,68.55,68.25,69.15,10666,736914.4,11-FEB-2004,
AMBUJARAJN,EQ,6,6.05,5.85,6,6,5.85,94209,563306.65,11-FEB-2004,
AMITSPIN,EQ,3.55,3.55,3.55,3.55,3.55,3.45,1000,3550,11-FEB-2004,
AMTEKAUTO,EQ,418,426,415,421.35,422.15,412.25,6094,2551006.25,11-FEB-2004,
AMTREXAPPL,EQ,26,30,25.7,26.2,25.85,25.9,6855,181465.5,11-FEB-2004,
ANDHRABANK,EQ,48.25,49,47.8,48.8,48.95,48.1,847113,41054661.95,11-FEB-2004,
ANDHRSUGAR,EQ,59,59.4,58,58.1,58.25,58.95,33891,1993803.15,11-FEB-2004,
ANTGRAPHIC,EQ,2.85,3.6,2.85,3.2,3.35,3.2,3978,12757.7,11-FEB-2004,
APCOTEXLAT,EQ,36.5,37,35.65,36.5,36.5,36.15,2777,100674.5,11-FEB-2004,
APIL,EQ,114.5,115.15,112.1,113.75,112.65,114.4,33897,3865588.8,11-FEB-2004,
APOLLOHOSP,EQ,171,173.3,166.15,167.15,167,170.8,136709,22946166.9,11-FEB-2004,
APOLLOTYRE,EQ,240.05,252.8,240.05,250.9,252,240.45,37986,9362021.75,11-FEB-2004,
APTECHT,EQ,59.5,59.7,55.1,56.8,56.2,58.4,280749,16076380.3,11-FEB-2004,
ARCHIES,EQ,62.6,66.4,61.55,65.55,65.05,63.65,55768,3616577.65,11-FEB-2004,
ARHAMFISCL,EQ,12.65,13.1,11.6,11.75,11.65,11.9,204875,2524518.7,11-FEB-2004,
ARL,EQ,2.6,2.65,2.55,2.55,2.6,2.6,421711,1089475.75,11-FEB-2004,
ARVINDMILL,EQ,46.5,47.3,46.5,47.1,47.2,46.75,732030,34371530.55,11-FEB-2004,
ASAHIINDIA,EQ,118,119.9,115.05,118.05,119,118.3,47967,5628873.7,11-FEB-2004,
ASHAPURMIN,EQ,114.2,115,114.2,115,115,117.8,1200,137920,11-FEB-2004,
ASHIMASYN,EQ,16.5,16.9,15.85,15.95,15.95,16.05,8376,135078,11-FEB-2004,
ASHKLEYFIN,EQ,89.95,90.4,89.2,89.9,89.85,89.3,6285,564354.3,11-FEB-2004,
ASHOKLEY,EQ,249.7,251,239.1,241.3,241.65,247.75,470211,115574742.1,11-FEB-2004,
ASIANELEC,EQ,54.7,55,53.65,54,54,54.05,2932,158669.7,11-FEB-2004,
ASIANHOTEL,EQ,183,183,165,167.9,169,169.2,1203,200133.25,11-FEB-2004,
ASIANPAINT,EQ,321.95,323,320,321.15,322.05,320.35,51081,16354226.25,11-FEB-2004,
ASTRAIDL,EQ,1000,1035,982.15,1010,1010,1033.4,348,353169.8,11-FEB-2004,
ATCOIND,EQ,9.95,10,9.55,9.7,9.6,9.9,8824,86715.4,11-FEB-2004,
ATFL,BE,58.2,60,57.65,59.95,60,58.6,19889,1178888.15,11-FEB-2004,
ATLASCYCLE,EQ,79,79.05,77.6,78.7,78.75,78.4,2042,159553.5,11-FEB-2004,
ATNINT,EQ,4,4.05,3.75,3.75,3.75,3.95,40076,154151.3,11-FEB-2004,
ATULPROD,EQ,45.7,45.7,43,44.1,44.3,44.75,12961,574406.4,11-FEB-2004,
AUROPHARMA,EQ,395,396,382,384.95,385,391.45,48781,18891495.35,11-FEB-2004,
AUTOAXLES,EQ,226.5,228,210,218.05,215,226.3,2953,660366.75,11-FEB-2004,
AUTORIDFIN,EQ,1.85,2,1.85,2,2,1.85,300,570,11-FEB-2004,
AVENTIS,EQ,640.45,648,640,642.2,640.1,640.8,4567,2935951.9,11-FEB-2004,
AZTEC,EQ,27.3,27.3,26,26.6,26.5,26.45,23857,639829.5,11-FEB-2004,
BAGFILMS,EQ,8.1,8.45,8.1,8.3,8.3,8.15,22811,188912.3,11-FEB-2004,
BAJAJAUTO,EQ,1010,1028,1010,1019.35,1019,1012.15,71525,72950925.05,11-FEB-2004,
BAJAJHIND,EQ,352,354,325,348.25,353,349.9,4652,1606154.1,11-FEB-2004,
BAJAJPLAST,EQ,2.6,3,2.4,3,3,3,1600,4330,11-FEB-2004,
BAJAUTOFIN,EQ,77,79,77,79,79,78.25,4502,352232.75,11-FEB-2004,
BALAJIDIST,EQ,4.6,4.65,4.45,4.5,4.45,4.65,20052,90921.4,11-FEB-2004,
BALAJITELE,EQ,91.4,92,88.5,89.6,89.8,90.55,202867,18323043.6,11-FEB-2004,
BALASPONGE,EQ,24.5,24.85,24,24.1,24,24.45,65101,1579320.8,11-FEB-2004,
BALMLAWRIE,EQ,122,122,120,120.05,120,122,6195,746492.85,11-FEB-2004,
BALRAMCHIN,EQ,274.9,274.9,267,269.55,272,268.45,13484,3640317.85,11-FEB-2004,
BANARISUG,EQ,320,336.95,312.5,336.7,336.9,320.9,5289,1755481.4,11-FEB-2004,
BANKBARODA,EQ,244,256.9,244,255.15,256.9,244.95,1571648,395639811.9,11-FEB-2004,
BANKINDIA,EQ,69.15,69.25,67.75,68.8,68.7,68.55,2280529,156242950.2,11-FEB-2004,
BANKPUNJAB,EQ,28.35,28.75,27.8,28.2,28.15,28.1,316062,8930716.45,11-FEB-2004,
BANKRAJAS,EQ,43.35,43.9,42.5,43.4,43.35,42.95,932754,40463022.75,11-FEB-2004,
BASF,EQ,143,145.9,142.25,143,143,142.65,17160,2470339.8,11-FEB-2004,
BATAINDIA,EQ,60.75,61.5,59.15,59.9,59.65,60.85,71264,4269365.35,11-FEB-2004,
BBTC,EQ,73,73,66,69.85,69,70,1600,110742.5,11-FEB-2004,
BEL,EQ,562.15,568,561,564.7,562.05,557.95,25416,14351259.25,11-FEB-2004,
BELCERAMIC,BE,12,12.15,11.8,12.15,12.15,12.15,4425,53243.75,11-FEB-2004,
BEML,EQ,190,191,186.5,188.6,188,189.45,137899,25971264.55,11-FEB-2004,
BERGEPAINT,EQ,183,184,177,179.05,179,181.85,10131,1826427.6,11-FEB-2004,
BFLSOFTWAR,EQ,640,654,632,649.4,650,632.45,13119,8487523,11-FEB-2004,
BGFL,EQ,44,44.05,42.8,42.95,42.85,43.6,16017,689972.45,11-FEB-2004,
BHARATFORG,EQ,805,805,775.25,780.65,783,806.15,29049,22915611.35,11-FEB-2004,
BHARATGEAR,EQ,21.6,22.5,21.6,21.75,21.75,22,3965,87103.5,11-FEB-2004,
BHARATRAS,EQ,27.9,28,26.55,27,27.45,27.75,966,26561.05,11-FEB-2004,
BHARTI,EQ,140.4,143.4,138.5,141.6,141.4,138.1,3083731,436019589.6,11-FEB-2004,
BHEL,EQ,577.15,590,575,586.9,586.25,572.95,375956,218532131.5,11-FEB-2004,
BHUSANSTL,EQ,79.95,79.95,78.2,78.85,78.9,79.75,25660,2027413.55,11-FEB-2004,
BIL,EQ,36,36.4,35.25,35.4,35.25,35.6,6081,217391.6,11-FEB-2004,
BILT,EQ,70.15,70.75,69.5,70,70.35,70.2,76902,5376455.45,11-FEB-2004,
BINDALAGRO,EQ,5.9,5.9,5.5,5.55,5.55,5.6,39747,220203.2,11-FEB-2004,
BIRLA3M,EQ,403,405,399,405,405,402.3,886,355059,11-FEB-2004,
BIRLAERIC,EQ,16.5,16.6,16.1,16.15,16.1,16.35,20207,329927.55,11-FEB-2004,
BIRLAJUTE,EQ,55.5,57.8,55.4,56.6,56.55,55.4,398131,22561845.4,11-FEB-2004,
BLUEDART,EQ,143,145.8,142.2,143,143,144.55,24981,3588001.55,11-FEB-2004,
BLUESTARCO,EQ,143.1,147.95,143,146.45,147.95,142.25,15771,2280081,11-FEB-2004,
BLUESTINFO,EQ,199.8,199.8,190,192.9,192.1,192.65,4791,921465.15,11-FEB-2004,
BOMDYEING,EQ,164.5,166.3,160,160.75,160,162.7,145994,23741064.55,11-FEB-2004,
BONGAIREFN,EQ,75.65,75.8,73.9,75.35,75.75,75.1,803226,60171719.9,11-FEB-2004,
BPCL,EQ,490,495,481.1,485,485.65,488.45,589189,286621419.35,11-FEB-2004,
BPL,EQ,38.75,38.75,37.1,37.8,37.5,38.25,63006,2385246.9,11-FEB-2004,
BPLENGG,EQ,4.95,5.05,4.95,5,5,5.15,3380,16854.55,11-FEB-2004,
BPLREFRIG,EQ,1.85,2.25,1.85,1.9,1.9,2.05,6203,11881.2,11-FEB-2004,
BPLSANTECH,EQ,2,2.2,1.85,1.9,2.2,2.3,2101,4017.2,11-FEB-2004,
BPLSANUTIL,EQ,3.1,3.1,2.25,2.3,2.25,2.6,805,1868.1,11-FEB-2004,
BRITANNIA,EQ,664.95,758,657.1,667.3,661,657.8,6374,4242664.95,11-FEB-2004,
BSELINFO,EQ,48.3,48.3,45.8,47.1,47.25,47.3,101423,4730526.3,11-FEB-2004,
BSES,EQ,600,636,544,626.85,623.15,629.9,702887,437964551.65,11-FEB-2004,
BSL,EQ,29.7,29.7,29.7,29.7,29.7,30.3,100,2970,11-FEB-2004,
CADILAHC,EQ,398,400,394.1,397.7,399,395.9,40599,16134386,11-FEB-2004,
CANBK,EQ,138.8,142.65,137.65,141.9,142.45,137.55,4672375,657856454.05,11-FEB-2004,
CANFINHOME,EQ,42,43,42,42.9,43,42.75,19464,828418.35,11-FEB-2004,
CARBORUNIV,EQ,225,235,208.65,218.75,220,211.25,4563,985874,11-FEB-2004,
CEAT,EQ,41.15,43.25,41.15,41.95,42,41.05,88076,3710468.4,11-FEB-2004,
CENTENKA,EQ,138.9,139,136.5,137.35,137,136.25,27840,3820716.2,11-FEB-2004,
CENTURYTEX,EQ,119.45,121.2,116.5,117.8,117.4,118.65,132824,15760196.65,11-FEB-2004,
CESC,EQ,123.75,125,122,124.15,123.5,122.55,260514,32121885.05,11-FEB-2004,
CGIGARSH,EQ,70,70,65.25,66,66,68.55,2135,142875.45,11-FEB-2004,
CHAMBLFERT,EQ,19.15,19.25,18.95,19,19,19.15,386624,7365478.4,11-FEB-2004,
CHAMPDANY,EQ,54,54,54,54,54,53.65,50,2700,11-FEB-2004,
CHEMPLAST,EQ,28.25,28.95,28.25,28.95,28.95,29.15,602,17126.5,11-FEB-2004,
CHENNPETRO,EQ,86.6,88,85.7,86.45,86.7,86.9,132305,11461183.4,11-FEB-2004,
CHESLINTEX,EQ,21.05,21.3,19.8,20.15,20.1,21.3,13871,281971.45,11-FEB-2004,
CHLORIDIND,EQ,133,139.85,133,136.65,138.3,132.9,23356,3153192.35,11-FEB-2004,
CHOLAINV,EQ,70.5,70.5,69,70.05,70,69.45,12483,874898.7,11-FEB-2004,
CIMCOBIRLA,EQ,2.6,2.7,2.5,2.7,2.7,2.65,1903,4932.8,11-FEB-2004,
CINEVISTA,EQ,32,34,31.8,32.4,32,33.6,1971,63832.35,11-FEB-2004,
CIPL,EQ,8,8,7.6,7.7,7.8,7.75,21077,162469.8,11-FEB-2004,
CIPLA,EQ,1190,1190,1161.25,1172.7,1179,1173.6,33442,39261565,11-FEB-2004,
CLARIANT,EQ,187,189.1,185,185.6,185.6,185.75,1115,207942.5,11-FEB-2004,
CMC,EQ,537.2,548.8,537,543.9,542.1,542.3,2207,1202384.65,11-FEB-2004,
COATESIND,EQ,110.6,119,110.6,117.5,117.9,117.8,6014,672594.25,11-FEB-2004,
COCHINREFN,EQ,165,166,163.25,164.9,164.3,164.45,112531,18555641.35,11-FEB-2004,
COLGATE,EQ,147.55,149.8,147.55,149.25,149.15,147.8,62387,9285376,11-FEB-2004,
COLORCHEM,EQ,251,252.75,250,251.25,251.75,250.65,810,203436.15,11-FEB-2004,
COMPUDYNE,EQ,13.75,13.75,12.75,12.85,12.75,12.85,6552,85813.7,11-FEB-2004,
COMPUTECH,EQ,8,8.15,7.75,7.9,7.9,8.05,25650,204268.55,11-FEB-2004,
CONCOR,EQ,681.2,728,675,697.5,698,710.4,15425,10764942.95,11-FEB-2004,
CONSCOFFEE,EQ,134,144,131.1,136.65,137.85,131.7,10504,1471221.7,11-FEB-2004,
COREPARENT,EQ,5,5.25,5,5.05,5.05,5.15,8700,43733.85,11-FEB-2004,
COROMNFERT,EQ,126.05,136,126.05,128.15,127.1,136,1256,161589.25,11-FEB-2004,
CORPBANK,EQ,248,256,247,253.7,253,248.4,104598,26323625.6,11-FEB-2004,
COSMOFILMS,EQ,78.1,86,78,82.85,82.95,79.15,113318,9363289.25,11-FEB-2004,
CREATIVEYE,BE,13.7,13.7,12.8,13.3,13.4,13,6173,81239.6,11-FEB-2004,
CRESTCOMM,EQ,50,51.65,48.65,49.1,48.7,50,46080,2306534.35,11-FEB-2004,
CRISIL,EQ,534,535,529,534.55,535,534.95,5402,2866599.5,11-FEB-2004,
CROMPGREAV,EQ,138.7,138.7,132.25,133.55,134,137.15,24442,3291069.9,11-FEB-2004,
CUB,EQ,67,68.55,66.15,66.65,66.5,67.4,18356,1236763.85,11-FEB-2004,
CYBERTECH,EQ,6.65,6.9,6.6,6.75,6.6,6.65,3025,20638.5,11-FEB-2004,
D-LINK,EQ,189.6,189.65,181.5,185.4,185.65,187.2,104824,19429635.05,11-FEB-2004,
DABUR,EQ,84.6,85.5,83,84.8,84.35,83.95,85222,7187382.5,11-FEB-2004,
DALALSTCOM,EQ,0.6,0.6,0.55,0.55,0.6,0.55,31965,18109,11-FEB-2004,
DALMIACEM,EQ,302,314.75,300.05,305.15,303.55,300.05,1780,545371.45,11-FEB-2004,
DCM,EQ,12.75,12.95,12.45,12.85,12.85,12.8,2186,27792.4,11-FEB-2004,
DCMFINSERV,EQ,2,2.05,1.8,1.8,1.8,2,2550,4712.5,11-FEB-2004,
DCMSRMCONS,EQ,210,210,207,207.3,207,209.6,3022,628782.85,11-FEB-2004,
DCW,EQ,28.75,29.5,28.75,29.05,28.75,29.3,30932,900797.05,11-FEB-2004,
DEEPAKFERT,EQ,36.5,38.25,36.5,37.95,38.1,37.05,78108,2924631.2,11-FEB-2004,
DENABANK,EQ,29.15,29.5,28.8,29.35,29.4,28.9,386376,11247176.85,11-FEB-2004,
DEWANHOUS,EQ,25.65,27,25.6,26.5,26.5,26.25,2892,76668.7,11-FEB-2004,
DGPWINDSOR,EQ,4.1,4.35,4.1,4.35,4.35,4,2000,8450,11-FEB-2004,
DHAMPURSUG,EQ,26.5,26.65,25.15,25.6,25.55,26.65,90515,2347532.1,11-FEB-2004,
DHARSUGAR,EQ,5.9,6,5.7,5.75,5.75,6.05,2120,12398.25,11-FEB-2004,
DIGITALEQP,EQ,843,845,831.15,839,839.05,838.3,15678,13138303.8,11-FEB-2004,
DIVISLAB,EQ,1480,1510,1460,1468.95,1464,1451.75,21228,31432893.2,11-FEB-2004,
DREDGECORP,EQ,487.9,489,470,470.75,473.9,480.9,717,340555.4,11-FEB-2004,
DRREDDY,EQ,1260,1265,1242,1260.8,1260.25,1237.2,173629,218072455.75,11-FEB-2004,
DUNCANSIND,BE,11.4,11.4,9.75,10.25,10.25,9.65,3642,35975.15,11-FEB-2004,
DYNACONS,EQ,0.4,0.45,0.4,0.4,0.4,0.4,16300,6535,11-FEB-2004,
E-SERVEINT,EQ,708.1,723.7,700.55,719.7,723.7,714,6376,4537991.3,11-FEB-2004,
EASTSILK,EQ,69.6,70.5,68.75,69.65,70.5,70,7060,490182.55,11-FEB-2004,
EASUNREYRL,EQ,47.75,48.95,47.75,48.75,48.95,48.1,1000,48088.5,11-FEB-2004,
EICHERLTD,EQ,99.8,109.9,99.8,103.8,104,103.5,1163,120138.15,11-FEB-2004,
EICHERMOT,EQ,224,224,205.55,218.65,216.55,222.25,25500,5535988.35,11-FEB-2004,
EIDPARRY,EQ,178,178.5,173.6,176.55,177,177.1,664,116752.6,11-FEB-2004,
EIHOTEL,EQ,288.05,297.1,288.05,296.55,297,290.5,5660,1669302.4,11-FEB-2004,
EIMCOELECO,EQ,70.5,73.1,68.75,69.05,73.1,71,2533,177039.6,11-FEB-2004,
ELDERPHARM,EQ,127.8,130.95,127.5,129.3,128.5,126.65,56311,7276502.6,11-FEB-2004,
ELECTCAST,EQ,306,306,298,300.6,301,304.8,6868,2068302.15,11-FEB-2004,
ELGIEQUIP,EQ,57.8,59.5,57.8,59.1,59,57.8,44270,2607995.15,11-FEB-2004,
ELGITYRE,EQ,276.9,293.9,276.9,277.1,277.1,276.9,130,36270.2,11-FEB-2004,
EMERCK,EQ,390.5,390.5,379.2,380.4,380.35,387.25,5895,2259029.25,11-FEB-2004,
ENGINERSIN,EQ,375,378.95,371,377.3,378.85,376,11280,4231546.05,11-FEB-2004,
ESABINDIA,EQ,55.5,58.75,55.5,57.65,57.45,57.7,9826,569805.7,11-FEB-2004,
ESCORTS,EQ,67.15,68.2,66.6,67.35,67.2,67.3,466091,31419804.6,11-FEB-2004,
ESSARGUJ,EQ,16.65,18.6,16.65,18.2,18.15,18.5,1558806,28293343.7,11-FEB-2004,
ESSAROIL,BE,21,23,20.9,22.8,22.8,21.65,747376,16732888.7,11-FEB-2004,
ESSELPACK,EQ,271.1,273.75,263.65,265.2,265,273.05,28569,7618019.85,11-FEB-2004,
ETCNETWORK,EQ,43.35,43.4,42.3,42.9,42.8,42.5,10927,467435.25,11-FEB-2004,
ETERNEVRST,EQ,90,93.75,87.05,90.6,89,89.2,37098,3278127.5,11-FEB-2004,
EUROTEXIND,EQ,23.5,24,23.45,24,24,24,1067,25210.65,11-FEB-2004,
FACT,EQ,27.95,28,27.25,27.7,27.65,27.65,5080,140686.15,11-FEB-2004,
FAGBEARING,EQ,124.75,124.75,119,119.75,119,121.4,47367,5729373.2,11-FEB-2004,
FDC,EQ,84.8,87,84.75,85.65,85.25,83.15,61092,5244308.1,11-FEB-2004,
FEDERALBNK,EQ,274.9,290,272.1,282.95,282.5,273.85,499796,141629331.75,11-FEB-2004,
FINCABLES,EQ,136.05,137,133.35,135.45,135.6,136.5,7741,1045621.2,11-FEB-2004,
