SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,25.45,27.3,25,25.3,25,26.25,26473,676937.15,01-SEP-2015,198,INE144J01027,
3IINFOTECH,EQ,3.2,3.2,3.05,3.05,3.05,3.2,1142203,3518768.3,01-SEP-2015,468,INE748C01020,
3MINDIA,EQ,10500.2,10850,10200,10280.55,10250,10788.95,1565,16249761.4,01-SEP-2015,637,INE470A01017,
3RDROCK,IT,213.5,213.5,213,213.25,0.0,213,20800,4436900,01-SEP-2015,4,INE768P01012,
8KMILES,EQ,1165,1269,1165,1191.65,1185,1194.95,70151,85953381,01-SEP-2015,6206,INE650K01013,
A2ZINFRA,EQ,22.8,22.85,21.4,21.75,21.55,22.9,173062,3827595.5,01-SEP-2015,1033,INE619I01012,
AARTIDRUGS,EQ,565,573.6,550,553.25,554.85,568.1,29555,16601234.45,01-SEP-2015,1182,INE767A01016,
AARTIIND,EQ,420,425.75,413,416.8,414.1,423.85,45412,19111347.5,01-SEP-2015,3107,INE769A01020,
AARVEEDEN,EQ,55.1,55.1,49.9,52.45,52.85,55.4,11108,580457.5,01-SEP-2015,150,INE273D01019,
ABAN,EQ,247,253,238.15,243.1,243.95,247.7,1427580,351635813.8,01-SEP-2015,24496,INE421A01028,
ABB,EQ,1200,1235,1178.6,1193.15,1184.95,1227.55,23386,28329820.65,01-SEP-2015,2458,INE117A01022,
ABBOTINDIA,EQ,4798,4837.45,4600,4712.25,4700,4801.3,3188,15097500.85,01-SEP-2015,670,INE358A01014,
ABCIL,EQ,209.65,210.95,207,208.7,208.9,211.5,14924,3108870.25,01-SEP-2015,118,INE605B01016,
ABGSHIP,EQ,139.1,140,136,136.9,136.45,139.1,66636,9184181.3,01-SEP-2015,1109,INE067H01016,
ABIRLANUVO,EQ,2002.2,2036,1972,1990.2,1987.2,2045.5,142705,285504044.95,01-SEP-2015,15030,INE069A01017,
ACC,EQ,1321,1343.9,1317.15,1332.2,1341.85,1334.85,358306,475302232.4,01-SEP-2015,18396,INE012A01025,
ACCELYA,EQ,1000,1010.05,971,987.5,991.95,1007.85,2597,2569637.2,01-SEP-2015,282,INE793A01012,
ACE,EQ,40.05,41.9,38.55,39.2,39.3,40.7,147876,5906204.95,01-SEP-2015,1001,INE731H01025,
ACROPETAL,EQ,2.8,2.9,2.7,2.7,2.7,2.9,27970,77066.25,01-SEP-2015,33,INE055L01013,
ADANIENT,EQ,74,74.6,70.35,72,71.9,75.15,3474548,251574083.45,01-SEP-2015,19293,INE423A01024,
ADANIPORTS,EQ,344.95,354.75,339,342.25,341.95,355.45,3654461,1262832840.35,01-SEP-2015,79376,INE742F01042,
ADANIPOWER,EQ,22.4,22.4,20.9,21.1,21.2,22.5,6056504,130265854.35,01-SEP-2015,12488,INE814H01011,
ADANITRANS,EQ,30.55,30.55,28.9,29.1,29.15,31.15,684233,20238068,01-SEP-2015,5495,INE931S01010,
ADFFOODS,EQ,74,75.8,71.75,75.1,75,74.55,53616,3995724.9,01-SEP-2015,593,INE982B01019,
ADHUNIK,EQ,16.75,16.9,15.5,15.9,16,16.6,40786,653984.75,01-SEP-2015,941,INE400H01019,
ADI,EQ,203,205,190,194.65,192.1,196.9,1477,288810.55,01-SEP-2015,69,INE959A01019,
ADLABS,EQ,125,126.7,123.05,125.2,125,125.3,34986,4376891.7,01-SEP-2015,2522,INE172N01012,
ADORWELD,EQ,245,245,236,237.7,238.5,248.2,2429,584304.2,01-SEP-2015,190,INE045A01017,
ADSL,EQ,27.7,27.7,25.8,26.1,26,27.85,93938,2490307.45,01-SEP-2015,578,INE102I01027,
ADVANIHOTR,EQ,49.1,49.1,42.35,47.05,48,49.7,2023,95931.5,01-SEP-2015,38,INE199C01026,
ADVANTA,EQ,551.5,589.4,551.5,560.4,560,564.4,40175,23011624.6,01-SEP-2015,2173,INE517H01028,
AEGISCHEM,EQ,799.95,804,784,794.95,794.9,800.85,11323,9010212.6,01-SEP-2015,2235,INE208C01017,
AFL,EQ,68,69,63.5,68.55,67.2,69.2,97249,6505033.25,01-SEP-2015,425,INE020G01017,
AGARIND,EQ,113,113,100.6,102.8,102.05,109,18919,2052311.55,01-SEP-2015,233,INE204E01012,
AGCNET,EQ,100.1,103,98.55,99.5,101.1,102.4,5878,586219,01-SEP-2015,302,INE676A01019,
AGRITECH,EQ,6,6,6,6,6,6.3,2500,15000,01-SEP-2015,1,INE449G01018,
AGRODUTCH,EQ,3.3,3.5,3.25,3.25,3.25,3.4,3255,10821.25,01-SEP-2015,12,INE135B01014,
AHLEAST,EQ,152.1,152.1,141,142.95,143.5,152.5,413,59720.1,01-SEP-2015,60,INE926K01017,
AHLUCONT,EQ,240,245.85,232.25,234.6,234.1,241.8,20435,4860482.8,01-SEP-2015,709,INE758C01029,
AHLWEST,EQ,114,114,114,114,114,114.05,80,9120,01-SEP-2015,2,INE915K01010,
AIAENG,EQ,920,920,902,910.95,914.95,917.15,24278,22056027.6,01-SEP-2015,1399,INE212H01026,
AICHAMP,BE,14.8,14.8,14.8,14.8,14.8,15.4,40,592,01-SEP-2015,1,INE768E01024,
AIL,EQ,675,683,660.1,664.8,665.5,671.7,7339,4880299.25,01-SEP-2015,1266,INE878A01011,
AJANTPHARM,EQ,1493.95,1545,1452.15,1523.4,1520.25,1499.8,318937,485084412.4,01-SEP-2015,16924,INE031B01049,
AJMERA,EQ,98.1,100.55,94.7,95.55,95.9,98.65,24647,2382138.5,01-SEP-2015,605,INE298G01027,
