SYMBOL," SERIES"," DATE1"," PREV_CLOSE"," OPEN_PRICE"," HIGH_PRICE"," LOW_PRICE"," LAST_PRICE"," CLOSE_PRICE"," AVG_PRICE"," TTL_TRD_QNTY"," TURNOVER_LACS"," NO_OF_TRADES"," DELIV_QTY"," DELIV_PER"
NEXT30ADD," EQ"," 04-Mar-2025"," 33.16"," 33.16"," 33.16"," 32.60"," 33.03"," 33.03"," 32.87"," 1459"," 0.48"," 30"," 1007"," 69.02"
NEXT50," EQ"," 04-Mar-2025"," 588.43"," 587.99"," 592.00"," 579.23"," 591.40"," 590.38"," 588.47"," 102300"," 602.00"," 2608"," 87410"," 85.44"
NEXT50IETF," EQ"," 04-Mar-2025"," 60.41"," 62.20"," 62.20"," 59.06"," 60.50"," 60.53"," 60.36"," 1135158"," 685.18"," 5106"," 739499"," 65.15"
NEXTMEDIA," EQ"," 04-Mar-2025"," 6.10"," 5.79"," 6.39"," 5.79"," 6.17"," 6.17"," 5.90"," 14008"," 0.83"," 66"," 7615"," 54.36"
NFL," EQ"," 04-Mar-2025"," 78.98"," 78.97"," 80.65"," 77.01"," 79.50"," 79.53"," 79.12"," 1603411"," 1268.57"," 20817"," 369851"," 23.07"
NGIL," EQ"," 04-Mar-2025"," 35.19"," 34.55"," 36.68"," 34.55"," 34.56"," 34.93"," 35.54"," 18078"," 6.42"," 571"," 9408"," 52.04"
NGLFINE," BE"," 04-Mar-2025"," 1032.10"," 1025.00"," 1048.00"," 980.50"," 1024.40"," 999.65"," 1006.20"," 11667"," 117.39"," 259"," -"," -"
NH," EQ"," 04-Mar-2025"," 1615.60"," 1540.00"," 1692.50"," 1535.75"," 1549.00"," 1559.85"," 1617.27"," 11510013"," 186147.89"," 436908"," 708565"," 6.16"
NHIT," IV"," 04-Mar-2025"," 130.10"," 131.50"," 131.50"," 131.50"," 131.50"," 131.50"," 131.50"," 1075000"," 1413.63"," 23"," 1075000"," 100.00"
NHPC," EQ"," 04-Mar-2025"," 73.37"," 72.98"," 74.40"," 72.43"," 73.85"," 73.57"," 73.57"," 15915861"," 11708.67"," 57151"," 4804766"," 30.19"
NIACL," EQ"," 04-Mar-2025"," 142.91"," 142.25"," 145.50"," 139.83"," 143.70"," 143.76"," 143.87"," 775543"," 1115.80"," 17961"," 322150"," 41.54"
NIBE," EQ"," 04-Mar-2025"," 935.60"," 901.40"," 958.90"," 891.20"," 895.00"," 901.45"," 923.49"," 100168"," 925.04"," 8043"," 46401"," 46.32"
NIBL," BE"," 04-Mar-2025"," 23.82"," 22.66"," 24.70"," 22.62"," 24.69"," 24.31"," 23.33"," 14443"," 3.37"," 106"," -"," -"
NIDAN," SM"," 04-Mar-2025"," 20.55"," 20.55"," 21.50"," 20.55"," 21.50"," 21.50"," 20.96"," 11000"," 2.31"," 8"," 10000"," 90.91"
NIF100BEES," EQ"," 04-Mar-2025"," 236.91"," 235.59"," 237.25"," 235.05"," 237.25"," 237.02"," 236.87"," 55533"," 131.54"," 672"," 28795"," 51.85"
NIF100IETF," EQ"," 04-Mar-2025"," 24.98"," 24.98"," 24.98"," 24.61"," 24.93"," 24.92"," 24.88"," 140836"," 35.04"," 1150"," 66858"," 47.47"
