SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
20THCENFIN,EQ,15.8,16.05,14,15.75,15.5,15.8,1050,16030,10-NOV-1998,
21STCENMGM,EQ,0.15,0.15,0.15,0.15,0.15,0.3,100,15,10-NOV-1998,
AARTIDRUGS,EQ,18.25,18.5,16.1,16.85,17.25,18.4,5600,98400,10-NOV-1998,
AARTIIND,EQ,30.15,30.8,30.15,30.8,30.8,31.45,300,9170,10-NOV-1998,
ABANLLOYD,EQ,41.9,42,39,39.25,39,39.2,20200,802735,10-NOV-1998,
ABB,BE,501,501,501,501,501,471,12,6012,10-NOV-1998,
ABB,EQ,508.15,510.5,506.5,509.9,510,510.2,11500,5860887.5,10-NOV-1998,
ABBOTTLAB,EQ,462.5,462.5,462.5,462.5,462.5,460,50,23125,10-NOV-1998,
ABGHEAVY,EQ,22.65,22.75,22.5,22.5,22.5,22.5,1300,29440,10-NOV-1998,
ABSIND,EQ,31,31,29,29.25,29.25,29.5,1750,51285,10-NOV-1998,
ACC,AE,995,999,995,999,999,950.4,10,9970,10-NOV-1998,
ACC,EQ,999,1020,985,1011.05,1020,996.85,265085,266044511,10-NOV-1998,
ACELAB,EQ,13,13.1,12.8,12.85,12.85,13.3,6000,77865,10-NOV-1998,
ADANIEXPO,EQ,269,270,269,270,270,271.25,200,53900,10-NOV-1998,
ADVANIORLI,EQ,19.45,19.9,19.35,19.6,19.4,20.05,3300,64525,10-NOV-1998,
AEGISCHEM,EQ,9.25,9.5,9,9.5,9.5,9.15,1150,10662.5,10-NOV-1998,
AGRODUTCH,EQ,8.8,8.8,8.2,8.5,8.5,8.3,900,7515,10-NOV-1998,
AHMEDELEC,EQ,53.45,53.45,52,52,52,51.6,200,10570,10-NOV-1998,
AHMEDFORGE,EQ,10.7,10.8,10.7,10.8,10.8,10.25,500,5370,10-NOV-1998,
AIMCOPEST,EQ,10,10,9.75,9.75,9.75,10.6,1400,13800,10-NOV-1998,
AKARLAMIN,EQ,1.9,1.9,1.9,1.9,1.9,1.9,100,190,10-NOV-1998,
