SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
SUNDRMCLAY,EQ,95,95,95,95,95,95,200,19000,22-JUL-1998,
SUNDRMFAST,EQ,300,315,300,307.5,310,310,550,168517.5,22-JUL-1998,
SUNFLAGIRN,EQ,3.5,3.6,3.5,3.6,3.6,3.65,1500,5350,22-JUL-1998,
SUNPHARMA,EQ,299.95,323,296.5,319.35,321,299.15,15500,4747750,22-JUL-1998,
SUNSTARLUB,EQ,7,7.1,6.9,6.9,6.9,7.15,2500,17615,22-JUL-1998,
SUPERSALES,EQ,20.45,20.45,20.45,20.45,20.45,20.5,100,2045,22-JUL-1998,
SUPERSPIN,EQ,35.75,35.75,35.75,35.75,35.75,34,100,3575,22-JUL-1998,
SUPPETRO,EQ,7.25,7.4,7.25,7.3,7.25,7.3,3600,26245,22-JUL-1998,
SURAJDIAMN,EQ,15,15.25,14.65,14.7,14.7,14.75,9400,139695,22-JUL-1998,
SURYAGROIL,EQ,2.05,2.05,2.05,2.05,2.05,2.1,500,1025,22-JUL-1998,
SURYAROSNI,EQ,14,14,14,14,14,13.25,200,2800,22-JUL-1998,
SURYVANSPG,EQ,11.5,12,11,12,12,11.1,4100,46230,22-JUL-1998,
SUTLEJINDS,EQ,43,43,43,43,43,42.4,400,17200,22-JUL-1998,
SWARAJENG,EQ,499.75,499.75,483.5,483.5,483.5,477.65,200,98325,22-JUL-1998,
SWARAJMAZD,EQ,32.25,33,32.25,33,33,32.4,1900,62442.5,22-JUL-1998,
SWIL,EQ,18,18,18,18,18,18.75,100,1800,22-JUL-1998,
SYNTHCHEM,EQ,12.8,12.8,12,12.75,12.75,12.55,1300,15825,22-JUL-1998,
TANEJAERO,EQ,3.85,3.85,3.85,3.85,3.85,3.75,100,385,22-JUL-1998,
TANFAC,EQ,18,20.25,17,19.6,19.6,17.9,10250,199740,22-JUL-1998,
TATACHEM,EQ,123.9,124.4,122.05,122.5,122.8,121.55,46550,5726132.5,22-JUL-1998,
TATAELXSI,EQ,38.25,39.8,37.75,39.1,39.8,37.5,79900,3089020,22-JUL-1998,
TATAFIN,EQ,34.5,34.6,34.5,34.5,34.5,34.85,1600,55260,22-JUL-1998,
TATAHONEY,EQ,58,58.5,57.05,57.05,57.05,57.9,400,23200,22-JUL-1998,
TATAHYDRO,EQ,83.05,86.1,83,85,85,86.4,10900,931942.5,22-JUL-1998,
TATAMETALI,EQ,11,11,10.25,10.35,10.35,10.6,2200,23280,22-JUL-1998,
TATAPOWER,EQ,90.5,91.35,89.6,90,89.8,90.05,32950,2971755,22-JUL-1998,
TATATEA,EQ,298.5,302,289.3,293.1,293.6,296.4,1402750,412244612.5,22-JUL-1998,
TATATELECM,EQ,38.9,38.9,35.6,35.75,35.6,36.9,4400,160765,22-JUL-1998,
TATATIMKEN,EQ,34.5,34.5,34,34,34,34.15,2600,88810,22-JUL-1998,
TATAUNISYS,EQ,1502,1504,1475,1499.45,1504,1487,1350,2013020,22-JUL-1998,
TATAVASHIS,EQ,48.5,48.5,47.15,47.7,47.8,47.85,14600,694420,22-JUL-1998,
TATAYODOGA,EQ,32,33.5,31.85,31.85,31.85,32.15,400,13002.5,22-JUL-1998,
TAURUSTAR,EQ,3.35,3.4,3.35,3.35,3.35,3.45,15600,52385,22-JUL-1998,
TCIFINANCE,EQ,8,8,8,8,8,5.75,100,800,22-JUL-1998,
TECILCHEM,EQ,7.6,7.6,7.6,7.6,7.6,4.35,50,380,22-JUL-1998,
TELCO,AE,141,141,141,141,141,150,50,7050,22-JUL-1998,
TELCO,EQ,147,148,142.6,145.55,146.1,143.75,1333800,193975817.5,22-JUL-1998,
TELCO,N1,104,104,103.5,103.5,103.5,102,60,6235,22-JUL-1998,
TELEPHNCAB,EQ,2.05,2.05,2.05,2.05,2.05,2.2,1000,2050,22-JUL-1998,
TEXTOOL,EQ,25,25,24.25,24.95,24.95,24.9,850,20950,22-JUL-1998,
TFCILTD,EQ,11.6,11.7,11.5,11.55,11.55,11.5,5200,60280,22-JUL-1998,
THERMAX,EQ,192.5,194,170,182.4,182.05,183.6,352700,64423750,22-JUL-1998,
THIRUSUGAR,EQ,64,64,64,64,64,64.7,100,6400,22-JUL-1998,
THOMASCOOK,EQ,556.25,562,556.25,562,562,558.65,350,195960,22-JUL-1998,
TIL,EQ,23.5,24,23.5,24,24,22.25,900,21345,22-JUL-1998,
TIMEXWATCH,EQ,18.8,19,18.6,18.75,18.95,19.45,4500,84930,22-JUL-1998,
