SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
3IINFOTECH,EQ,179,186.65,176.8,177.45,177.5,178.4,744662,135035145.2,17-JAN-2006,
3MINDIA,EQ,899.95,901,885,890,890,903.5,805,720330.45,17-JAN-2006,
AARTIDRUGS,EQ,113,113,107.3,108.3,107.3,112.1,17952,1981318.65,17-JAN-2006,
AARTIIND,EQ,83.8,85.8,80.7,81.4,81.85,84.85,45913,3812880,17-JAN-2006,
ABANLOYD,EQ,610,622,582.15,592,584,606.2,99482,60237473.65,17-JAN-2006,
ABB,EQ,1976.1,2039,1976.1,2024,2016.35,2019,21070,42623973.25,17-JAN-2006,
ABIRLANUVO,EQ,697.5,697.5,690,692.4,694,692.65,8741,6061234.85,17-JAN-2006,
ABSHEKINDS,EQ,30.9,30.9,29.5,29.7,29.8,29.8,204799,6108225.4,17-JAN-2006,
ACC,EQ,552,553,541.4,543.65,545,550.7,690207,377456838.65,17-JAN-2006,
ADANIEXPO,EQ,60.2,60.45,59.05,60,60.2,59.95,453073,27188451.85,17-JAN-2006,
ADLABSFILM,EQ,340,344.4,325,326.95,328,339.1,135360,45446526.5,17-JAN-2006,
ADORWELD,EQ,387,407,387,394.85,393.1,390.6,38753,15493874.2,17-JAN-2006,
AEGISCHEM,EQ,289,290.95,268.9,272.25,274.1,283,51792,14647655.3,17-JAN-2006,
AFTEKINFO,EQ,107.05,115.5,106.55,110.25,111.85,106.25,1029888,112770148.1,17-JAN-2006,
AGRODUTCH,EQ,37.2,39,35.9,36.25,36,37.3,201804,7545265.4,17-JAN-2006,
AHMEDFORGE,EQ,162,163.85,159.3,160.75,160,160.05,123277,19747142.25,17-JAN-2006,
AIAENG,EQ,583,590,553.3,562.9,569,577.8,236892,135157206.7,17-JAN-2006,
AJANTPHARM,EQ,91.35,91.35,84.3,84.75,85,90.5,128142,11327774.6,17-JAN-2006,
AKSHOPTFBR,EQ,74,76.5,73.3,73.8,73.6,74.15,93975,7052841.95,17-JAN-2006,
ALBK,EQ,85.3,85.45,81.25,81.55,81.3,84.55,1113820,92685355.2,17-JAN-2006,
ALEMBICLTD,EQ,363,367.9,353,355.1,355,361.4,38890,13969431.8,17-JAN-2006,
