SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
20THCENFIN,EQ,32.85,35,32.75,33.5,0.0,33,700,23730,25-JAN-1996,
ABANLLOYD,EQ,84.75,84.75,84,84,0.0,89,300,25275,25-JAN-1996,
ABB,EQ,547.75,545,541.3,543.65,0.0,547.75,2750,1497525,25-JAN-1996,
ABSIND,EQ,69.5,68,66.05,66.05,0.0,69.5,2200,147800,25-JAN-1996,
ACC,EQ,2637.9,2632,2590,2605.7,0.0,2637.9,38425,100218214.5,25-JAN-1996,
ADITYASPIN,EQ,5,5.2,5,5.2,0.0,5.25,700,3540,25-JAN-1996,
ADVANIORLI,EQ,143,144.05,143,144.05,0.0,143.4,400,57510,25-JAN-1996,
AEC,EQ,27.5,27.5,26.5,26.5,0.0,28.5,200,5400,25-JAN-1996,
AEGISCHEM,EQ,29.75,30,29.5,29.55,0.0,29.75,400,11860,25-JAN-1996,
AHMEDELEC,EQ,82.9,81.5,79.4,80.05,0.0,82.9,6150,494895,25-JAN-1996,
AHMEDFORGE,EQ,69,69,69,69,0.0,74,200,13800,25-JAN-1996,
AIMCOPEST,EQ,20.5,20.5,20,20,0.0,20.25,1500,30225,25-JAN-1996,
AKAIMPEX,EQ,20.5,20.5,20.25,20.25,0.0,21.25,1000,20300,25-JAN-1996,
AKARLAMIN,EQ,14.25,14.5,14,14.45,0.0,14.25,1300,18625,25-JAN-1996,
AKGACOUST,EQ,25,25.2,25,25.2,0.0,25.4,400,10060,25-JAN-1996,
ALFALAVAL,EQ,149,150,146,149,0.0,150.05,850,126107.5,25-JAN-1996,
ALMBICHEM,EQ,1020,1020,1010,1019,0.0,1031,15,15245,25-JAN-1996,
ALPHADRUG,EQ,8,8.35,8,8.05,0.0,8,2200,17715,25-JAN-1996,
ALPICFIN,EQ,97.75,96.5,94,95,0.0,97.75,2000,189850,25-JAN-1996,
ALPINEIND,EQ,34.25,34.5,34.5,34.5,0.0,34.25,100,3450,25-JAN-1996,
ALSAMARINE,EQ,18.4,18.5,18.4,18.5,0.0,18,200,3690,25-JAN-1996,
ALTOS,EQ,66.1,66.7,66.1,66.15,0.0,66.1,1800,119265,25-JAN-1996,
AMARAJABAT,EQ,44.25,46,43,45.6,0.0,44.25,8000,359825,25-JAN-1996,
