SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
ISIBARS,EQ,35.65,35.65,34.6,34.6,0.0,36.05,1000,35265,26-AUG-1996,
ISMETALTUB,EQ,57.1,57.1,56,56,0.0,58.5,400,22510,26-AUG-1996,
ISPATALLOY,EQ,6.5,6.6,6.5,6.5,0.0,6.45,1100,7180,26-AUG-1996,
ISSAL,EQ,5.7,6.3,5.7,6,0.0,6.25,3100,18605,26-AUG-1996,
ITC,EQ,288.95,288.95,280.9,281.65,0.0,287.5,2210200,627766555,26-AUG-1996,
ITCAGRO,EQ,40,41.9,39.95,41.25,0.0,39.85,10900,447150,26-AUG-1996,
ITCBHADRA,EQ,85,85.95,84.2,84.9,0.0,85.5,8050,684770,26-AUG-1996,
ITCCLASSIC,EQ,40.4,42,40.05,41,0.0,40,12500,510700,26-AUG-1996,
ITCHOTEL,EQ,158,159.9,155.1,155.15,0.0,157.4,2500,392320,26-AUG-1996,
ITI,EQ,12.25,12.25,10.8,10.8,0.0,12,2100,23200,26-AUG-1996,
ITWSIGNODE,EQ,84.5,86,84.5,86,0.0,86.55,5950,511075,26-AUG-1996,
JAGAJITIND,EQ,26.95,27.25,25.45,25.45,0.0,25.05,1900,51115,26-AUG-1996,
JAINIRRIG,EQ,64.85,64.85,62.75,63.05,0.0,63.3,12400,788070,26-AUG-1996,
JAMNAUTO,EQ,14.6,14.6,14.1,14.55,0.0,14.55,700,10040,26-AUG-1996,
JASCHIND,EQ,6.5,6.5,6.5,6.5,0.0,6.75,300,1950,26-AUG-1996,
JAYAGROGN,EQ,85,85,83.5,83.5,0.0,83.5,600,50250,26-AUG-1996,
JAYBUSMAC,EQ,8.4,9.25,8.4,9.1,0.0,8.55,3100,27680,26-AUG-1996,
JAYDYSTUF,EQ,27.5,27.5,26.5,26.5,0.0,28,300,8050,26-AUG-1996,
JAYPEEHOT,EQ,17.95,17.95,16.5,16.5,0.0,17,7500,127925,26-AUG-1996,
JAYSYNTDYE,EQ,29.95,29.95,29,29,0.0,28.3,3000,88190,26-AUG-1996,
JBCHEPHARM,EQ,87.55,87.55,86.95,87,0.0,90,300,26150,26-AUG-1996,
JBFIND,EQ,10.7,11.35,10.4,10.4,0.0,10.7,1200,12960,26-AUG-1996,
JCT,EQ,13.85,14.75,13.55,13.75,0.0,13.55,21200,294535,26-AUG-1996,
JCTELEC,EQ,13.25,13.75,13,13.7,0.0,13.85,5000,66455,26-AUG-1996,
JENSONICOL,EQ,48,48,48,48,0.0,47.95,100,4800,26-AUG-1996,
JFLABS,EQ,4.7,4.7,4.1,4.1,0.0,4.5,4900,21665,26-AUG-1996,
JINDALDRIL,EQ,109.5,109.5,103.5,103.5,0.0,102,150,15827.5,26-AUG-1996,
JINDALFOTO,EQ,86,87.5,85.5,86.35,0.0,87.7,1100,94925,26-AUG-1996,
JINDALIRON,EQ,45,46.25,44.55,44.9,0.0,45.5,11500,519690,26-AUG-1996,
JINDALPOLY,EQ,190,190,185.35,189,0.0,186.4,2900,543315,26-AUG-1996,
JINDALSTRP,EQ,89.5,90.5,89.05,89.7,0.0,89.8,14500,1304265,26-AUG-1996,
JINDLFERRO,EQ,37,38.25,37,37.5,0.0,36.9,1300,49175,26-AUG-1996,
JINDVIJSTL,E1,2.55,2.7,2.45,2.45,0.0,2.7,12000,30405,26-AUG-1996,
JINDVIJSTL,E2,1.25,1.35,1.25,1.35,0.0,1.35,14800,19260,26-AUG-1996,
JINDVIJSTL,EQ,6.45,6.45,6.2,6.3,0.0,6.35,47100,298820,26-AUG-1996,
JKCORP,EQ,74.05,75.5,70,72.45,0.0,75.5,4800,350435,26-AUG-1996,
JKDAIRY,EQ,5,5.5,5,5.5,0.0,5.5,1200,6100,26-AUG-1996,
JKPHARMA,EQ,9.6,10.15,9.5,9.75,0.0,10.05,1400,13595,26-AUG-1996,
JKSYNTHETC,EQ,15,15,14.6,14.6,0.0,14.7,4800,70820,26-AUG-1996,
JKUDYOG,EQ,10,10.35,9.5,9.55,0.0,9.4,3000,30025,26-AUG-1996,
JMSHARE,EQ,12.3,12.3,12.25,12.25,0.0,12.5,300,3680,26-AUG-1996,
JORDENGG,EQ,27.7,27.7,25.5,25.6,0.0,25.5,800,20720,26-AUG-1996,
JPIND,EQ,22.1,22.35,21.7,21.8,0.0,21.95,44100,971760,26-AUG-1996,
JYOTISTRUC,EQ,162.5,164.5,162.5,164.5,0.0,162.05,500,81950,26-AUG-1996,
KABRAEXTRU,EQ,86,87,86,87,0.0,86.75,200,17300,26-AUG-1996,
KAJARIACER,EQ,122.95,122.95,119,119.05,0.0,120.45,5300,640075,26-AUG-1996,
KAKATCEM,EQ,36,36.95,36,36.2,0.0,35.25,2500,90770,26-AUG-1996,
KALPATPOWR,EQ,54.25,55.85,54,55.85,0.0,55,800,43510,26-AUG-1996,
KALYANBRAK,EQ,133,133,133,133,0.0,131,100,13300,26-AUG-1996,
KALYANISHP,EQ,19.5,19.9,19.5,19.9,0.0,19,200,3940,26-AUG-1996,
KALYANISTL,EQ,33.5,33.5,31,31.75,0.0,32.3,1900,60925,26-AUG-1996,
