SYMBOL," SERIES"," DATE1"," PREV_CLOSE"," OPEN_PRICE"," HIGH_PRICE"," LOW_PRICE"," LAST_PRICE"," CLOSE_PRICE"," AVG_PRICE"," TTL_TRD_QNTY"," TURNOVER_LACS"," NO_OF_TRADES"," DELIV_QTY"," DELIV_PER"
SPLIL," EQ"," 09-Apr-2025"," 33.30"," 33.39"," 34.23"," 32.72"," 33.00"," 33.41"," 33.39"," 8891"," 2.97"," 253"," 6165"," 69.34"
SPLPETRO," EQ"," 09-Apr-2025"," 590.35"," 585.00"," 596.80"," 581.85"," 591.00"," 592.40"," 590.61"," 15675"," 92.58"," 3847"," 7570"," 48.29"
SPMLINFRA," EQ"," 09-Apr-2025"," 190.45"," 193.00"," 209.40"," 185.60"," 203.71"," 205.67"," 200.16"," 1277001"," 2556.02"," 10902"," 440882"," 34.52"
SPORTKING," EQ"," 09-Apr-2025"," 85.48"," 85.21"," 86.97"," 83.90"," 86.65"," 85.89"," 85.21"," 78110"," 66.56"," 2520"," 37321"," 47.78"
SPPPOLY," SM"," 09-Apr-2025"," 17.35"," 17.35"," 18.20"," 17.35"," 18.20"," 18.20"," 18.02"," 20000"," 3.60"," 10"," 18000"," 90.00"
SRD," EQ"," 09-Apr-2025"," 59.74"," 60.63"," 63.45"," 57.51"," 62.50"," 61.84"," 60.33"," 92059"," 55.54"," 1091"," 60135"," 65.32"
SREEL," EQ"," 09-Apr-2025"," 227.34"," 223.89"," 228.20"," 221.00"," 224.78"," 223.10"," 223.96"," 3413"," 7.64"," 284"," 1959"," 57.40"
SRF," EQ"," 09-Apr-2025"," 2760.15"," 2760.55"," 2774.95"," 2705.00"," 2730.95"," 2744.40"," 2739.96"," 367531"," 10070.19"," 44300"," 203933"," 55.49"
SRGHFL," EQ"," 09-Apr-2025"," 322.95"," 332.30"," 332.30"," 316.00"," 316.65"," 317.75"," 321.61"," 8846"," 28.45"," 1069"," 4363"," 49.32"
SRHHYPOLTD," EQ"," 09-Apr-2025"," 491.30"," 497.15"," 497.15"," 479.60"," 495.00"," 493.00"," 486.56"," 10167"," 49.47"," 1481"," 5289"," 52.02"
SRM," BE"," 09-Apr-2025"," 316.00"," 320.90"," 321.00"," 314.15"," 315.90"," 316.80"," 315.99"," 3490"," 11.03"," 124"," -"," -"
SRPL," BZ"," 09-Apr-2025"," 1.05"," 1.06"," 1.08"," 1.01"," 1.08"," 1.08"," 1.04"," 51420"," 0.54"," 140"," -"," -"
SSDL," EQ"," 09-Apr-2025"," 88.47"," 86.51"," 87.70"," 85.00"," 87.00"," 86.75"," 86.19"," 117048"," 100.88"," 2264"," 43886"," 37.49"
SSEGL," SM"," 09-Apr-2025"," 435.00"," 430.00"," 446.00"," 425.05"," 441.90"," 440.05"," 437.12"," 28600"," 125.02"," 113"," 19000"," 66.43"
SSFL," SM"," 09-Apr-2025"," 162.95"," 162.95"," 163.00"," 160.95"," 163.00"," 163.00"," 162.18"," 3500"," 5.68"," 7"," 2500"," 71.43"
SSWL," EQ"," 09-Apr-2025"," 185.97"," 185.97"," 187.83"," 182.21"," 182.70"," 182.91"," 183.67"," 156993"," 288.35"," 6437"," 72423"," 46.13"
STALLION," EQ"," 09-Apr-2025"," 74.33"," 73.55"," 73.95"," 71.01"," 71.30"," 71.33"," 71.86"," 437996"," 314.73"," 6001"," 203884"," 46.55"
STANLEY," EQ"," 09-Apr-2025"," 308.10"," 308.10"," 309.95"," 298.00"," 302.00"," 301.80"," 301.75"," 23578"," 71.15"," 2141"," 12443"," 52.77"
STAR," EQ"," 09-Apr-2025"," 594.55"," 594.80"," 594.80"," 566.65"," 583.00"," 584.40"," 577.25"," 299236"," 1727.34"," 13321"," 140282"," 46.88"
STARCEMENT," EQ"," 09-Apr-2025"," 217.95"," 217.00"," 219.50"," 215.01"," 216.36"," 217.18"," 216.49"," 119357"," 258.39"," 4247"," 47613"," 39.89"
STARHEALTH," EQ"," 09-Apr-2025"," 349.65"," 344.05"," 361.50"," 344.05"," 357.00"," 358.20"," 353.87"," 566462"," 2004.51"," 20437"," 233223"," 41.17"
STARPAPER," EQ"," 09-Apr-2025"," 159.30"," 159.00"," 159.00"," 155.22"," 158.15"," 157.40"," 156.98"," 3652"," 5.73"," 217"," 1977"," 54.13"
STARTECK," EQ"," 09-Apr-2025"," 298.70"," 325.00"," 337.95"," 310.00"," 322.50"," 324.90"," 324.41"," 52006"," 168.71"," 2515"," 6374"," 12.26"
STCINDIA," EQ"," 09-Apr-2025"," 112.32"," 112.00"," 112.00"," 109.99"," 110.25"," 110.69"," 110.74"," 19503"," 21.60"," 1231"," 7219"," 37.01"
