SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,,DELIV_QTY,DELIV_PER
CSBBANK,EQ,185.75,186.6,183.05,184.25,184,185.3,87513,16142496.7,06-JUN-2022,1766,INE679A01013,,56273,64.30
CTE,EQ,61,69,58.4,66.5,67.5,64.25,324212,20949010.55,06-JUN-2022,6077,INE627H01017,,69284,21.37
CUB,EQ,142.9,144.4,139.5,140.05,139.5,143.2,2206938,311719522.45,06-JUN-2022,24741,INE491A01021,,699273,31.69
CUBEXTUB,EQ,27.6,28.3,26.7,27.8,27.65,27.65,26160,724934.1,06-JUN-2022,288,INE144D01012,,8612,32.92
CUMMINSIND,EQ,1014.15,1016,990.85,1011.45,1002.95,1009.7,235955,236824216.25,06-JUN-2022,14832,INE298A01020,,51308,21.74
CUPID,EQ,230.1,236.05,228.65,234.25,232.25,233.65,21215,4931286.65,06-JUN-2022,1163,INE509F01011,,10791,50.86
CYBERMEDIA,BE,17.5,18,17.05,17.25,17.5,17.5,3286,57425.65,06-JUN-2022,28,INE278G01037,,-,-
CYBERTECH,EQ,150.5,150.5,146.15,147.3,148,149.1,24440,3605601.25,06-JUN-2022,934,INE214A01019,,9675,39.59
CYIENT,EQ,805,814,785.95,790.35,792.95,796.35,134651,107292713.7,06-JUN-2022,7735,INE136B01020,,47262,35.10
DAAWAT,EQ,80.75,81.65,77.8,78.3,78.4,80.75,955896,75538702.75,06-JUN-2022,6829,INE818H01020,,400322,41.88
DABUR,EQ,509,513.15,505.35,508.6,510.15,513.95,3537326,1799683264,06-JUN-2022,35093,INE016A01026,,1651413,46.69
DALBHARAT,EQ,1252.8,1298,1240.5,1282.7,1279,1252.8,484135,614574596.85,06-JUN-2022,24940,INE00R701025,,114803,23.71
DALMIASUG,EQ,368.2,386.15,368,375.7,376,379.95,204185,76869365.55,06-JUN-2022,9138,INE495A01022,,52434,25.68
DAMODARIND,EQ,50.4,50.4,48.65,48.9,48.8,49.5,4448,218272.1,06-JUN-2022,164,INE497D01022,,2982,67.04
DANGEE,EQ,350,368,350,356.6,355.6,354.9,77364,27771278.85,06-JUN-2022,835,INE688Y01014,,54967,71.05
DATAMATICS,EQ,331.9,333.85,321,326.3,326.75,331.95,170573,55778626.85,06-JUN-2022,8675,INE365B01017,,43244,25.35
DATAPATTNS,EQ,755.1,770.5,742.1,752.65,751,757.95,85330,64538565.5,06-JUN-2022,6325,INE0IX101010,,22440,26.30
DBCORP,EQ,81,81,79.15,80.6,80.1,81.45,61964,4976502,06-JUN-2022,2386,INE950I01011,,32052,51.73
DBL,EQ,230,236.8,227.45,235.1,233.85,233.05,290413,67332132.65,06-JUN-2022,5687,INE917M01012,,73512,25.31
DBREALTY,BE,76.5,80.4,76.5,78.25,77.4,80.4,251607,19723895,06-JUN-2022,937,INE879I01012,,-,-
DBSTOCKBRO,EQ,19.8,19.85,18.95,19.85,19.85,18.95,4443,87223.35,06-JUN-2022,89,INE921B01025,,3592,80.85
DCAL,EQ,119.4,121.8,116.05,119.5,119.15,119.15,275906,32972194.6,06-JUN-2022,11075,INE385W01011,,67675,24.53
DCBBANK,EQ,85.5,86.25,83.3,85.8,86,85.5,1034977,88253509.85,06-JUN-2022,7815,INE503A01015,,598481,57.83
DCM,EQ,73.45,74.6,71.5,73.6,74.35,73.45,13071,957793,06-JUN-2022,435,INE498A01018,,5901,45.15
DCMFINSERV,BE,3.5,3.55,3.3,3.55,3.55,3.4,6210,21763.6,06-JUN-2022,27,INE891B01012,,-,-
DCMNVL,EQ,186.8,186.8,176.6,181.7,186,182.75,18856,3391406.1,06-JUN-2022,608,INE08KP01019,,10666,56.57
DCMSHRIRAM,EQ,995,995.7,980,985.3,980.95,997.65,33082,32609964.9,06-JUN-2022,3355,INE499A01024,,11233,33.96
DCMSRIND,EQ,89.15,89.7,88.35,89.25,89.2,89.75,67114,5980656.45,06-JUN-2022,1930,INE843D01027,,34367,51.21
