SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,,DELIV_QTY,DELIV_PER
FLUOROCHEM,EQ,1711.1,1742.6,1670,1675.05,1674.7,1709.7,67070,114186134.2,17-AUG-2021,5298,INE09N301011,,51850,77.31
FMGOETZE,EQ,282.85,282.85,277,277.95,277.95,280,64857,18109900.3,17-AUG-2021,2221,INE529A01010,,36521,56.31
FMNL,EQ,9.4,9.6,8.85,8.95,8.9,9.25,237514,2192830.8,17-AUG-2021,709,INE360L01017,,199905,84.17
FOCUS,SM,68.6,71.9,67.5,69.95,70,69.1,36000,2502600,17-AUG-2021,11,INE593W01010,,18000,50.00
FORCEMOT,EQ,1367.6,1395.6,1358.4,1377.3,1372,1367.6,55281,76035854.45,17-AUG-2021,5452,INE451A01017,,12232,22.13
FORTIS,EQ,257.45,269.4,256.15,264.6,263.4,257.7,16360052,4322452464.35,17-AUG-2021,166884,INE061F01013,,4078947,24.93
FOSECOIND,EQ,1504.6,1525,1470,1484.65,1498.6,1512.3,1575,2367101.9,17-AUG-2021,335,INE519A01011,,960,60.95
FRETAIL,EQ,48,48,45.3,45.7,45.5,47.55,1486901,68755082.25,17-AUG-2021,10096,INE752P01024,,913839,61.46
FSC,EQ,65,68.1,62.7,63.35,63.95,64.95,48071,3089348.75,17-AUG-2021,1199,INE935Q01015,,28321,58.91
FSL,EQ,201,206.5,198.5,201.65,200.5,201.75,5073025,1027295898.25,17-AUG-2021,38746,INE684F01012,,1006472,19.84
GABRIEL,EQ,156.45,157.65,152.1,154.2,154.5,156.25,1668420,257702354.25,17-AUG-2021,13594,INE524A01029,,457487,27.42
GAEL,EQ,178.85,179.3,174,174.5,174.8,177.45,206363,36364067.85,17-AUG-2021,4518,INE036B01030,,92201,44.68
GAIL,EQ,148.45,149.2,144.85,147,147,148.5,5886199,864861315.4,17-AUG-2021,37080,INE129A01019,,2271982,38.60
GAL,EQ,3.25,3.25,3,3.1,3.15,3.25,570038,1777206.6,17-AUG-2021,566,INE482J01021,,414863,72.78
GALAXYSURF,EQ,3048,3054.95,3020,3034.3,3035,3032.75,34791,105637180,17-AUG-2021,5464,INE600K01018,,23839,68.52
GALLANTT,EQ,71.15,72.4,69.9,70.65,70.65,70.65,38452,2735065.35,17-AUG-2021,1018,INE297H01019,,18616,48.41
GALLISPAT,EQ,58,60.15,58,58.6,59,59,45507,2675774.3,17-AUG-2021,1012,INE528K01029,,26610,58.47
GANDHITUBE,EQ,486,487.7,479,480.05,479,486.95,19375,9333806.25,17-AUG-2021,1732,INE524B01027,,7306,37.71
GANECOS,EQ,528.35,536.3,520,522.8,521.5,529.9,10702,5599384.25,17-AUG-2021,640,INE845D01014,,7486,69.95
GANESHHOUC,EQ,125.55,127.75,121,125.95,125.1,125.55,57894,7278434.5,17-AUG-2021,1266,INE460C01014,,39324,67.92
GANGAFORGE,EQ,126.75,129.6,126.1,128,129.05,126.15,90384,11513451.3,17-AUG-2021,340,INE691Z01015,,34306,37.96
GANGESSECU,EQ,83.75,85.8,81.55,83.3,83.5,81.5,6289,525381.75,17-AUG-2021,143,INE335W01016,,3701,58.85
GARFIBRES,EQ,3269.85,3313,3222.05,3238.95,3250,3264.05,9792,31907993.5,17-AUG-2021,2696,INE276A01018,,4963,50.68
GATI,EQ,143.75,148.35,142.7,145.05,145.5,143.55,516774,75131518.5,17-AUG-2021,6311,INE152B01027,,179701,34.77
GAYAPROJ,EQ,42,43.6,39.65,42.9,42.7,41.85,2237154,93473487.45,17-AUG-2021,7689,INE336H01023,,1034315,46.23
GDL,BE,280,284.85,272.15,277.9,274.85,285.4,76523,21351052.8,17-AUG-2021,2445,INE852F01015,,-,-
GEECEE,EQ,154,156.9,149.55,153.1,150.75,155.55,39953,6116665.85,17-AUG-2021,1712,INE916G01016,,20042,50.16
GEEKAYWIRE,EQ,90.95,92.9,90.85,91.85,91.1,91.15,6887,630005.35,17-AUG-2021,161,INE669X01016,,6315,91.69
GENCON,EQ,44.65,45,43.75,44.05,43.75,44.6,13472,596873.7,17-AUG-2021,231,INE854S01022,,6408,47.57
GENESYS,EQ,133.35,140,133.1,133.8,133.55,133.35,16435,2249725.2,17-AUG-2021,215,INE727B01026,,10378,63.15
GENUSPAPER,BE,11,11,10.45,10.55,10.55,10.85,141157,1502654.6,17-AUG-2021,242,INE949P01018,,-,-
GENUSPOWER,EQ,60.35,63.4,58.75,61.3,61,60.35,1313876,79973597.6,17-AUG-2021,10651,INE955D01029,,334788,25.48
GEOJITFSL,EQ,80.6,80.6,78.6,79.45,79.7,80.65,317681,25302253.3,17-AUG-2021,4137,INE007B01023,,130036,40.93
GEPIL,EQ,306.55,311.95,301.05,303.05,303.05,310.8,95235,29302767.65,17-AUG-2021,3055,INE878A01011,,60178,63.19
GESHIP,EQ,308.6,314.3,299.65,308.45,310.3,309.75,475131,145026191.9,17-AUG-2021,12054,INE017A01032,,292558,61.57
GET&D,EQ,131.55,134.7,131.55,132.45,133,132.7,77252,10255496.9,17-AUG-2021,2813,INE200A01026,,36823,47.67
GFLLIMITED,EQ,67.6,68.2,66,67.05,66.95,67.6,53824,3602145.65,17-AUG-2021,1047,INE538A01037,,36043,66.96
GFSTEELS,BE,2.55,2.65,2.55,2.65,2.65,2.65,534,1367.6,17-AUG-2021,2,INE534A01028,,-,-
GHCL,EQ,356.8,357.2,344.5,349.8,350,355.2,148562,52156751.8,17-AUG-2021,8898,INE539A01019,,56107,37.77
GICHSGFIN,EQ,148.7,152.65,142.2,143.45,143,151.1,681291,100219742.65,17-AUG-2021,8861,INE289B01019,,339180,49.78
GICRE,EQ,158,159.6,154.15,155.45,155.3,158.2,633042,99082145.15,17-AUG-2021,12440,INE481Y01014,,241700,38.18
GILLANDERS,BE,53,54.5,50.7,52,52,53.25,5168,268238.3,17-AUG-2021,32,INE047B01011,,-,-
GILLETTE,EQ,5975,6075,5935.35,5967,5950,5921.65,12120,72659088.35,17-AUG-2021,2844,INE322A01010,,7901,65.19
GINNIFILA,EQ,31.7,32,29.9,30.4,30.4,31.95,337251,10292314,17-AUG-2021,879,INE424C01010,,282333,83.72
GIPCL,EQ,88.5,89.45,85.45,86.35,86.8,88.6,480694,42037905.4,17-AUG-2021,6674,INE162A01010,,162528,33.81
GKWLIMITED,EQ,678,699,677.4,694.75,699,701.3,1405,972075.65,17-AUG-2021,493,INE528A01020,,151,10.75
GLAND,EQ,4119,4194,4050,4113.3,4135,4117.05,202098,832572375.4,17-AUG-2021,41281,INE068V01023,,98183,48.58
GLAXO,EQ,1610,1617,1582.2,1593.95,1592,1606.15,30552,48869302.75,17-AUG-2021,3729,INE159A01016,,12022,39.35
GLENMARK,EQ,569.85,569.85,550.5,554,553.5,569.35,1850194,1033041089.45,17-AUG-2021,38820,INE935A01035,,519114,28.06
GLFL,EQ,2.9,3,2.9,3,3,2.8,3930,11565.2,17-AUG-2021,11,INE540A01017,,,
GLOBAL,EQ,45.7,49,45.7,45.8,45.8,46.65,4911,226880.85,17-AUG-2021,79,INE291W01011,,3394,69.11
GLOBALVECT,EQ,51.75,52.95,50.05,50.85,50.6,52.25,9867,503419.55,17-AUG-2021,155,INE792H01019,,7285,73.83
GLOBE,BE,11.65,11.65,11.65,11.65,11.65,12.25,78127,910179.55,17-AUG-2021,324,INE581X01021,,-,-
