SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
21STCENMGM,BE,3.15,3.15,3.15,3.15,3.15,3.1,300,945,23-FEB-2001,
AARTIDRUGS,EQ,19.7,20.5,19.1,20,20,20.3,675,13466.5,23-FEB-2001,
AARTIIND,EQ,34.3,34.3,32,32.8,34,33.5,700,23000,23-FEB-2001,
ABANLLOYD,EQ,36.7,38.35,36.6,37.1,37.1,37.3,5046,188311.1,23-FEB-2001,
ABB,EQ,316,321,303,305.6,304.1,314.15,222605,69845316.3,23-FEB-2001,
ABBALPO,EQ,35.5,37,33.55,33.55,33.55,36.45,24253,850005.1,23-FEB-2001,
ABBOTTLAB,EQ,196,198,192,193.6,192.4,195.95,1531,297428.25,23-FEB-2001,
ABGHEAVY,EQ,16,16.5,16,16.5,16.5,16.8,900,14800,23-FEB-2001,
ABSIND,EQ,29.5,29.9,27.15,27.65,27.15,27.8,1000,28100.9,23-FEB-2001,
ACC,EQ,185.25,187.45,178.85,180.5,180,185.75,4642164,852832385.95,23-FEB-2001,
ADANIEXPO,EQ,779,809,772,781.75,789,795.4,458047,364986613.45,23-FEB-2001,
ADLABSFILM,EQ,101.9,102.9,99,99,99,101,3029,306552.9,23-FEB-2001,
ADVANIORLI,EQ,14.7,15,14.7,15,15,15.5,1550,23085,23-FEB-2001,
AEGISCHEM,EQ,8.7,8.85,8.7,8.8,8.75,9,850,7442.5,23-FEB-2001,
AFTEKINFO,BE,462,498,430,440.25,440,492.35,6188,2862570.55,23-FEB-2001,
AGREVOIND,EQ,168.6,170,168,168.05,168,170,577,97298.75,23-FEB-2001,
AGRODUTCH,EQ,40.5,40.5,37.05,37.4,37.2,39.95,10786,408109.4,23-FEB-2001,
AHMEDELEC,EQ,47.5,48,45.05,46,46,47.1,3758,175318.5,23-FEB-2001,
AHMEDFORGE,EQ,9.2,9.2,9.1,9.1,9.1,9.85,1000,9120,23-FEB-2001,
AJANTPHARM,EQ,119.3,119.4,118,118,118,121.3,4362,515121.05,23-FEB-2001,
AKARLAMIN,EQ,2.35,2.35,2.35,2.35,2.35,2.4,500,1175,23-FEB-2001,
AKSHOPTFBR,EQ,126,126,115.25,117.85,117.4,123,259743,31459056.75,23-FEB-2001,
ALBRMORARJ,EQ,187,211,187,201.1,201.1,200,129,25869.1,23-FEB-2001,
ALEMBICLTD,EQ,167.65,169.6,162,162.6,162,167.1,3683,608506.2,23-FEB-2001,
ALFALAVAL,EQ,151.6,155.9,150,150.15,150,148.5,2940,445359.7,23-FEB-2001,
ALOKTEXT,EQ,16.2,16.3,15.75,15.8,15.8,16.15,39933,638072,23-FEB-2001,
ALPICFIN,EQ,24.05,24.8,23.55,23.9,24,24.25,4370,104661.25,23-FEB-2001,
ALPSINDUS,EQ,105.4,105.4,102,102,102,110,21300,2244025,23-FEB-2001,
AMARAJABAT,EQ,272,275.5,250.1,274.6,275.25,271.5,412083,111539922.75,23-FEB-2001,
AMBASARABH,EQ,7.3,7.3,7,7.05,7,7.25,9053,65576.9,23-FEB-2001,
AMFORGEIND,EQ,4.7,4.7,4.7,4.7,4.7,5.35,33,155.1,23-FEB-2001,
