SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
MAGMA,N6,980,980,980,980,980,975,8,7840,13-Jul-20,1,INE511C07706
MAGNUM,BE,6.7,6.7,6.1,6.7,6.7,6.4,99488,642518.7,13-Jul-20,141,INE387I01016
MAHABANK,EQ,11.6,11.7,11.2,11.25,11.25,11.55,1682033,19090623.1,13-Jul-20,2794,INE457A01014
MAHAPEXLTD,BE,75,75,70,70,70,72,130,9350,13-Jul-20,8,INE843B01013
MAHASTEEL,EQ,74.95,74.95,71,71.3,71,72.9,4747,339609.2,13-Jul-20,163,INE451L01014
MAHEPC,EQ,178,184.9,173.15,178.6,177.5,181.9,787252,140503653.9,13-Jul-20,13451,INE215D01010
MAHESHWARI,EQ,170.1,170.1,162,163.5,164.6,169.25,32459,5440520.8,13-Jul-20,625,INE263W01010
MAHINDCIE,EQ,113.5,117.6,113.5,115.35,116,112.65,94521,10968914.15,13-Jul-20,3923,INE536H01010
MAHLIFE,EQ,218.5,222.9,215.05,216.2,217,217.4,69100,14993395.1,13-Jul-20,2889,INE813A01018
MAHLOG,EQ,333.8,352,327,331.55,329,330.1,287063,98681489,13-Jul-20,6879,INE766P01016
MAHSCOOTER,EQ,3268.95,3280,2934.8,3086.65,3109.95,3181.35,12825,40254220.45,13-Jul-20,2069,INE288A01013
MAHSEAMLES,EQ,228.85,233.2,225.5,228.6,227.9,227.35,139992,32103413.05,13-Jul-20,2442,INE271B01025
MAITHANALL,EQ,481,483.7,473.5,475,474.7,477.5,24908,11919699.8,13-Jul-20,1487,INE683C01011
MAJESCO,EQ,367.05,368.95,343.95,353,355,360.05,19689,6948624.6,13-Jul-20,849,INE898S01029
MALUPAPER,EQ,30.4,30.65,29.5,29.6,29.5,30.3,11405,340152.75,13-Jul-20,198,INE383H01017
MAN50ETF,EQ,110.2,110.45,109.7,109.75,109.8,109.5,668,73566.85,13-Jul-20,26,INF769K01EG9
MANAKALUCO,EQ,9.75,9.75,9.1,9.4,9.45,9.3,35930,337168.55,13-Jul-20,84,INE859Q01017
MANAKCOAT,EQ,5.4,5.4,5.15,5.15,5.15,5.4,3386,17587.9,13-Jul-20,24,INE830Q01018
MANAKSIA,EQ,35,36,33.95,35.3,34.8,34.2,31153,1084290.8,13-Jul-20,397,INE015D01022
MANAKSTEEL,EQ,9.9,10.2,9.7,9.7,9.7,10.2,39845,392722.25,13-Jul-20,154,INE824Q01011
MANALIPETC,EQ,21.4,21.8,20.2,20.45,20.45,21.35,310335,6426910.25,13-Jul-20,1615,INE201A01024
MANAPPURAM,EQ,161.3,162.65,156.65,157.8,158,160,4928754,785953186.5,13-Jul-20,27495,INE522D01027
MANGALAM,BE,66.55,67,63.5,66.4,66.5,64.75,28879,1889642.65,13-Jul-20,235,INE584F01014
MANGCHEFER,EQ,37.7,38.2,36.5,37,37.1,37.2,989432,36742687.8,13-Jul-20,10102,INE558B01017
MANGLMCEM,EQ,200,200.95,194.45,196.7,198,196.8,51891,10261828.6,13-Jul-20,990,INE347A01017
MANGTIMBER,EQ,7.55,7.55,7.2,7.45,7.55,7.5,731,5505.75,13-Jul-20,17,INE805B01012
MANINDS,EQ,47.75,48.15,46.05,46.7,46.65,47.35,69965,3277564.65,13-Jul-20,821,INE993A01026
MANINFRA,EQ,18.5,18.85,18.05,18.1,18.15,18.5,110593,2027374,13-Jul-20,603,INE949H01023
MANUGRAPH,BE,8.55,8.95,8.2,8.25,8.25,8.55,4781,40099.7,13-Jul-20,38,INE867A01022
MANXT50,EQ,264.4,264.4,262.3,262.3,262.3,262.3,1504,394539.5,13-Jul-20,13,INF769K01FN2
MARALOVER,EQ,12.9,13.15,12.6,13.1,13.1,12.9,1478,19159.85,13-Jul-20,32,INE882A01013
MARATHON,EQ,51,52.6,48.75,50.8,50.9,50.75,16763,851323.85,13-Jul-20,380,INE182D01020
MARICO,EQ,343.05,348,342.1,347.2,347.65,343.6,1301824,450227897.5,13-Jul-20,18246,INE196A01026
MARINE,SM,92.55,92.6,92,92.6,92.6,92.4,8000,739300,13-Jul-20,4,INE01JE01010
MARKSANS,EQ,34,35.35,33.95,35.35,35.35,33.7,2690315,94468306.25,13-Jul-20,5361,INE750C01026
MARSHALL,SM,5.25,5.5,5.25,5.5,5.5,5.25,21000,114150,13-Jul-20,6,INE00SZ01018
MARUTI,EQ,6000,6059.25,5927.8,5988.85,6006.2,5955.65,1035124,6198373072,13-Jul-20,80418,INE585B01010
MASFIN,EQ,685.6,685.6,656.15,667.25,668,674.85,16517,11104176.1,13-Jul-20,1443,INE348L01012
MASKINVEST,BE,51.15,51.15,48.75,51.15,51.15,48.75,3952,202140.75,13-Jul-20,17,INE885F01015
MASTEK,EQ,387.8,400,382.1,395.15,398,384.2,88419,34545460.2,13-Jul-20,4466,INE759A01021
MATRIMONY,EQ,385.5,398.85,380,386.85,395,389.35,2426,936880.4,13-Jul-20,193,INE866R01028
MAWANASUG,BE,29.5,29.5,27,28.2,28.2,28.35,19104,542065.05,13-Jul-20,140,INE636A01039
MAXVIL,EQ,33.9,34.55,32.5,33.1,32.85,33.9,47453,1588246.7,13-Jul-20,407,INE154U01015
MAYURUNIQ,EQ,249.9,264.95,227.7,232.6,234,222.1,634811,155407652,13-Jul-20,29376,INE040D01038
MAZDA,EQ,323.7,323.7,310.2,312.5,315.25,309.95,4460,1399426.3,13-Jul-20,312,INE885E01034
MBAPL,BE,65,65,65,65,65,68.4,85,5525,13-Jul-20,9,INE900L01010
MBECL,BE,5.4,5.4,5.1,5.15,5.15,5.2,22465,119054,13-Jul-20,35,INE748A01016
MBLINFRA,BE,6.2,6.5,6,6.5,6.5,6.2,89695,574017.9,13-Jul-20,115,INE912H01013
MC1RG,MF,6.78,6.78,6.78,6.78,6.78,6.17,1,6.78,13-Jul-20,1,INF903JA1DR1
MCDHOLDING,EQ,24,24.95,23.8,24.6,24.95,24.1,48953,1187345.5,13-Jul-20,187,INE836H01014
MCDOWELL-N,EQ,641,645,622.15,629.4,630,636.1,2830295,1787519001,13-Jul-20,44076,INE854D01024
MCL,SM,75.25,79,75.25,79,79,81.5,2400,185100,13-Jul-20,2,INE813V01022
MCLEODRUSS,BE,8.45,8.8,8.05,8.45,8.35,8.45,278558,2312859.85,13-Jul-20,406,INE942G01012
MCX,EQ,1332,1334.9,1295,1318.95,1317.8,1324.6,121325,160543061.3,13-Jul-20,6386,INE745G01035
MDL,SM,23.5,23.5,23.5,23.5,23.5,23.15,2000,47000,13-Jul-20,1,INE575Z01010
MEGASOFT,EQ,7,7.05,6.6,6.65,6.6,6.85,32687,219912,13-Jul-20,106,INE933B01012
MEGH,EQ,56.6,57.4,55.05,55.35,55.35,56.45,1341695,75272282.9,13-Jul-20,6338,INE974H01013
MELSTAR,BZ,2.55,2.55,2.55,2.55,2.55,2.65,4300,10965,13-Jul-20,10,INE817A01019
MENONBE,EQ,42.55,42.9,40.45,40.8,41,42.55,29490,1221981.85,13-Jul-20,570,INE071D01033
MEP,BE,20,21.15,20,20.5,20.5,20.5,21257,439397,13-Jul-20,82,INE776I01010
MERCATOR,BE,1.25,1.25,1.25,1.25,1.25,1.3,50092,62615,13-Jul-20,93,INE934B01028
METALFORGE,BE,4.9,5.4,4.9,5.4,5.4,5.15,16832,85490.4,13-Jul-20,33,INE425A01011
METKORE,BZ,0.85,0.85,0.85,0.85,0.85,0.9,3847,3269.95,13-Jul-20,13,INE592I01029
METROPOLIS,EQ,1521.85,1596.3,1486.1,1582.15,1585,1485.7,291009,452712904.8,13-Jul-20,16857,INE112L01020
MFSL,EQ,559,565.8,550.5,560.5,558.5,561.75,684025,380679882.9,13-Jul-20,13913,INE180A01020
MGEL,SM,58.2,58.2,58.2,58.2,58.2,57.95,6000,349200,13-Jul-20,3,INE0APB01016
MGL,EQ,970.4,983.4,962.9,969.95,971,969.95,685399,667189110,13-Jul-20,22029,INE002S01010
MHHL,SM,16.15,16.15,16.15,16.15,16.15,16.95,3000,48450,13-Jul-20,1,INE450S01011
MHRIL,EQ,174.9,174.9,165.6,166.6,167.6,172.75,34926,5894008.25,13-Jul-20,1132,INE998I01010
MIC,BE,1,1,1,1,1,1.05,4414,4414,13-Jul-20,8,INE287C01029
MIDHANI,EQ,216,218.7,213.2,214,214,214.1,1173285,253456564.4,13-Jul-20,14685,INE099Z01011
MILTON,SM,12.7,12.7,12.7,12.7,12.7,13.35,4400,55880,13-Jul-20,1,INE376Y01016
MINDACORP,EQ,73.5,73.75,71,71.5,71.1,73,528272,38110075.35,13-Jul-20,3314,INE842C01021
MINDAIND,EQ,304.2,307,302.5,304.95,305,304.95,112837,34441251.45,13-Jul-20,2325,INE405E01023
MINDTECK,EQ,25.4,26.05,24.7,25.5,25.75,24.85,23044,591624.8,13-Jul-20,243,INE110B01017
MINDTREE,EQ,1018.1,1026.55,1001.6,1007.8,1011.35,1007.95,794007,803796375,13-Jul-20,22521,INE018I01017
MIRCELECTR,BE,7.6,7.6,7.25,7.25,7.25,7.6,201120,1473278,13-Jul-20,310,INE831A01028
MIRZAINT,EQ,51,51.7,49.2,49.65,49.45,50.75,384250,19311553.5,13-Jul-20,3099,INE771A01026
MITTAL,EQ,82.35,82.35,82.35,82.35,82.35,86.65,115,9470.25,13-Jul-20,11,INE997Y01019
MKPL,SM,80,80,80,80,80,80.7,2000,160000,13-Jul-20,1,INE964W01013
MMFL,EQ,197,197,186,188,188,193.3,47156,8886968.95,13-Jul-20,1492,INE227C01017
MMP,EQ,79,80.5,75.25,76.2,76.7,79.55,10930,835643.4,13-Jul-20,112,INE511Y01018
MMTC,EQ,20.15,20.85,19.85,20,19.95,19.95,2986283,60256580.55,13-Jul-20,4992,INE123F01029
MODIRUBBER,BE,32.45,33.85,32.2,32.2,32.2,33.85,552,17974.4,13-Jul-20,7,INE832A01018
MOHOTAIND,BE,12.65,13.4,12.65,13.3,13.4,13.3,4067,51463.85,13-Jul-20,27,INE313D01013
MOIL,EQ,152,152.05,146.7,148.25,147.9,151.7,253551,37727774.85,13-Jul-20,5067,INE490G01020
MOKSH,SM,30,30,30,30,30,29,6000,180000,13-Jul-20,2,INE514Y01012
MOLDTECH,EQ,36.85,36.85,35.3,35.5,35.45,36.15,14316,511468.25,13-Jul-20,314,INE835B01035
MOLDTKPAC,EQ,203.7,204.6,200,200.65,200.9,200.9,26038,5261565.45,13-Jul-20,1249,INE893J01029
MONTECARLO,EQ,158,166,153.35,164.35,165.8,156.25,72423,11698456.25,13-Jul-20,1432,INE950M01013
MORARJEE,EQ,11.55,11.75,11.2,11.3,11.2,11.55,3001,34539.6,13-Jul-20,10,INE161G01027
MOREPENLAB,EQ,23.5,24.1,23.25,23.4,23.4,23.3,1637131,38721045.2,13-Jul-20,4162,INE083A01026
MOTHERSUMI,EQ,97.25,98.25,95.5,96.1,96.45,96.2,10195902,984154607.8,13-Jul-20,44365,INE775A01035
MOTILALOFS,EQ,692.1,708.35,665.35,669.6,669.6,691.55,124635,85622801.75,13-Jul-20,6989,INE338I01027
MOTOGENFIN,BE,19.75,20.25,19.3,19.45,19.45,19.75,6485,126603.1,13-Jul-20,51,INE861B01023
MPHASIS,EQ,916.55,934,910,923.65,930,919.15,118826,109355694,13-Jul-20,7645,INE356A01018
MPSLTD,EQ,289.05,299.8,285.1,288.7,295,289.3,4579,1328469.05,13-Jul-20,534,INE943D01017
MRF,EQ,65100,65698.9,64350,64673.45,64750,64867.25,8443,547354043.5,13-Jul-20,5630,INE883A01011
MRO-TEK,EQ,23.9,23.9,23.9,23.9,23.9,23.9,1087,25979.3,13-Jul-20,15,INE398B01018
MRPL,EQ,36.45,36.95,35.5,35.85,35.7,36.45,645217,23343429.2,13-Jul-20,2942,INE103A01014
MSPL,BE,6.3,6.9,6.3,6.7,6.55,6.6,7814,53120.6,13-Jul-20,46,INE752G01015
MSTCLTD,EQ,164.5,174.3,163.7,169.65,169,164.4,872455,147688332.5,13-Jul-20,13224,INE255X01014
MTEDUCARE,EQ,15.3,15.35,14.35,14.45,14.45,14.95,75552,1101002.8,13-Jul-20,270,INE472M01018
MTNL,EQ,10.8,10.8,10.3,10.3,10.3,10.8,1102461,11433528.55,13-Jul-20,6960,INE153A01019
MUKANDENGG,BE,8.95,8.95,8.55,8.55,8.55,8.95,5069,43392.45,13-Jul-20,20,INE022B01014
MUKANDLTD,BE,20.2,21.8,20.2,20.6,20.25,20.9,3109,64375.8,13-Jul-20,34,INE304A01026
MUKTAARTS,BE,22.7,23.9,22.7,23.2,23.35,23.8,2541,58505.25,13-Jul-20,39,INE374B01019
MUNJALAU,EQ,52.45,53.5,50.95,51.05,50.95,52.7,199101,10314273.45,13-Jul-20,1857,INE672B01032
MUNJALSHOW,EQ,105,105,99,99.85,100.25,102.85,33323,3370840.55,13-Jul-20,826,INE577A01027
MURUDCERA,EQ,17.3,17.9,16.8,17,16.85,17.3,28290,486494,13-Jul-20,222,INE692B01014
MUTHOOTCAP,EQ,395.9,398,385.25,387,386.85,394.3,20759,8078340.45,13-Jul-20,743,INE296G01013
MUTHOOTFIN,EQ,1090.3,1121,1080.3,1110.75,1113,1084.3,2018309,2223041268,13-Jul-20,61197,INE414G01012
