SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
INGVYSYABK,EQ,368.1,377,368.1,375.15,375.2,373.55,27067,10119756.95,05-SEP-2012,764,INE166A01011,
INNOIND,EQ,116,117.95,111.1,116,116.5,116.2,4148,482702.6,05-SEP-2012,100,INE549I01011,
INOXLEISUR,EQ,56.25,58.75,56.05,56.85,57,57.5,99351,5714762.7,05-SEP-2012,1239,INE312H01016,
INSECTICID,EQ,389,397.8,389,392.6,391,395.35,1691,664335.65,05-SEP-2012,140,INE070I01018,
INVENTURE,EQ,14.45,14.55,13.7,13.9,13.7,14.3,152747,2179097.95,05-SEP-2012,258,INE878H01016,
IOB,EQ,67.35,67.65,66,66.8,66.85,67.55,696656,46571217.1,05-SEP-2012,8399,INE565A01014,
IOC,EQ,243.5,247.7,239.25,245.5,245,243.95,547279,134531369.5,05-SEP-2012,7918,INE242A01010,
IOLCP,EQ,22.55,22.8,20.1,21.5,21.5,21.85,4028,86610.7,05-SEP-2012,28,INE485C01011,
IOLN,EQ,5.5,5.55,5.3,5.45,5.35,5.55,4555,24517.5,05-SEP-2012,11,INE517C01011,
IPCALAB,EQ,442.7,442.7,430,431.9,430.05,440.95,85794,37138850.3,05-SEP-2012,2701,INE571A01020,
IPGETF,EQ,3053,3068,3052.3,3062.2,3062.95,3042.05,140,428290.55,05-SEP-2012,42,INF109K01FV4,
IRB,EQ,126.3,128.5,124.2,126.4,125.5,126.9,1483310,187626562.1,05-SEP-2012,12400,INE821I01014,
IRFC,N1,1062.75,1062.75,1059,1060.75,1060.75,1062.33,810,859059,05-SEP-2012,15,INE053F07520,
IRFC,N2,1070.35,1070.95,1069.5,1069.62,1069.5,1070.38,9282,9931354.6,05-SEP-2012,60,INE053F07538,
ISFT,EQ,50.2,52.7,50.15,52.35,52.5,51.65,758,38912.55,05-SEP-2012,12,INE566K01011,
ISMTLTD,EQ,22.3,22.35,21.9,22.05,22.05,22.1,14782,326281.15,05-SEP-2012,72,INE732F01019,
ITC,EQ,266,269.3,266,267.75,267.95,266.5,4262062,1140261767.8,05-SEP-2012,47083,INE154A01025,
ITDCEM,EQ,230,230,222,222.1,222.5,230,988,223688.95,05-SEP-2012,37,INE686A01018,
ITI,EQ,21.85,22,21.2,21.55,21.55,21.65,106277,2298901.8,05-SEP-2012,639,INE248A01017,
IVC,EQ,25.9,26,25.5,25.9,25.8,25.75,61016,1584128,05-SEP-2012,72,INE050B01023,
IVP,EQ,42,42.75,39.8,39.95,42.75,40.9,55,2201.45,05-SEP-2012,20,INE043C01018,
IVRCLINFRA,EQ,38.85,39.95,38.25,39.35,39.5,39,4973539,195580677.3,05-SEP-2012,16089,INE875A01025,
J&KBANK,EQ,896,908.8,895.05,899.85,898.5,904.55,12113,10925263.95,05-SEP-2012,362,INE168A01017,
JAGRAN,EQ,90.7,92.6,90.15,90.35,90.2,90.75,2563301,231360083.7,05-SEP-2012,337,INE199G01027,
JAGSNPHARM,EQ,12.3,12.8,12.3,12.35,12.65,12.3,1837,23336.65,05-SEP-2012,26,INE048B01027,
