SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
IDEA,EQ,52,52,47.65,48,48,50,5248912,257104009.75,24-DEC-2008,
IDFC,EQ,57.5,60.65,57.5,59.6,60.25,58.4,12163816,723982340.05,24-DEC-2008,
IFBAGRO,EQ,41.9,43,40.25,42.7,42.7,42.3,170,7035.7,24-DEC-2008,
IFBIND,EQ,20.55,21.15,20.4,21,20.7,21.4,1642,33870.15,24-DEC-2008,
IFCI,EQ,21.6,22.2,20.85,21.85,21.95,21.9,11525285,247678350.45,24-DEC-2008,
IFGLREFRAC,EQ,19.5,22,19.5,22,22,21.3,327,6805.1,24-DEC-2008,
IGARASHI,EQ,13.5,14.35,13.2,13.75,13.65,14.25,4790,66338.3,24-DEC-2008,
IGL,EQ,99.8,101.5,99,100.7,101,100.15,144513,14397340.7,24-DEC-2008,
IGPL,EQ,19.5,21,18.8,19.75,20.9,19.65,2508,49919.55,24-DEC-2008,
IILTD,EQ,36,37,35.9,36.6,37,37.45,2692,98175,24-DEC-2008,
IMPAL,EQ,135.1,138.85,135.1,138.85,138.85,141.9,93,12699.15,24-DEC-2008,
IMPEXFERRO,EQ,8.65,9.1,8.65,9.1,9.1,9.1,2758,24533.45,24-DEC-2008,
INDBANK,EQ,8.5,9.2,8.5,9,9,8.85,3957,35455.6,24-DEC-2008,
INDHOTEL,EQ,45,45.05,43,43.3,44.1,45.05,503202,21992646.25,24-DEC-2008,
INDHOTEL,N4,86.11,86.11,86.11,86.11,86.11,93,10,861.1,24-DEC-2008,
INDHOTEL,W1,3.45,3.45,3.45,3.45,3.45,2.85,100,345,24-DEC-2008,
INDIABULLS,EQ,130.2,138.4,126.2,138.4,138.4,131.8,571008,76688687.25,24-DEC-2008,
INDIACEM,EQ,92,98.2,90.7,96.45,97.6,94.65,770754,72372150.9,24-DEC-2008,
INDIAGLYCO,EQ,63,66.5,62.1,64.1,64.4,63.5,24486,1571415.7,24-DEC-2008,
INDIAINFO,EQ,49.5,49.5,44.6,45.1,45.15,47.65,1385454,63712885.3,24-DEC-2008,
INDIANB,EQ,123,130.45,121.2,127.95,127.75,123.95,455834,58598092.95,24-DEC-2008,
INDIANCARD,EQ,59.1,60.45,59.1,60.45,60.45,60.35,68,4098.45,24-DEC-2008,
INDIANHUME,EQ,281,288.1,270,280.1,280.1,278,95,27053.95,24-DEC-2008,
INDLMETER,EQ,49,51.5,48.5,50.95,50.95,50.5,333,16702.45,24-DEC-2008,
INDNIPPON,EQ,80.7,95,80.7,90.6,95,88,348,31571.05,24-DEC-2008,
INDOASIFU,EQ,37.5,37.85,36,37.25,37.1,38.15,810,30085.15,24-DEC-2008,
INDOCO,EQ,130,130,126,128,128,126.5,215,27558.95,24-DEC-2008,
INDORAMA,EQ,13,14.35,13,13.95,14.3,13.9,2382,32669.05,24-DEC-2008,
INDOTECH,EQ,279.9,279.9,277.6,279.1,278.6,279.4,95254,26591401.65,24-DEC-2008,
INDOWIND,EQ,23.1,23.5,22.55,23.05,22.85,23.35,36297,835363.5,24-DEC-2008,
INDRAMEDCO,EQ,25.95,25.95,24.25,25.05,24.85,24.65,6991,172851.9,24-DEC-2008,
INDSWFTLAB,EQ,28,28.5,27.75,28.25,28.5,28.2,19282,539814.15,24-DEC-2008,
INDSWFTLTD,EQ,12.6,13.25,12.6,13,13.2,12.95,13017,170927.8,24-DEC-2008,
INDUSFILA,EQ,42.1,43.75,41.5,41.7,41.5,43.15,1183,50152.35,24-DEC-2008,
INDUSINDBK,EQ,37.5,38.2,36.3,36.6,37,37.65,309160,11427371.8,24-DEC-2008,
INEABS,EQ,92.9,92.9,92.9,92.9,92.9,88,7,650.3,24-DEC-2008,
INFOMEDIA,EQ,72,73.9,68.5,70.4,70.05,73.1,210,14937.55,24-DEC-2008,
INFOSYSTCH,EQ,1180,1222.25,1167.7,1174,1170,1176.05,1068882,1262221555.05,24-DEC-2008,
INFOTECENT,EQ,100,102,96.15,100.3,101.95,99.8,41079,4097434.05,24-DEC-2008,
INGERRAND,EQ,232.5,232.5,230.5,230.85,231,234.15,4565,1057314.5,24-DEC-2008,
INGVYSYABK,EQ,143,143,137,139,138,142.3,368995,51295190.15,24-DEC-2008,
INOXLEISUR,EQ,31.5,32,30.5,31,31.15,31.2,34331,1068298.5,24-DEC-2008,
INVSTSMART,EQ,72.5,72.9,68,69.6,70,71.7,770,53630.05,24-DEC-2008,
