SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,72.8,74.65,71.7,72.15,72.45,72.8,86200,6288503.95,12-JUL-2022,1704,INE144J01027,
21STCENMGM,EQ,25.05,25.05,24.3,25.05,25.05,24.6,2490,62366.45,12-JUL-2022,26,INE253B01015,
3IINFOLTD,EQ,43.95,45.2,42,43.4,43.45,44.1,323807,14323119.5,12-JUL-2022,3975,INE748C01038,
3MINDIA,EQ,22750,23125,22685.35,22938.05,22901,22869.75,1876,43020317.4,12-JUL-2022,1214,INE470A01017,
3PLAND,EQ,15.25,15.25,14.35,15.05,15.25,14.65,7984,120233.15,12-JUL-2022,158,INE105C01023,
574GS2026,GS,94.55,94.55,94.55,94.55,94.55,94.5,300,28365,12-JUL-2022,1,IN0020210186,
5PAISA,EQ,295,306.95,289,293.2,292,292.6,178250,52882994.5,12-JUL-2022,5718,INE618L01018,
63MOONS,EQ,190,191.35,186,187.75,188.4,189.3,55236,10427881.9,12-JUL-2022,1323,INE111B01023,
667GS2050,GS,91.99,91.99,90.97,90.98,90.98,90.4,24,2194.63,12-JUL-2022,5,IN0020200252,
676GS2061,GS,95,96,95,95,95,96,522,49591,12-JUL-2022,3,IN0020200401,
695GS2061,GS,93.95,93.95,92.5,92.5,92.5,93.51,5391,500666.9,12-JUL-2022,21,IN0020210202,
699GS2051,GS,94.99,94.99,94.99,94.99,94.99,94.9,2,189.98,12-JUL-2022,2,IN0020210194,
738GS2027,GS,101.1,101.1,101.1,101.1,101.1,101.11,400,40440,12-JUL-2022,1,IN0020220037,
754GS2036,GS,101.2,105,101.2,101.23,105,100.99,48121,4870002.5,12-JUL-2022,29,IN0020220029,
813GS2045,GS,115.85,115.85,115.85,115.85,115.85,115.85,105,12164.25,12-JUL-2022,2,IN0020150044,
A2ZINFRA,EQ,11.7,11.7,11.05,11.2,11.2,11.55,220284,2511327.95,12-JUL-2022,378,INE619I01012,
AAATECH,SM,93,93,89,89,89,94.05,12000,1092000,12-JUL-2022,4,INE0D0U01013,
AAKASH,EQ,14.35,14.85,14.05,14.85,14.85,14.15,196876,2882402.15,12-JUL-2022,336,INE087Z01024,
AAREYDRUGS,EQ,36.35,36.65,34.2,35.6,36.4,36.2,24288,873816.85,12-JUL-2022,290,INE198H01019,
AARON,EQ,115.4,126.8,113.1,123,121,115.4,59463,7323950.9,12-JUL-2022,1066,INE721Z01010,
AARTIDRUGS,EQ,420.2,430.35,415,420.7,417.05,418.5,94985,40293730.75,12-JUL-2022,5043,INE767A01016,
AARTIIND,EQ,743.95,747.9,726.6,728.85,727.7,744.2,904935,666873826.65,12-JUL-2022,28304,INE769A01020,
AARTISURF,EQ,690,730,685,722.75,723,696.45,17328,12290721.3,12-JUL-2022,1801,INE09EO01013,
AARVEEDEN,EQ,19.05,19.1,18,18.25,18.2,18.65,14511,268377.75,12-JUL-2022,121,INE273D01019,
AARVI,EQ,88.05,91,87.5,89.8,89,88.5,4755,427855.6,12-JUL-2022,90,INE754X01016,
