SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,,DELIV_QTY,DELIV_PER
HUHTAMAKI,EQ,273.3,277.85,270,271.05,270.2,273.3,52800,14437706.95,28-SEP-2021,2704,INE275B01026,,25943,49.13
IBMFNIFTY,EQ,181.85,181.85,176.15,176.34,176.15,178.26,457,81350.37,28-SEP-2021,108,INF666M01FS5,,278,60.83
IBREALEST,EQ,151.75,152.65,140.8,144.6,144.25,150.9,11306345,1653354296.05,28-SEP-2021,70458,INE069I01010,,4231800,37.43
IBUCCREDIT,N7,959.99,959.99,959.99,959.99,959.99,960,5,4799.95,28-SEP-2021,1,INE244L07127,,5,100.00
IBUCCREDIT,N9,955,955,950,951.5,951.5,960,136,129571.75,28-SEP-2021,14,INE244L07143,,136,100.00
IBUCCREDIT,ND,910,910,910,910,910,907.8,147,133770,28-SEP-2021,2,INE244L07184,,147,100.00
IBULHSGFIN,EQ,234.15,235.3,223.95,226.4,226.4,233,19014155,4334836423.5,28-SEP-2021,91973,INE148I01020,,6823662,35.89
IBULHSGFIN,N8,979.99,979.99,972,972,972,955.13,24,23407.9,28-SEP-2021,2,INE148I07GJ7,,24,100.00
IBULHSGFIN,NH,1000,1000,999.99,999.99,999.99,1000,103800,103799980,28-SEP-2021,135,INE148I07KB6,,103800,100.00
IBULHSGFIN,NT,1000,1000,1000,1000,0.0,1000,1,1000,28-SEP-2021,1,INE148I07KP6,,1,100.00
ICDSLTD,BE,87.55,87.55,87.55,87.55,87.55,92.15,1696,148484.8,28-SEP-2021,40,INE613B01010,,-,-
ICEMAKE,EQ,73.25,74.8,72.1,72.6,72.4,73.65,27453,2000731.55,28-SEP-2021,605,INE520Y01019,,14604,53.20
ICICI500,EQ,254.05,254.05,247.18,248.66,249.1,250.34,2275,566691.59,28-SEP-2021,245,INF109KC1CZ3,,1856,81.58
