SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,,DELIV_QTY,DELIV_PER
TIJARIA,EQ,6.7,6.85,6.4,6.55,6.5,6.6,19680,130099.5,29-APR-2022,63,INE440L01017,,11881,60.37
TIL,EQ,115.05,118,108.25,114.75,115,111.8,31565,3562822.15,29-APR-2022,1746,INE806C01018,,12765,40.44
TIMESCAN,SM,86,86,85,85.25,86,86,12000,1026200,29-APR-2022,6,INE0IJY01014,,6000,50.00
TIMESGTY,EQ,55.6,56.5,53.6,53.75,53.6,56.25,11269,616191.8,29-APR-2022,215,INE289C01025,,6796,60.31
TIMETECHNO,EQ,95.95,99.2,92.15,96.3,96.7,95.65,2264719,216935438.65,29-APR-2022,17171,INE508G01029,,1170379,51.68
TIMKEN,EQ,2040,2040,1973,1984.15,2002,2030.85,47372,94852756.2,29-APR-2022,7313,INE325A01013,,29056,61.34
TINPLATE,EQ,421,429,403.1,407.3,408.6,417.85,1024706,428295138.3,29-APR-2022,24599,INE422C01014,,250150,24.41
TIPSINDLTD,BE,1900,1900,1850.15,1862.65,1860,1874.55,4265,7982059.25,29-APR-2022,459,INE716B01011,,-,-
TIRUMALCHM,EQ,293.1,296.95,280,282.6,283.6,291.65,518618,150140553.7,29-APR-2022,7742,INE338A01024,,169625,32.71
TIRUPATIFL,EQ,10.4,11.2,10.4,11.2,11.2,10.7,74563,832443.85,29-APR-2022,133,INE319Y01024,,71049,95.29
TITAN,EQ,2521,2532,2450,2458.2,2466.35,2513.2,1496781,3726259985.8,29-APR-2022,74394,INE280A01028,,852072,56.93
TMRVL,EQ,14.9,15.3,14.7,14.85,14.85,14.9,28581,426762.3,29-APR-2022,211,INE759V01019,,15067,52.72
TNIDETF,EQ,66,66,61.2,61.39,61.6,62.32,9150,564024.77,29-APR-2022,179,INF277KA1364,,5727,62.59
TNPETRO,EQ,122,128.15,120.1,120.9,121,121.4,1558894,194085639.4,29-APR-2022,15434,INE148A01019,,316766,20.32
TNPL,EQ,223.1,225.45,206.1,210.55,207.9,221.05,455052,98605537.6,29-APR-2022,5836,INE107A01015,,214182,47.07
TNTELE,BE,8.15,8.4,8,8.2,8.3,8.4,6052,49485.9,29-APR-2022,50,INE141D01018,,-,-
TOKYOPLAST,EQ,106.5,106.5,100.15,101.4,101,104.55,15477,1581995.75,29-APR-2022,371,INE932C01012,,9846,63.62
TORNTPHARM,EQ,2788,2837.25,2765.65,2814.35,2825,2785.1,203461,571868439.45,29-APR-2022,16326,INE685A01028,,119076,58.53
TORNTPOWER,EQ,548.2,553.7,530,533.15,532.6,548,395524,213335760.35,29-APR-2022,10482,INE813H01021,,160337,40.54
TOTAL,EQ,69,72.4,68.45,69.95,70.85,69,11637,823075.65,29-APR-2022,180,INE336X01012,,7944,68.27
TOUCHWOOD,EQ,95.25,95.25,90.9,93.75,94.1,92.65,6924,642431.7,29-APR-2022,66,INE486Y01013,,6308,91.10
TPLPLASTEH,EQ,154,159.05,149.25,150.5,149.3,153.05,18027,2761077,29-APR-2022,601,INE413G01014,,10378,57.57
TREEHOUSE,EQ,8.5,8.9,8.5,8.55,8.55,8.65,41029,353591.35,29-APR-2022,120,INE040M01013,,28573,69.64
TREJHARA,EQ,75.2,75.2,75.2,75.2,75.2,71.65,22346,1680419.2,29-APR-2022,117,INE00CA01015,,22346,100.00
TRENT,EQ,1240,1249.2,1222.3,1228.4,1226.7,1225.75,439063,542722954.3,29-APR-2022,16964,INE849A01020,,188841,43.01
TRF,BE,126.65,135,126.65,129.55,129.3,132.15,3926,509172.3,29-APR-2022,27,INE391D01019,,-,-
TRIDENT,EQ,53,53.35,52,52.15,52.35,52.65,3376470,176892317.75,29-APR-2022,27581,INE064C01022,,2477142,73.36
TRIGYN,EQ,144.95,147.65,136.5,138.3,137.8,143.95,269220,38403628.3,29-APR-2022,4184,INE948A01012,,138274,51.36
TRIL,EQ,36.1,36.85,34.5,34.95,35,36.05,266279,9472939.25,29-APR-2022,1654,INE763I01026,,162506,61.03
TRITURBINE,EQ,198.9,200.65,191.05,192.85,193.5,198.6,223664,43550220.95,29-APR-2022,7881,INE152M01016,,80191,35.85
TRIVENI,EQ,337.1,337.85,316.6,320.35,320.9,334.9,573333,187044519.75,29-APR-2022,12993,INE256C01024,,175982,30.69
TTKHLTCARE,EQ,770,778.05,755.25,765.05,756,769.4,3512,2700392.65,29-APR-2022,309,INE910C01018,,1907,54.30
TTKPRESTIG,EQ,855.8,859,830,848.85,846.15,853.2,242860,205643085.55,29-APR-2022,12734,INE690A01028,,50630,20.85
TTL,EQ,114.95,118.65,111.8,113.35,114,112.1,83071,9620138.65,29-APR-2022,2119,INE592B01016,,32455,39.07
TTML,EQ,145.8,150,139.7,139.7,139.95,147.05,5014741,714275826.5,29-APR-2022,63851,INE517B01013,,2160271,43.08
TV18BRDCST,EQ,61.8,61.8,53.1,53.65,53.85,61.8,122555068,7035203199.85,29-APR-2022,233014,INE886H01027,,30916082,25.23
TVSELECT,EQ,254.45,255.55,237.2,240.55,240.5,252.5,111048,27363070.55,29-APR-2022,7149,INE236G01019,,40195,36.20
TVSMOTOR,EQ,680,686,651.15,654.85,658,681.35,1769821,1185029267.15,29-APR-2022,24525,INE494B01023,,680515,38.45
TVSSRICHAK,EQ,1682.85,1729.3,1680,1703,1696,1698.95,4281,7294934.85,29-APR-2022,592,INE421C01016,,3039,70.99
TVTODAY,EQ,404.65,414.9,402,403.3,403.5,403.15,53477,21827171.05,29-APR-2022,2262,INE038F01029,,19060,35.64
TWL,EQ,105,113,102.75,104.1,105.4,104.45,1251843,135601279.2,29-APR-2022,11187,INE615H01020,,340006,27.16
UBL,EQ,1577,1615,1571,1585.9,1589.55,1570.1,626891,1000494907.4,29-APR-2022,29856,INE686F01025,,129614,20.68
UCALFUEL,EQ,123.5,126.85,122.25,123.55,123.2,123.85,14646,1828010.6,29-APR-2022,601,INE139B01016,,7648,52.22
UCOBANK,EQ,11.9,12.05,11.8,11.85,11.85,11.85,1646939,19639927.45,29-APR-2022,12324,INE691A01018,,707841,42.98
UDAICEMENT,EQ,34.8,35.45,34.25,34.35,34.3,34.8,114105,3956979.75,29-APR-2022,1092,INE225C01029,,66160,57.98
UFLEX,EQ,669.4,679.9,660,662.85,663.8,663.8,125823,84437703.9,29-APR-2022,4937,INE516A01017,,46812,37.20
UFO,EQ,114.8,114.8,108,109.5,110.4,112.8,159295,17782972.2,29-APR-2022,3818,INE527H01019,,80533,50.56
UGARSUGAR,EQ,72.2,72.95,68.7,69.15,69.45,71.8,278845,19715275,29-APR-2022,2757,INE071E01023,,148867,53.39
UGROCAP,EQ,172.4,175.1,169.5,171.5,170.05,169.95,44045,7552358.65,29-APR-2022,2360,INE583D01011,,21122,47.96
UGROCAP,N1,1008.9,1008.9,992.15,992.15,992.15,1009.9,26,25927.75,29-APR-2022,7,INE583D07174,,26,100.00
UJAAS,EQ,4.3,4.7,4.3,4.55,4.65,4.3,1232932,5592866.2,29-APR-2022,1668,INE899L01022,,736028,59.70
UJJIVAN,EQ,143.05,145,135.4,139.1,140,142.15,695719,98199171.05,29-APR-2022,14876,INE334L01012,,389308,55.96
UJJIVANSFB,EQ,17,17.85,17,17.45,17.5,17.05,2493639,43684317.35,29-APR-2022,4745,INE551W01018,,1017473,40.80
ULTRACEMCO,EQ,6617.4,6797,6520.2,6630.25,6615,6616.95,1139560,7585287420.45,29-APR-2022,90258,INE481G01011,,453685,39.81
UMAEXPORTS,EQ,68,68.3,63.75,64.15,64,66.35,236898,15464841.75,29-APR-2022,4591,INE0GIU01018,,143585,60.61
UMANGDAIRY,EQ,67.45,67.8,66.8,67.2,67.75,66.55,5809,390278.95,29-APR-2022,144,INE864B01027,,4596,79.12
UNICHEMLAB,EQ,276.35,278.9,268.3,270.5,268.3,274.95,25522,6997383.3,29-APR-2022,917,INE351A01035,,13844,54.24
UNIDT,EQ,516.2,530.35,509.3,512.6,512.75,520.3,41144,21287917.95,29-APR-2022,2462,INE961D01019,,14687,35.70
UNIENTER,EQ,135.2,136.45,131,131.1,131.2,133.45,17169,2314726.15,29-APR-2022,109,INE037A01022,,15696,91.42
UNIINFO,BE,25.8,28.45,25.8,27.6,28.2,27.1,33484,950362.7,29-APR-2022,64,INE481Z01011,,-,-
UNIONBANK,EQ,39.75,40.1,37.8,38.1,38.1,39.6,13706773,530676208.2,29-APR-2022,27432,INE692A01016,,7612969,55.54
UNITECH,BZ,2.15,2.2,2,2.2,2.2,2.1,1546049,3329838.55,29-APR-2022,659,INE694A01020,,-,-
UNITEDPOLY,BE,61.35,61.35,55.55,55.55,55.55,58.45,6606,368993.3,29-APR-2022,44,INE368U01011,,-,-
UNITEDTEA,EQ,396.6,399.85,385.05,386.15,385.05,392.3,782,305422.15,29-APR-2022,80,INE458F01011,,457,58.44
