SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,32.7,32.75,31.85,31.9,31.9,31.95,35751,1151080.25,02-JUL-2015,91,INE144J01027,
3IINFOTECH,EQ,4.75,4.75,4.75,4.75,4.75,5,226874,1077651.5,02-JUL-2015,317,INE748C01020,
3MINDIA,EQ,8308.35,8372.35,8190.05,8199.65,8201,8301,5589,46352645.1,02-JUL-2015,255,INE470A01017,
8KMILES,EQ,920.1,943,880,897.65,893,919.75,113162,103015188.05,02-JUL-2015,7151,INE650K01013,
A2ZINFRA,EQ,15.5,16,15.2,15.35,15.45,15.25,72572,1119526.1,02-JUL-2015,372,INE619I01012,
AARTIDRUGS,EQ,639.65,642.05,624,633.45,632.9,629.75,9239,5862015.5,02-JUL-2015,597,INE767A01016,
AARTIIND,EQ,344.4,349.7,340.35,346.7,346.9,340.15,32420,11171993.7,02-JUL-2015,2055,INE769A01020,
AARVEEDEN,EQ,45,49.5,43.5,48.35,49,45.2,12749,606745.9,02-JUL-2015,181,INE273D01019,
ABAN,EQ,305.7,309.7,301.8,303.05,302.4,304.2,735286,224702772.35,02-JUL-2015,14476,INE421A01028,
ABB,EQ,1333,1371,1314.25,1361.3,1365,1328.35,58389,78942918.65,02-JUL-2015,3870,INE117A01022,
ABBOTINDIA,EQ,3943.3,3958.05,3900,3905.9,3913,3923.45,778,3057895.7,02-JUL-2015,284,INE358A01014,
ABCIL,EQ,213.05,215.35,210.15,211.9,211.55,214.9,11756,2497867.85,02-JUL-2015,116,INE605B01016,
ABGSHIP,EQ,191.2,193.8,184.25,185.6,184.7,191.2,274428,51945458.15,02-JUL-2015,3541,INE067H01016,
ABIRLANUVO,EQ,1820,1839.9,1818,1830.25,1830,1821.15,198921,363845774.75,02-JUL-2015,8193,INE069A01017,
ACC,EQ,1467.55,1480,1465.4,1471.55,1470,1465.75,189442,278993889,02-JUL-2015,16759,INE012A01025,
ACCELYA,EQ,1012.95,1012.95,992,995.6,992,1004.25,2801,2791695.8,02-JUL-2015,408,INE793A01012,
ACE,EQ,42.95,43.6,42.6,42.8,42.85,43.05,167668,7208992.6,02-JUL-2015,716,INE731H01025,
ACROPETAL,EQ,2.4,2.6,2.35,2.5,2.5,2.5,3800,9224.35,02-JUL-2015,14,INE055L01013,
ADANIENT,EQ,92.5,93,90.4,91.3,91.7,91.65,5113326,469653727,02-JUL-2015,24960,INE423A01024,
ADANIPORTS,EQ,312.45,319,311.9,316.05,318.5,311.3,8669541,2733672394.85,02-JUL-2015,43805,INE742F01042,
ADANIPOWER,EQ,30.2,30.2,29.3,29.45,29.5,29.9,5694224,169251165.1,02-JUL-2015,12313,INE814H01011,
ADFFOODS,EQ,66.65,68,65.15,65.7,66,66.45,35484,2352879.6,02-JUL-2015,756,INE982B01019,
ADHUNIK,EQ,15.75,16.05,15.65,15.9,16,15.9,18691,296194.75,02-JUL-2015,120,INE400H01019,
ADI,EQ,266,272,264.05,272,272,265.75,1153,306672.45,02-JUL-2015,22,INE959A01019,
ADLABS,EQ,156.25,163,154.5,160.3,159.5,156.5,48029,7710599.75,02-JUL-2015,1181,INE172N01012,
ADORWELD,EQ,287,295,280,282.35,281,282.8,42449,12201824.75,02-JUL-2015,1766,INE045A01017,
ADSL,EQ,20.85,21.5,20.45,20.85,21,20.6,84274,1762709.65,02-JUL-2015,551,INE102I01027,
ADVANIHOTR,EQ,55.2,55.25,55.2,55.2,55.2,55,447,24674.9,02-JUL-2015,5,INE199C01026,
ADVANTA,EQ,491.35,520,475,483.45,480.05,474.25,385288,192858631.5,02-JUL-2015,12588,INE517H01028,
