SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
GRAPHIT,EQ,27.55,28.45,26.5,27.9,27.9,27.5,5800,160005,10-MAY-1999,
GRASIM,BE,151,151,151,151,151,146,5000,755000,10-MAY-1999,
GRASIM,EQ,151,160.35,151,160.35,160.35,148.45,143590,22532095.9,10-MAY-1999,
GREAVES,EQ,18.5,18.85,18.45,18.85,18.85,18.5,900,16790,10-MAY-1999,
GRINWELNOR,EQ,83.5,84,80.85,80.95,80.95,81.8,4100,336800,10-MAY-1999,
GRMAGNET,EQ,2.2,2.2,1.6,2.05,2.05,2.5,2500,4775,10-MAY-1999,
GSFC,AE,39.9,39.9,39.9,39.9,39.9,36.5,100,3990,10-MAY-1999,
GSFC,EQ,38,40,38,39.35,39.35,38.25,23650,926885,10-MAY-1999,
GTCIND,EQ,8.5,8.7,8.5,8.5,8.5,8.85,2750,23745,10-MAY-1999,
GTNTEXT,EQ,18.25,19,18.25,18.75,18.75,18.8,2900,54940,10-MAY-1999,
GUJALKALI,EQ,21.9,22,20.55,20.55,20.55,20.9,2350,49330,10-MAY-1999,
GUJAMBCEM,EQ,309,324,309,315.05,315.05,306.45,161312,51275472.2,10-MAY-1999,
GUJBOROSIL,EQ,2.15,2.25,2.15,2.15,2.15,1.85,600,1310,10-MAY-1999,
GUJFLUORO,EQ,52,55.5,52,55.5,55.5,54,1200,64760,10-MAY-1999,
GUJRATGAS,EQ,388.55,396,378,382,382,381.25,76900,29726885,10-MAY-1999,
GUJRATTELE,EQ,8.75,9.45,8.75,9.2,9.2,9.4,7400,67900,10-MAY-1999,
GUJSIDHCEM,EQ,4.7,4.7,4.5,4.7,4.7,4.5,21700,99540,10-MAY-1999,
GUJTHEMIS,EQ,19,19.5,18.9,19,19,19,2100,40042.5,10-MAY-1999,
GULFOIL,EQ,157.25,160,150,155,155,155,3450,534770,10-MAY-1999,
HARRMALAYA,EQ,29.75,30.5,28,28.25,28.25,29.5,6750,196735,10-MAY-1999,
HARYANSHET,EQ,10,10,10,10,10,10,400,4000,10-MAY-1999,
HAWKINCOOK,EQ,38.1,38.1,38.1,38.1,38.1,38,50,1905,10-MAY-1999,
HBSTOCK,EQ,1.75,2.5,1.75,2,2,3,400,937.5,10-MAY-1999,
HCL-HP,AE,481,485,465,465,465,470,700,334450,10-MAY-1999,
HCL-HP,EQ,460,467.9,448.25,453,453,458.6,507500,231899232.5,10-MAY-1999,
HDFC,BE,0,0,0,2300,2376,2376,40000,92000000,10-MAY-1999,
HDFC,EQ,2298,2400,2263,2369,2369,2273,7467,17374955.65,10-MAY-1999,
HDFCBANK,EQ,78.95,79,76.65,79,79,73.15,264254,20822053.55,10-MAY-1999,
HEG,EQ,21,22,21,21.6,21.6,21.5,10400,224302.5,10-MAY-1999,
HERBETSON,EQ,49,52.6,49,52,52,50.5,600,30760,10-MAY-1999,
HERDILCHEM,EQ,16.15,16.2,16.1,16.1,16.1,16.05,650,10500,10-MAY-1999,
HERITGFOOD,EQ,16.7,16.75,15.8,16.2,16.2,16,10600,170305,10-MAY-1999,
HEROHONDA,EQ,932,982.6,932,973.5,973.5,923,8000,7715213.6,10-MAY-1999,
HIMACHLFUT,EQ,74.8,79,74.5,78.75,78.75,74.1,483900,37407655,10-MAY-1999,
HIMADCHEM,EQ,4.5,4.6,4.5,4.6,4.6,4.65,300,1360,10-MAY-1999,
HIMATSEIDE,EQ,269.95,269.95,253,255,255,256,8300,2150320,10-MAY-1999,
HINDALC0,EQ,644,682.5,640,655,655,632,151792,100837102.6,10-MAY-1999,
HINDALLOYS,EQ,3.1,3.1,3,3,3,3.15,5000,15080,10-MAY-1999,
HINDCONS,EQ,20,20.35,19.8,20.1,20.1,20,1200,23992.5,10-MAY-1999,
HINDDORROL,EQ,22.5,22.5,22.5,22.5,22.5,23,100,2250,10-MAY-1999,
HINDEVELOP,EQ,5.1,5.15,4.9,5.05,5.05,5,12700,63815,10-MAY-1999,
HINDIND,EQ,4,4,4,4,4,4.5,300,1200,10-MAY-1999,
HINDINKS,EQ,310,325,306.55,308.05,308.05,312.7,17800,5652975,10-MAY-1999,
HINDLEVCHM,EQ,480,483,478,480,480,472.5,3250,1561982.5,10-MAY-1999,
HINDLEVER,EQ,2032.1,2109,2032.1,2082.3,2082.3,2032,173033,360710799.9,10-MAY-1999,
HINDMOTOR,EQ,5,5.2,5,5,5,5.25,8500,42815,10-MAY-1999,
HINDOILEXP,EQ,17.5,18,17.25,17.55,17.55,17.4,17500,310860,10-MAY-1999,
HINDPETRO,EQ,190,195.45,190,192,192,189.8,204454,39638902.65,10-MAY-1999,
HINDSANIT,EQ,105,113.4,105,112.95,112.95,105,1900,212090,10-MAY-1999,
HINDSYNTEX,EQ,15.55,16.5,15.55,16.4,16.4,16.25,1500,23965,10-MAY-1999,
HINDUJAFIN,EQ,14.75,14.75,14.75,14.75,14.75,16,100,1475,10-MAY-1999,
HINDZINC,EQ,8.75,8.85,8.5,8.6,8.6,8.65,42700,370050,10-MAY-1999,
HINPOWPLUS,EQ,37,38.9,36.1,38.9,38.9,36,12500,483205,10-MAY-1999,
HITECDRIL,EQ,59.4,63.35,59.05,63.35,63.35,58.65,71900,4431730,10-MAY-1999,
HMGIND,EQ,1.4,1.4,1.4,1.4,1.4,1.55,200,280,10-MAY-1999,
HMT,EQ,8.95,9,8.4,8.5,8.5,8.5,7800,67700,10-MAY-1999,
HOCL,EQ,9.5,10,9.35,9.5,9.5,9.85,23200,224040,10-MAY-1999,
HOECHST,EQ,530,560,527.15,560,560,524,3550,1947012.5,10-MAY-1999,
HOGANAS,EQ,126,126,123.5,123.5,123.5,122.5,200,24950,10-MAY-1999,
HOTELEELA,EQ,27.15,29,27.15,29,29,26.85,6650,191805,10-MAY-1999,
HOTELSRKRI,EQ,4,4,4,4,4,5,300,1200,10-MAY-1999,
HOTLINGLAS,EQ,2.75,2.9,2.7,2.9,2.9,3,6400,17975,10-MAY-1999,
IBP,EQ,102,104.5,101.05,102.25,102.25,104.7,1300,133070,10-MAY-1999,
ICI,EQ,202,205,200.3,202,202,202.25,1550,314652.5,10-MAY-1999,
ICICI,EQ,62.4,64.35,60.5,63.75,63.75,59.55,1008734,63618435.3,10-MAY-1999,
ICICI,N2,8110,8206,8110,8206,8206,8150,2,16316,10-MAY-1999,
