SYMBOL," SERIES"," DATE1"," PREV_CLOSE"," OPEN_PRICE"," HIGH_PRICE"," LOW_PRICE"," LAST_PRICE"," CLOSE_PRICE"," AVG_PRICE"," TTL_TRD_QNTY"," TURNOVER_LACS"," NO_OF_TRADES"," DELIV_QTY"," DELIV_PER"
HSCL," EQ"," 30-Apr-2025"," 461.55"," 462.00"," 462.15"," 434.10"," 435.00"," 437.70"," 446.05"," 859662"," 3834.50"," 31676"," 431570"," 50.20"
HTMEDIA," EQ"," 30-Apr-2025"," 16.83"," 16.98"," 16.98"," 16.60"," 16.60"," 16.61"," 16.74"," 60171"," 10.08"," 354"," 54341"," 90.31"
HUBTOWN," EQ"," 30-Apr-2025"," 190.00"," 189.00"," 191.79"," 178.00"," 180.00"," 179.81"," 182.89"," 346355"," 633.44"," 5012"," 234801"," 67.79"
HUDCO," EQ"," 30-Apr-2025"," 227.22"," 227.00"," 227.55"," 221.24"," 221.24"," 223.46"," 224.79"," 3571609"," 8028.53"," 29190"," 1146620"," 32.10"
HUHTAMAKI," EQ"," 30-Apr-2025"," 193.24"," 195.10"," 195.10"," 190.00"," 191.00"," 190.56"," 191.10"," 56940"," 108.81"," 2676"," 22187"," 38.97"
HYBRIDFIN," EQ"," 30-Apr-2025"," 11.59"," 11.60"," 11.97"," 11.04"," 11.96"," 11.52"," 11.52"," 1497"," 0.17"," 45"," 1316"," 87.91"
HYUNDAI," EQ"," 30-Apr-2025"," 1676.60"," 1683.40"," 1715.40"," 1681.70"," 1704.80"," 1707.60"," 1703.68"," 1236921"," 21073.23"," 53148"," 853766"," 69.02"
IBLFL," SM"," 30-Apr-2025"," 57.00"," 55.00"," 55.00"," 55.00"," 55.00"," 55.00"," 55.00"," 2000"," 1.10"," 1"," 2000"," 100.00"
ICDSLTD," EQ"," 30-Apr-2025"," 40.90"," 40.91"," 42.00"," 40.51"," 40.51"," 40.57"," 41.19"," 500"," 0.21"," 35"," 299"," 59.80"
ICEMAKE," EQ"," 30-Apr-2025"," 1013.05"," 1023.00"," 1023.00"," 953.30"," 958.00"," 959.15"," 984.43"," 84814"," 834.93"," 7281"," 41940"," 49.45"
ICICIB22," EQ"," 30-Apr-2025"," 106.38"," 107.39"," 107.39"," 105.55"," 105.66"," 105.88"," 106.26"," 455070"," 483.58"," 3076"," 367443"," 80.74"
ICICIBANK," EQ"," 30-Apr-2025"," 1429.80"," 1433.00"," 1433.70"," 1400.00"," 1424.30"," 1427.00"," 1427.91"," 14192027"," 202649.76"," 238248"," 10600497"," 74.69"
ICICIGI," EQ"," 30-Apr-2025"," 1856.10"," 1860.00"," 1890.70"," 1847.20"," 1875.10"," 1876.50"," 1875.78"," 906449"," 17003.01"," 53120"," 611716"," 67.48"
ICICIPRULI," EQ"," 30-Apr-2025"," 605.25"," 603.80"," 621.90"," 601.30"," 613.00"," 614.35"," 614.65"," 1238587"," 7612.94"," 35168"," 597900"," 48.27"
ICIL," EQ"," 30-Apr-2025"," 300.80"," 298.00"," 309.45"," 296.55"," 301.50"," 304.60"," 304.56"," 559138"," 1702.91"," 17420"," 320190"," 57.26"
ICRA," EQ"," 30-Apr-2025"," 5647.00"," 5685.00"," 5685.00"," 5502.00"," 5580.00"," 5559.00"," 5559.51"," 5090"," 282.98"," 2472"," 2878"," 56.54"
IDBI," EQ"," 30-Apr-2025"," 83.07"," 82.99"," 82.99"," 79.25"," 79.34"," 79.83"," 80.45"," 7386949"," 5942.62"," 30307"," 2913974"," 39.45"
IDEA," EQ"," 30-Apr-2025"," 7.24"," 7.25"," 7.29"," 7.10"," 7.13"," 7.12"," 7.18"," 395244551"," 28369.87"," 109513"," 153696719"," 38.89"
IDEAFORGE," EQ"," 30-Apr-2025"," 391.30"," 395.00"," 396.80"," 375.10"," 376.30"," 377.40"," 384.02"," 320652"," 1231.36"," 15564"," 94731"," 29.54"
IDEALTECHO," ST"," 30-Apr-2025"," 135.70"," 128.95"," 128.95"," 128.95"," 128.95"," 128.95"," 128.95"," 1000"," 1.29"," 1"," 1000"," 100.00"
IDENTICAL," SM"," 30-Apr-2025"," 50.20"," 52.00"," 52.00"," 46.05"," 47.80"," 47.80"," 49.59"," 62000"," 30.74"," 27"," 52000"," 83.87"
IDFCFIRSTB," EQ"," 30-Apr-2025"," 66.93"," 66.30"," 66.34"," 64.67"," 64.91"," 64.89"," 65.29"," 44736979"," 29210.80"," 101237"," 21585405"," 48.25"
IDFNIFTYET," EQ"," 30-Apr-2025"," 263.55"," 265.55"," 265.60"," 263.60"," 265.00"," 265.00"," 264.77"," 185"," 0.49"," 19"," 125"," 67.57"
IEL," EQ"," 30-Apr-2025"," 15.42"," 15.42"," 16.19"," 15.42"," 15.75"," 15.68"," 16.05"," 454501"," 72.93"," 988"," 279170"," 61.42"
IEML," ST"," 30-Apr-2025"," 133.50"," 131.00"," 131.00"," 130.85"," 131.00"," 131.00"," 130.96"," 5000"," 6.55"," 9"," 5000"," 100.00"
IEX," EQ"," 30-Apr-2025"," 192.82"," 193.50"," 194.65"," 188.52"," 191.00"," 190.35"," 191.77"," 5244268"," 10057.06"," 35770"," 2170009"," 41.38"
IFBAGRO," EQ"," 30-Apr-2025"," 480.75"," 490.40"," 490.40"," 460.10"," 473.80"," 470.25"," 474.74"," 1930"," 9.16"," 351"," 1190"," 61.66"
IFBIND," EQ"," 30-Apr-2025"," 1319.40"," 1326.40"," 1326.40"," 1284.50"," 1290.00"," 1292.40"," 1299.43"," 19599"," 254.67"," 4024"," 8750"," 44.65"
IFCI," EQ"," 30-Apr-2025"," 43.80"," 43.70"," 43.90"," 42.00"," 42.10"," 42.27"," 42.83"," 3778913"," 1618.41"," 17488"," 1677161"," 44.38"
IFGLEXPOR," EQ"," 30-Apr-2025"," 350.55"," 350.20"," 354.95"," 342.60"," 349.00"," 347.70"," 348.99"," 5759"," 20.10"," 960"," 3833"," 66.56"
IGARASHI," EQ"," 30-Apr-2025"," 463.65"," 467.00"," 467.00"," 439.25"," 451.95"," 446.10"," 448.90"," 48943"," 219.71"," 4585"," 23134"," 47.27"
IGIL," EQ"," 30-Apr-2025"," 346.85"," 346.00"," 348.25"," 340.60"," 344.70"," 347.15"," 345.61"," 937588"," 3240.43"," 29159"," 586395"," 62.54"
IGL," EQ"," 30-Apr-2025"," 185.04"," 185.34"," 196.40"," 184.00"," 192.00"," 192.59"," 192.84"," 22318492"," 43039.43"," 99908"," 8072267"," 36.17"
IGPL," EQ"," 30-Apr-2025"," 415.20"," 417.00"," 420.00"," 406.80"," 406.80"," 408.35"," 413.05"," 26689"," 110.24"," 2565"," 13970"," 52.34"
IIFL," EQ"," 30-Apr-2025"," 365.80"," 365.00"," 365.70"," 357.60"," 358.05"," 359.20"," 360.77"," 1073971"," 3874.57"," 15475"," 583324"," 54.31"
IIFLCAPS," EQ"," 30-Apr-2025"," 230.77"," 225.30"," 228.70"," 217.40"," 220.00"," 220.67"," 223.06"," 743944"," 1659.46"," 21568"," 384546"," 51.69"
IITL," EQ"," 30-Apr-2025"," 200.78"," 206.83"," 210.00"," 193.50"," 193.50"," 197.36"," 200.84"," 7912"," 15.89"," 975"," 3359"," 42.45"
IKIO," EQ"," 30-Apr-2025"," 225.30"," 224.00"," 225.99"," 220.00"," 220.05"," 220.53"," 222.43"," 61929"," 137.75"," 2247"," 28944"," 46.74"
IKS," EQ"," 30-Apr-2025"," 1481.40"," 1487.50"," 1552.00"," 1453.00"," 1460.00"," 1476.20"," 1493.77"," 506607"," 7567.52"," 38639"," 251911"," 49.73"
IL&FSENGG," BZ"," 30-Apr-2025"," 45.63"," 45.63"," 45.74"," 43.34"," 43.50"," 43.50"," 44.54"," 12121"," 5.40"," 45"," -"," -"
IL&FSTRANS," BZ"," 30-Apr-2025"," 3.20"," 3.19"," 3.20"," 3.13"," 3.13"," 3.13"," 3.20"," 5996"," 0.19"," 28"," -"," -"
IMAGICAA," EQ"," 30-Apr-2025"," 65.08"," 65.70"," 65.70"," 63.14"," 63.50"," 63.47"," 64.05"," 504895"," 323.39"," 4301"," 284488"," 56.35"
IMFA," EQ"," 30-Apr-2025"," 604.50"," 610.00"," 610.00"," 585.25"," 589.95"," 587.75"," 593.09"," 100603"," 596.67"," 12778"," 61065"," 60.70"
IMPAL," EQ"," 30-Apr-2025"," 1005.20"," 1014.00"," 1014.00"," 978.95"," 989.00"," 993.55"," 991.69"," 2118"," 21.00"," 201"," 1282"," 60.53"
IMPEXFERRO," BZ"," 30-Apr-2025"," 2.12"," 2.09"," 2.10"," 2.01"," 2.09"," 2.08"," 2.05"," 2541"," 0.05"," 37"," -"," -"
INCREDIBLE," EQ"," 30-Apr-2025"," 38.66"," 38.56"," 38.56"," 36.50"," 36.50"," 36.96"," 37.20"," 3630"," 1.35"," 129"," 1777"," 48.95"
INDBANK," EQ"," 30-Apr-2025"," 34.10"," 34.10"," 34.11"," 33.44"," 33.45"," 33.58"," 33.72"," 45085"," 15.20"," 539"," 27669"," 61.37"
INDGN," EQ"," 30-Apr-2025"," 558.10"," 560.40"," 569.00"," 545.25"," 546.05"," 547.75"," 555.02"," 366738"," 2035.47"," 25498"," 197697"," 53.91"
INDHOTEL," EQ"," 30-Apr-2025"," 790.15"," 781.00"," 793.30"," 780.10"," 787.00"," 787.70"," 787.06"," 4022508"," 31659.53"," 92788"," 2666740"," 66.30"
INDIACEM," EQ"," 30-Apr-2025"," 315.15"," 309.90"," 314.15"," 304.00"," 308.50"," 307.95"," 307.50"," 1078885"," 3317.58"," 21646"," 442987"," 41.06"
