SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,,DELIV_QTY,DELIV_PER
OCCL,EQ,820,820,806.45,812.65,812,804.3,3156,2565988.1,03-MAR-2022,324,INE321D01016,,2430,77.00
OFSS,EQ,3410,3437.05,3362.75,3380.55,3381.3,3370.05,61376,208833683.25,03-MAR-2022,9690,INE881D01027,,26241,42.75
OIL,EQ,252.25,262.9,243.5,245.3,245.9,244.5,7819565,1986239389.15,03-MAR-2022,105057,INE274J01014,,1780096,22.76
OILCOUNTUB,EQ,9.8,10.3,9.7,9.7,9.7,10.2,116602,1141361.1,03-MAR-2022,422,INE591A01010,,69418,59.53
OLECTRA,EQ,656.9,659.8,610.05,613.85,614.95,638.15,198794,125276569.7,03-MAR-2022,9541,INE260D01016,,119328,60.03
OMAXAUTO,EQ,49.65,49.65,47.05,47.3,47.1,48.1,11230,538691.25,03-MAR-2022,253,INE090B01011,,8405,74.84
OMAXE,EQ,94.2,95.95,91.75,92.2,92.3,93.1,254630,23843664.5,03-MAR-2022,2594,INE800H01010,,150440,59.08
OMINFRAL,EQ,40.55,42.05,40.55,41,41.2,40.2,159742,6596717.05,03-MAR-2022,2311,INE239D01028,,53918,33.75
OMKARCHEM,EQ,29.1,30.75,29,29.4,29.55,29.4,41903,1239648.55,03-MAR-2022,442,INE474L01016,,23545,56.19
ONELIFECAP,EQ,12.8,13.4,12.7,13.4,13.4,12.8,29172,388031.85,03-MAR-2022,86,INE912L01015,,21326,73.10
ONEPOINT,EQ,10.45,10.95,10.45,10.85,10.8,10.7,112759,1216282.25,03-MAR-2022,556,INE840Y01029,,89249,79.15
ONGC,EQ,168.3,171.8,162.9,170.3,170.45,162.95,42345653,7046971628.15,03-MAR-2022,161133,INE213A01029,,17976828,42.45
ONMOBILE,EQ,116.45,118.9,114.3,115.1,115.5,113.8,794492,92164686.1,03-MAR-2022,7664,INE809I01019,,226535,28.51
ONWARDTEC,EQ,302,305,291.8,297.7,295.2,296.6,15701,4677153.4,03-MAR-2022,579,INE229A01017,,10641,67.77
OPTIEMUS,EQ,244.7,253.4,241,249.75,250,239.85,105519,26229518.7,03-MAR-2022,2955,INE350C01017,,55033,52.15
ORBTEXP,EQ,115.5,118.4,113.5,113.8,113.55,113.6,61394,7084660.25,03-MAR-2022,1266,INE231G01010,,26478,43.13
ORCHPHARMA,EQ,275.1,286,275.1,279.7,281.3,274.85,7179,2015467.8,03-MAR-2022,459,INE191A01027,,4798,66.83
ORICONENT,EQ,34.45,34.9,34.05,34.2,34.45,34.3,211072,7282986.6,03-MAR-2022,772,INE730A01022,,151340,71.70
ORIENTABRA,EQ,28.85,29.1,27.9,28.05,28,28.35,102715,2928411.3,03-MAR-2022,900,INE569C01020,,54465,53.03
ORIENTALTL,BE,12.35,12.4,11.55,12.05,12.1,12.05,16703,202971.7,03-MAR-2022,147,INE998H01012,,-,-
ORIENTBELL,EQ,632.6,639.9,560,562.2,560.9,621.8,211018,122957590.7,03-MAR-2022,11870,INE607D01018,,77768,36.85
ORIENTCEM,EQ,141.9,144.85,133.35,134.75,134.45,140.95,1122848,154758425.2,03-MAR-2022,12152,INE876N01018,,725684,64.63
ORIENTELEC,EQ,331.75,335.95,324.7,327.4,328,330.15,235895,77378952.45,03-MAR-2022,19218,INE142Z01019,,120852,51.23
ORIENTHOT,EQ,48,54.95,47.6,54.4,54.75,47.05,1685967,88576609.8,03-MAR-2022,14791,INE750A01020,,645514,38.29
ORIENTLTD,EQ,68.8,68.8,66,66.2,66.05,66.3,5697,380053.1,03-MAR-2022,150,INE609C01024,,3613,63.42
ORIENTPPR,EQ,28,28.45,27.35,27.6,27.75,27.9,542657,15147576.3,03-MAR-2022,1948,INE592A01026,,247524,45.61
ORISSAMINE,EQ,2528,2645.45,2528,2583.85,2608,2501.65,14386,37129792.7,03-MAR-2022,3719,INE725E01024,,5923,41.17
ORTINLAB,EQ,26.3,26.3,25,25.4,25,24.6,34639,880390.75,03-MAR-2022,354,INE749B01020,,21236,61.31
OSIAHYPER,SM,211,251.5,211,251.5,251.5,248.5,2400,576760,03-MAR-2022,6,INE06IR01013,,1200,50.00
OSWALAGRO,EQ,28,28,26.65,27.5,27.75,27.5,72103,1967378.3,03-MAR-2022,523,INE142A01012,,42932,59.54
PAGEIND,EQ,42499,42499,41520.15,41827.45,41750,41597.85,22708,953701788.45,03-MAR-2022,9681,INE761H01022,,8334,36.70
PAISALO,EQ,664.7,667.15,624.8,634.7,652,661.35,15716,10112744.5,03-MAR-2022,1553,INE420C01042,,8479,53.95
PALASHSECU,BE,109.1,109.1,103.05,109.1,109.1,103.95,8902,969115.75,03-MAR-2022,146,INE471W01019,,-,-
PALREDTEC,BE,205.5,207.65,201.8,206.55,206.8,197.8,6940,1431003.4,03-MAR-2022,157,INE218G01033,,-,-
PANACEABIO,EQ,201.7,207.5,195.05,196.2,195.5,198.65,95357,19155456.85,03-MAR-2022,2322,INE922B01023,,53090,55.67
PANACHE,EQ,53.9,53.9,49.4,50.7,49.95,51.65,11110,574746.8,03-MAR-2022,134,INE895W01019,,9163,82.48
PANAMAPET,EQ,228.9,240,228.05,230.3,231,227,132217,30800295.7,03-MAR-2022,6171,INE305C01029,,45905,34.72
PANSARI,EQ,159.55,159.6,154,159.6,159.6,152,4361,695216,03-MAR-2022,116,INE697V01011,,3956,90.71
PAR,EQ,154.95,158.75,149.55,152.95,153,154,14794,2261188.05,03-MAR-2022,285,INE04LG01015,,9149,61.84
PARACABLES,BE,12.35,12.5,12.05,12.3,12.45,11.95,172029,2114226.6,03-MAR-2022,490,INE074B01023,,-,-
PARAGMILK,EQ,101.95,101.95,99,99.45,99.5,99.15,257642,25756329.6,03-MAR-2022,3196,INE883N01014,,143875,55.84
PARAS,EQ,658.5,658.5,640,640.85,640.95,641.3,145150,93688603.25,03-MAR-2022,9490,INE045601015,,41613,28.67
PARSVNATH,BE,14.6,15.2,14.6,15.05,15.15,14.55,88964,1325490.85,03-MAR-2022,356,INE561H01026,,-,-
PARTYCRUS,SM,117.95,117.95,113,113,113,115,4000,461900,03-MAR-2022,2,INE06ZX01015,,4000,100.00
PASUPTAC,EQ,41.6,42,39,39.45,39.15,39.8,122751,4932981.3,03-MAR-2022,1354,INE818B01023,,61977,50.49
PATELENG,BE,25.6,26.2,24.6,24.85,25,25.35,762302,19307821.05,03-MAR-2022,896,INE244B01030,,-,-
PATINTLOG,EQ,14.75,15.25,14.1,14.4,14.4,14.45,58297,854134.5,03-MAR-2022,530,INE529D01014,,27973,47.98
PATINTPP,E1,4.7,5.05,4.65,4.8,4.9,4.7,96165,461013.55,03-MAR-2022,168,IN9529D01012,,61923,64.39
PAYTM,EQ,805.45,817.45,791.75,796.3,793,797.2,1254749,1011668717.05,03-MAR-2022,45615,INE982J01020,,300367,23.94
PBAINFRA,EQ,11.95,12.3,11.85,11.95,11.9,11.95,11344,136406.05,03-MAR-2022,68,INE160H01019,,8558,75.44
PCBL,EQ,197.8,208.05,196.8,199.65,199.5,195.15,768119,155030809.9,03-MAR-2022,12260,INE602A01023,,251940,32.80
PCHFL,N2,1053,1053,1053,1053,1053,1035,50,52650,03-MAR-2022,1,INE516Y07386,,,
PCHFL,NA,1061.95,1062,1061.95,1061.97,1062,1027,100,106197.5,03-MAR-2022,2,INE516Y07428,,,
PCJEWELLER,EQ,20.45,20.75,20.05,20.4,20.6,20.15,659242,13494294.45,03-MAR-2022,2332,INE785M01013,,336891,51.10
PDMJEPAPER,EQ,35.4,35.4,33.6,33.9,34.2,34.4,78092,2675121.8,03-MAR-2022,1197,INE865T01018,,42013,53.80
PDSL,EQ,1648,1648,1575,1590.95,1585,1602.3,2105,3363667.85,03-MAR-2022,415,INE111Q01013,,999,47.46
PEARLPOLY,EQ,16.9,18.5,16.9,18.1,18,17,27881,501805.25,03-MAR-2022,324,INE844A01013,,14783,53.02
PEL,EQ,2110,2140.6,2050.85,2058.95,2061,2080.85,722248,1508554276.85,03-MAR-2022,34168,INE140A01024,,196165,27.16
PENIND,EQ,37.5,38.15,37,37.25,37.35,37.05,855061,32067587.95,03-MAR-2022,3894,INE932A01024,,356340,41.67
PENINLAND,BE,12.55,12.65,11.9,12.1,12.3,12.3,234378,2856579.05,03-MAR-2022,321,INE138A01028,,-,-
PERSISTENT,EQ,3967,4113.15,3935.05,4092.85,4106,3885.8,504588,2042665974.6,03-MAR-2022,48353,INE262H01013,,221944,43.99
PETRONET,EQ,217.15,218.5,214.15,214.9,215,216.2,1312420,283244818.25,03-MAR-2022,20062,INE347G01014,,679243,51.76
PFC,EQ,110.2,111.9,109.7,110,110,109.55,4092107,453053329.9,03-MAR-2022,26858,INE134E01011,,1530907,37.41
