SYMBOL," SERIES"," DATE1"," PREV_CLOSE"," OPEN_PRICE"," HIGH_PRICE"," LOW_PRICE"," LAST_PRICE"," CLOSE_PRICE"," AVG_PRICE"," TTL_TRD_QNTY"," TURNOVER_LACS"," NO_OF_TRADES"," DELIV_QTY"," DELIV_PER"
ORIENTCER," EQ"," 11-Dec-2024"," 45.29"," 45.50"," 46.33"," 45.30"," 45.71"," 45.62"," 45.72"," 68172"," 31.17"," 928"," 43619"," 63.98"
ORIENTELEC," EQ"," 11-Dec-2024"," 250.28"," 250.28"," 252.00"," 245.41"," 249.90"," 249.31"," 248.90"," 94753"," 235.84"," 7325"," 45099"," 47.60"
ORIENTHOT," EQ"," 11-Dec-2024"," 195.54"," 196.30"," 199.44"," 195.24"," 196.22"," 196.69"," 197.11"," 273062"," 538.24"," 5245"," 148700"," 54.46"
ORIENTLTD," EQ"," 11-Dec-2024"," 142.66"," 158.00"," 163.40"," 146.26"," 147.12"," 150.14"," 155.47"," 2430547"," 3778.73"," 32736"," 511654"," 21.05"
ORIENTPPR," EQ"," 11-Dec-2024"," 42.71"," 42.50"," 43.20"," 42.50"," 42.60"," 42.60"," 42.77"," 329132"," 140.76"," 2234"," 124081"," 37.70"
ORIENTTECH," EQ"," 11-Dec-2024"," 429.75"," 431.50"," 434.00"," 420.25"," 421.50"," 421.70"," 424.75"," 275186"," 1168.85"," 6619"," 153729"," 55.86"
ORISSAMINE," EQ"," 11-Dec-2024"," 7611.95"," 7611.00"," 7870.00"," 7585.80"," 7695.00"," 7730.55"," 7756.99"," 13776"," 1068.60"," 3511"," 5328"," 38.68"
ORTINGLOBE," EQ"," 11-Dec-2024"," 19.02"," 19.37"," 19.37"," 18.77"," 18.92"," 18.92"," 19.04"," 16713"," 3.18"," 319"," 11287"," 67.53"
OSELDEVICE," SM"," 11-Dec-2024"," 197.55"," 201.50"," 201.50"," 195.00"," 195.00"," 195.25"," 196.93"," 31200"," 61.44"," 39"," 23200"," 74.36"
OSIAHYPER," BE"," 11-Dec-2024"," 34.00"," 34.00"," 34.68"," 34.00"," 34.68"," 34.68"," 34.57"," 151751"," 52.46"," 249"," -"," -"
OSWALAGRO," BE"," 11-Dec-2024"," 75.03"," 75.39"," 76.94"," 74.25"," 75.50"," 75.81"," 75.62"," 12504"," 9.46"," 99"," -"," -"
OSWALGREEN," EQ"," 11-Dec-2024"," 53.79"," 53.70"," 54.84"," 53.01"," 53.89"," 53.58"," 53.67"," 554648"," 297.67"," 3503"," 231010"," 41.65"
OSWALSEEDS," BE"," 11-Dec-2024"," 21.83"," 21.95"," 21.95"," 21.40"," 21.60"," 21.50"," 21.51"," 84182"," 18.11"," 380"," -"," -"
OWAIS," SM"," 11-Dec-2024"," 1135.05"," 1154.00"," 1179.95"," 1113.00"," 1158.00"," 1152.85"," 1155.35"," 15100"," 174.46"," 120"," 9800"," 64.90"
PAGEIND," EQ"," 11-Dec-2024"," 46804.25"," 46850.00"," 47279.95"," 46652.70"," 46919.10"," 47059.90"," 46933.72"," 29440"," 13817.29"," 12235"," 16840"," 57.20"
PAISALO," EQ"," 11-Dec-2024"," 60.83"," 61.30"," 61.60"," 59.81"," 60.12"," 60.14"," 60.76"," 1341176"," 814.89"," 4580"," 932172"," 69.50"
PAKKA," EQ"," 11-Dec-2024"," 314.95"," 316.60"," 344.95"," 316.40"," 339.60"," 340.80"," 332.05"," 1926420"," 6396.66"," 27379"," 772161"," 40.08"
PALASHSECU," EQ"," 11-Dec-2024"," 171.63"," 174.20"," 176.55"," 171.50"," 173.00"," 174.12"," 174.11"," 10951"," 19.07"," 714"," 5620"," 51.32"
PALREDTEC," BE"," 11-Dec-2024"," 92.68"," 94.00"," 94.50"," 93.00"," 93.02"," 93.07"," 93.43"," 5640"," 5.27"," 127"," -"," -"
PANACEABIO," BE"," 11-Dec-2024"," 448.25"," 440.50"," 470.65"," 440.50"," 470.00"," 470.30"," 466.57"," 186084"," 868.21"," 1865"," -"," -"
PANACHE," BE"," 11-Dec-2024"," 252.67"," 257.72"," 257.72"," 257.72"," 257.72"," 257.72"," 257.72"," 11402"," 29.39"," 65"," -"," -"
PANAMAPET," EQ"," 11-Dec-2024"," 389.70"," 391.45"," 403.30"," 387.25"," 402.15"," 399.95"," 396.39"," 75112"," 297.74"," 2323"," 47785"," 63.62"
PANSARI," BE"," 11-Dec-2024"," 175.50"," 182.50"," 184.27"," 181.00"," 181.00"," 181.00"," 183.10"," 2717"," 4.97"," 53"," -"," -"
PAR," EQ"," 11-Dec-2024"," 229.40"," 229.10"," 233.00"," 226.00"," 228.05"," 228.60"," 228.50"," 116252"," 265.64"," 2332"," 65159"," 56.05"
PARACABLES," EQ"," 11-Dec-2024"," 82.73"," 83.50"," 85.95"," 81.81"," 82.37"," 82.40"," 84.25"," 4568104"," 3848.43"," 19318"," 1727118"," 37.81"
PARADEEP," EQ"," 11-Dec-2024"," 109.83"," 110.40"," 111.49"," 108.10"," 109.00"," 109.01"," 109.74"," 4728261"," 5188.64"," 26989"," 2084800"," 44.09"
PARAGMILK," EQ"," 11-Dec-2024"," 214.75"," 215.70"," 215.98"," 210.25"," 210.40"," 210.91"," 212.41"," 631698"," 1341.79"," 13648"," 275591"," 43.63"
PARAGON," SM"," 11-Dec-2024"," 107.00"," 105.60"," 109.80"," 105.25"," 107.10"," 108.60"," 107.60"," 31200"," 33.57"," 25"," 21600"," 69.23"
PARAMATRIX," SM"," 11-Dec-2024"," 99.25"," 100.00"," 100.00"," 100.00"," 100.00"," 100.00"," 100.00"," 1200"," 1.20"," 1"," 1200"," 100.00"
PARAMOUNT," SM"," 11-Dec-2024"," 92.30"," 91.00"," 91.00"," 90.00"," 90.00"," 90.00"," 90.67"," 3600"," 3.26"," 3"," 3600"," 100.00"
PARAS," EQ"," 11-Dec-2024"," 1130.55"," 1128.90"," 1134.35"," 1110.00"," 1122.90"," 1122.55"," 1119.73"," 131706"," 1474.75"," 9033"," 49165"," 37.33"
PARASPETRO," BE"," 11-Dec-2024"," 3.00"," 3.00"," 3.00"," 2.94"," 2.95"," 2.95"," 2.96"," 59544"," 1.76"," 278"," -"," -"
PARIN," ST"," 11-Dec-2024"," 395.00"," 376.00"," 399.00"," 375.25"," 399.00"," 399.00"," 377.97"," 13000"," 49.14"," 8"," 7500"," 57.69"
PARKHOTELS," EQ"," 11-Dec-2024"," 189.10"," 192.00"," 194.71"," 188.21"," 191.60"," 192.11"," 191.25"," 717123"," 1371.51"," 13445"," 498531"," 69.52"
PARSVNATH," BE"," 11-Dec-2024"," 18.58"," 18.97"," 19.50"," 18.40"," 19.50"," 19.44"," 19.24"," 1531732"," 294.65"," 930"," -"," -"
PARTYCRUS," SM"," 11-Dec-2024"," 118.00"," 118.10"," 120.00"," 117.00"," 117.00"," 117.95"," 119.40"," 10000"," 11.94"," 9"," 10000"," 100.00"
PASHUPATI," ST"," 11-Dec-2024"," 475.35"," 474.00"," 485.00"," 474.00"," 485.00"," 485.00"," 475.97"," 22000"," 104.71"," 41"," 22000"," 100.00"
PASUPTAC," BE"," 11-Dec-2024"," 48.03"," 47.15"," 47.55"," 47.15"," 47.40"," 47.40"," 47.23"," 40003"," 18.89"," 45"," -"," -"
PATANJALI," EQ"," 11-Dec-2024"," 1848.30"," 1841.40"," 1859.00"," 1826.65"," 1831.35"," 1835.70"," 1837.60"," 124185"," 2282.03"," 8320"," 60786"," 48.95"
