SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
20MICRONS,EQ,40.3,41.2,39.2,40.75,40.6,39.05,22313,906211,10-JUL-2017,128,INE144J01027
3IINFOTECH,EQ,5.3,5.3,4.4,4.5,4.55,4.45,1309478,5901759.8,10-JUL-2017,398,INE748C01020
3MINDIA,EQ,13999,13999,13414.6,13667.65,13674.85,13688.4,49,669990.45,10-JUL-2017,36,INE470A01017
63MOONS,EQ,64.2,65.5,63.75,64.1,64,64.3,14629,940084.45,10-JUL-2017,145,INE111B01023
8KMILES,EQ,547,565,525.15,548.5,547.95,547,24593,13545183.5,10-JUL-2017,299,INE650K01021
A2ZINFRA,EQ,42.8,43,41.7,42.6,42.9,43.7,194727,8298840,10-JUL-2017,1141,INE619I01012
AARTIDRUGS,EQ,562.6,562.6,542.1,547.9,552,554.95,2036,1115601.45,10-JUL-2017,145,INE767A01016
AARTIIND,EQ,940,944.95,922.05,938.5,937,931.35,14835,13917521.35,10-JUL-2017,298,INE769A01020
AARVEEDEN,EQ,65,66,62.4,63.85,63.55,64.85,2019,129860.85,10-JUL-2017,31,INE273D01019
ABAN,EQ,191.75,191.75,185,189,189.45,190.8,96687,18278226.4,10-JUL-2017,1534,INE421A01028
ABB,EQ,1458,1475,1450,1451.45,1450.5,1458,6354,9240123.3,10-JUL-2017,466,INE117A01022
ABBOTINDIA,EQ,4293.8,4369,4293.8,4350.75,4368,4289.75,1239,5372382.85,10-JUL-2017,143,INE358A01014
ABFRL,EQ,175.8,177.55,175,176.75,176,175.75,53520,9457789.05,10-JUL-2017,951,INE647O01011
ABGSHIP,BZ,14.25,14.95,14.25,14.8,14.95,14.25,14866,219390.05,10-JUL-2017,57,INE067H01016
ABMINTLTD,BE,82,82,79,82,82,82.45,106,8392,10-JUL-2017,3,INE251C01017
ACC,EQ,1615.25,1635,1563.3,1628.1,1628.5,1609.35,58983,95910855,10-JUL-2017,1763,INE012A01025
ACCELYA,EQ,1330,1389,1312.2,1339.05,1340,1339.8,7227,9671047.25,10-JUL-2017,785,INE793A01012
ACCORD,SM,86.4,93.1,77,78.55,77.7,86.4,282000,23236800,10-JUL-2017,136,INE113X01015
ACE,EQ,74.1,77,72.15,73,72.7,73.9,83379,6114987,10-JUL-2017,681,INE731H01025
ADANIENT,EQ,138.9,138.9,131.2,134.85,134.45,134.2,619714,83722137.15,10-JUL-2017,3776,INE423A01024
ADANIPORTS,EQ,382.7,382.7,371.9,374.95,374,371.6,860478,322493143.2,10-JUL-2017,8328,INE742F01042
ADANIPOWER,EQ,30,30,28,29.8,29.7,28.4,3846095,113973589.45,10-JUL-2017,6333,INE814H01011
ADANITRANS,EQ,128.35,129,124,128.5,128,128.6,58548,7483791.45,10-JUL-2017,507,INE931S01010
ADFFOODS,EQ,264.5,284.8,259,260.85,262.1,256.6,13865,3619066.9,10-JUL-2017,346,INE982B01019
ADHUNIK,EQ,5.85,6.1,5.8,5.85,5.8,5.85,3090,18053.85,10-JUL-2017,10,INE400H01019
ADHUNIKIND,EQ,99.5,101.45,97.25,99.55,100.8,98.9,127901,12670657.65,10-JUL-2017,284,INE452L01012
ADLABS,EQ,77.25,77.25,72,75.1,75.2,77.05,131568,9890043.75,10-JUL-2017,790,INE172N01012
ADORWELD,EQ,376.25,379,376.25,376.35,377,377.7,562,211696.35,10-JUL-2017,33,INE045A01017
ADSL,BE,27.2,27.65,27.05,27.4,27.4,26.95,24273,664641.55,10-JUL-2017,88,INE102I01027
ADVANIHOTR,EQ,63.95,63.95,62.85,63,63,63.9,1551,97901.8,10-JUL-2017,32,INE199C01026
ADVENZYMES,EQ,351.6,353.95,314.4,350.5,350.9,351.3,34837,12225923.1,10-JUL-2017,710,INE837H01020
AEGISCHEM,EQ,190,192,183.7,189.25,188.05,189.4,65087,12348079.25,10-JUL-2017,359,INE208C01025
AFL,BE,48.5,50.5,48.5,50.3,50.5,48.1,4397,216844,10-JUL-2017,18,INE020G01017
AGCNET,BE,118.15,118.15,118.1,118.1,118.1,124.25,20,2362.05,10-JUL-2017,2,INE676A01019
AGRITECH,EQ,62,62,57.8,58.55,57.85,60.8,9844,572917.5,10-JUL-2017,101,INE449G01018
AHLEAST,EQ,292,292,290,290.1,290,292.75,1340,388770,10-JUL-2017,7,INE926K01017
AHLUCONT,EQ,339.6,339.6,328,330.65,330,348,8051,2668237.45,10-JUL-2017,252,INE758C01029
AHLWEST,EQ,167.35,167.35,167.35,167.35,167.35,167,1,167.35,10-JUL-2017,1,INE915K01010
AIAENG,EQ,1410,1436.8,1400,1419.5,1417,1417.9,2192,3112569.95,10-JUL-2017,170,INE212H01026
AIFL,EQ,404.95,475,400.3,402.1,401.1,404.6,40755,16442111.6,10-JUL-2017,650,INE428O01016
AIRAN,SM,151,151,151,151,151,154.9,9000,1359000,10-JUL-2017,3,INE645W01018
AJANTPHARM,EQ,1555.1,1599,1534.95,1537.65,1540,1549,25620,39543405.5,10-JUL-2017,1010,INE031B01049
AJMERA,EQ,222.25,224,221.1,221.75,221.3,222.25,5767,1282420.05,10-JUL-2017,156,INE298G01027
AKASH,SM,83.5,84.8,83.5,84.8,84.8,96.75,3000,251900,10-JUL-2017,3,INE737W01013
AKSHARCHEM,EQ,824,848,824,828.85,827.05,811.2,3082,2567163.45,10-JUL-2017,187,INE542B01011
AKSHOPTFBR,EQ,23.5,23.5,22,22.35,22.4,22.4,550707,12354771.9,10-JUL-2017,1186,INE523B01011
AKZOINDIA,EQ,1825,1830,1815.15,1823.4,1825,1816.6,2057,3751876.85,10-JUL-2017,228,INE133A01011
ALANKIT,BE,35.5,35.75,35,35.5,35.3,34.75,283069,10033884.45,10-JUL-2017,261,INE914E01040
ALBERTDAVD,EQ,327.75,332.5,324,325.05,325,327.1,586,191549.85,10-JUL-2017,17,INE155C01010
ALBK,EQ,70,72.45,63,72.15,71.85,69.6,1282841,92221131.5,10-JUL-2017,4662,INE428A01015
ALCHEM,EQ,17.95,17.95,16.2,16.5,16.4,15.45,10207,168455.25,10-JUL-2017,82,INE964B01033
ALEMBICLTD,EQ,42.5,42.5,41.6,41.9,42,41.85,101425,4264778.15,10-JUL-2017,582,INE426A01027
ALICON,EQ,487,517,487,501.65,500.15,503.35,309,153949.8,10-JUL-2017,18,INE062D01024
ALKALI,EQ,66,66,65.55,65.8,66,66.2,631,41524.55,10-JUL-2017,8,INE773I01017
ALKEM,EQ,1810.5,1848.1,1810.5,1835.95,1833,1821.55,5213,9579874.9,10-JUL-2017,807,INE540L01014
ALKYLAMINE,EQ,385.5,409.7,385.1,403.6,403,397.4,1213,487856.7,10-JUL-2017,56,INE150B01021
ALLCARGO,EQ,171,175,169,169.55,169.9,169.9,52442,8923531.35,10-JUL-2017,606,INE418H01029
ALLSEC,EQ,333,333,321,323.75,321.25,325.2,2181,707411.1,10-JUL-2017,93,INE835G01018
ALMONDZ,EQ,27.1,27.1,23,26.55,26.6,22.65,69275,1809779.55,10-JUL-2017,489,INE326B01027
ALOKTEXT,EQ,2.95,2.95,2.9,2.9,2.9,2.9,1289189,3766183.35,10-JUL-2017,261,INE270A01011
ALPA,BE,30.5,31.5,30.5,30.7,30.7,30.75,2707,84016,10-JUL-2017,17,INE385I01010
ALPHAGEO,EQ,848,859,835,843.65,845,833.55,4388,3712578.9,10-JUL-2017,195,INE137C01018
ALPSINDUS,EQ,6.25,6.45,6.25,6.4,6.4,6.35,6903,44163.85,10-JUL-2017,9,INE093B01015
AMARAJABAT,EQ,866.6,870.55,859,866.35,865.95,859.1,63717,55251164.8,10-JUL-2017,2455,INE885A01032
AMBIKCO,EQ,1345,1363.2,1282,1297,1291.1,1289.2,414,542130.25,10-JUL-2017,123,INE540G01014
AMBUJACEM,EQ,253,255.3,230.75,254.4,254.6,253.45,180006,45419056.5,10-JUL-2017,1775,INE079A01024
AMDIND,EQ,28,28.55,27.5,27.7,28.55,28.3,6568,182142.1,10-JUL-2017,65,INE005I01014
AMRUTANJAN,EQ,688,690,680,684.7,689.95,679.7,1094,751937,10-JUL-2017,72,INE098F01023
AMTEKAUTO,EQ,31.2,32,31.2,31.4,31.35,31.5,257170,8107166.15,10-JUL-2017,772,INE130C01021
ANANDAMRUB,BE,35,35,35,35,35,36,100,3500,10-JUL-2017,1,INE618N01014
ANANTRAJ,EQ,63,63.9,54.8,61.9,61.85,62,259781,16138097.15,10-JUL-2017,998,INE242C01024
ANDHRABANK,EQ,56,57.7,56,57.6,57.6,55.75,816741,46911044.55,10-JUL-2017,2509,INE434A01013
ANDHRACEMT,EQ,10.8,10.8,9.7,9.95,10,10.3,322951,3202883.35,10-JUL-2017,407,INE666E01012
ANDHRSUGAR,EQ,343,346.65,341,343.05,345,343,4951,1700178.05,10-JUL-2017,117,INE715B01013
ANGIND,EQ,8.25,8.4,8,8.2,8.25,8,7139,59274.85,10-JUL-2017,42,INE017D01010
ANKITMETAL,EQ,1.35,1.4,1.35,1.35,1.4,1.4,5581,7779.95,10-JUL-2017,16,INE106I01010
ANSALAPI,EQ,28.1,29.2,28.1,28.65,28.7,28.55,55087,1582655.2,10-JUL-2017,235,INE436A01026
ANSALHSG,EQ,29,29,26.4,28.8,28.6,28.75,7311,207543.15,10-JUL-2017,58,INE880B01015
ANTGRAPHIC,BE,1.7,1.75,1.65,1.75,1.75,1.7,45980,78435.45,10-JUL-2017,18,INE414B01021
APARINDS,EQ,818.4,839,790,805.75,805.1,800.65,4694,3798048.75,10-JUL-2017,256,INE372A01015
APCL,EQ,235.9,240,232,233.7,232,235.8,394,92224.4,10-JUL-2017,12,INE071F01012
APCOTEXIND,EQ,433.15,433.55,425.15,426.85,425.7,432.1,1249,534194.8,10-JUL-2017,64,INE116A01024
APLAPOLLO,EQ,1610,1683,1430.5,1600.6,1598.15,1597.95,3466,5541625.45,10-JUL-2017,172,INE702C01019
APLLTD,EQ,520,524.9,512.3,517.2,517.05,517.4,17902,9241800.65,10-JUL-2017,698,INE901L01018
APOLLOHOSP,EQ,1255,1260,1240.1,1248.85,1250.95,1247.6,48177,60187735.75,10-JUL-2017,2556,INE437A01024
APOLLOTYRE,EQ,260,260,251,257.25,257,258.75,301951,77659751.75,10-JUL-2017,2437,INE438A01022
APOLSINHOT,EQ,850,850,791.1,805.8,845,822.7,25,20321.4,10-JUL-2017,15,INE451F01016
APTECHT,EQ,213,213.4,208.5,209.05,209.4,211.7,80621,16910778.05,10-JUL-2017,610,INE266F01018
ARCHIDPLY,EQ,116.85,116.85,108.5,109.55,109.7,109.8,40243,4449029.95,10-JUL-2017,374,INE877I01016
ARCHIES,EQ,36.55,36.55,32.3,35.8,36,36.65,27818,1003096.1,10-JUL-2017,242,INE731A01020
