SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
IDEA,EQ,160.85,165.9,160.2,164.65,164.8,159.6,5941019,969937818.9,26-JUL-2013,65640,INE669E01016,
IDFC,EQ,117.5,119.4,114.7,115.8,115.65,116.6,11230866,1314037059.7,26-JUL-2013,65096,INE043D01016,
IFBAGRO,EQ,138.95,138.95,132.95,133.4,133,137.6,7206,966988.35,26-JUL-2013,173,INE076C01018,
IFBIND,EQ,52.5,52.5,49.65,50,49.8,51.3,15849,804163.25,26-JUL-2013,320,INE559A01017,
IFCI,EQ,24.6,24.85,23.2,23.55,23.6,24.4,6570492,157381293.4,26-JUL-2013,16885,INE039A01010,
IFGLREFRAC,EQ,28.4,28.4,27.3,27.45,27.3,27.8,524,14586.3,26-JUL-2013,18,INE023B01012,
IGARASHI,EQ,62.55,62.55,62.45,62.45,62.45,63,1232,76939.7,26-JUL-2013,7,INE188B01013,
IGL,EQ,286.4,294.4,285.5,287.4,290,285.4,245334,71037057.5,26-JUL-2013,6019,INE203G01019,
IGPL,EQ,20,21,18.65,20.75,21,20.3,3078,63041.45,26-JUL-2013,128,INE204A01010,
IIFLFIN,N1,1125,1125,1017,1030,1030,1030,695,734389.12,26-JUL-2013,28,INE866I07206,
IIFLFIN,N4,1006,1007,1006,1006.38,1007,1006.67,7539,7589405.46,26-JUL-2013,69,INE866I07230,
IIFLFIN,N5,1031.71,1036,1031.71,1034.45,1034.25,1038.49,2544,2632067.06,26-JUL-2013,45,INE866I08139,
IIFLFIN,N6,1013.2,1017,1012.5,1013.81,1012.5,1016,142,144197.06,26-JUL-2013,12,INE866I08147,
IIFLNIFTY,EQ,599,607,585,601.48,601.45,603.26,543,327668.5,26-JUL-2013,72,INF579M01019,
IL&FSENGG,EQ,30.3,30.3,27.7,28.75,28.9,29.6,17129,492135.95,26-JUL-2013,235,INE369I01014,
IL&FSTRANS,EQ,136.95,139.45,128,132.25,132.5,136.8,59047,7838977.1,26-JUL-2013,1568,INE975G01012,
IMFA,EQ,174.15,175.2,172,172.8,172,177.05,1155,200343.45,26-JUL-2013,57,INE919H01018,
IMPAL,EQ,415.25,420,413,417.8,413,414.05,33,13770.25,26-JUL-2013,8,INE547E01014,
IMPEXFERRO,EQ,3.2,3.2,3.15,3.15,3.15,3.3,2001,6403.15,26-JUL-2013,2,INE691G01015,
INDBANK,EQ,3.5,3.5,3.25,3.35,3.45,3.4,4293,14484.95,26-JUL-2013,63,INE841B01017,
INDHOTEL,EQ,48.05,48.45,47.75,47.95,47.75,48.05,345835,16601943.95,26-JUL-2013,928,INE053A01029,
INDIACEM,EQ,52.8,54,50.1,53.55,53.7,52.8,1835557,95873915.85,26-JUL-2013,12719,INE383A01012,
INDIAGLYCO,EQ,111.6,112,106.3,107.65,107.2,109.15,21670,2346783.35,26-JUL-2013,402,INE560A01015,
INDIAINFO,EQ,49.1,51.4,48.55,49.75,50.05,50.2,64398,3203015.5,26-JUL-2013,901,INE530B01024,
INDIANB,EQ,99.5,101,95.65,96.3,96.35,99,164019,15965957.9,26-JUL-2013,4740,INE562A01011,
INDIANCARD,EQ,87.1,90.95,87.1,88.2,88.2,88.5,10,878.95,26-JUL-2013,4,INE061A01014,
INDIANHUME,EQ,91,91.25,88.05,88.7,88.05,91.05,3281,296556.1,26-JUL-2013,365,INE323C01030,
INDLMETER,EQ,34.25,34.25,34.25,34.25,34.25,36.05,200,6850,26-JUL-2013,1,INE065B01013,
INDNIPPON,EQ,161.95,161.95,161.95,161.95,161.95,158.9,1,161.95,26-JUL-2013,1,INE092B01017,
INDOCO,EQ,65,66,63,63.2,63,64.55,9864,629596.4,26-JUL-2013,211,INE873D01024,
INDORAMA,EQ,14.65,14.7,14.25,14.35,14.35,14.35,10698,153914.1,26-JUL-2013,51,INE156A01020,
INDOSOLAR,EQ,1.85,1.9,1.75,1.85,1.9,1.8,77976,143501.1,26-JUL-2013,107,INE866K01015,
INDOTECH,EQ,66.05,78,65,67.95,66.65,65.3,7792,553624.05,26-JUL-2013,219,INE332H01014,
INDOTHAI,EQ,12.5,12.5,12.15,12.25,12.15,12.8,6438,79189.35,26-JUL-2013,42,INE337M01013,
INDOWIND,EQ,2.35,2.7,2.2,2.5,2.6,2.4,108764,270792.55,26-JUL-2013,170,INE227G01018,
INDRAMEDCO,EQ,33.25,33.8,33.05,33.35,33.45,33.5,20647,689518.85,26-JUL-2013,139,INE681B01017,
INDSWFTLAB,EQ,36.9,36.9,34.95,35.85,36,36.35,87270,3123792.25,26-JUL-2013,1205,INE915B01019,
INDSWFTLTD,EQ,6.25,6.4,6.25,6.25,6.4,6.3,232,1465.3,26-JUL-2013,7,INE788B01028,
INDTERRAIN,BE,85.8,85.8,85.8,85.8,85.8,82,920,78936,26-JUL-2013,2,INE611L01013,
INDUSINDBK,EQ,429.5,430.15,404.1,420.15,423.4,422.45,2335051,971669445.6,26-JUL-2013,51798,INE095A01012,
