SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532839,DISH TV     ,A ,Q,14.97,15.37,14.82,15.21,15.21,14.90,3353,2981625,45185164.00,
532841,SAHYA INDU  ,B ,Q,418.75,432.00,413.00,430.00,430.00,423.15,865,7374,3135332.00,
532842,SREE RAYALA ,B ,Q,574.95,574.95,547.35,551.30,553.85,561.05,371,1923,1071746.00,
532843,FORTIS      ,A ,Q,462.00,473.05,462.00,467.95,468.80,460.70,853,17165,8039278.00,
532845,TGBHOTELS   ,B ,Q,14.64,14.65,14.15,14.25,14.25,14.37,74,9580,136991.00,
532847,HILTON MET  ,B ,Q,120.00,121.00,118.15,119.75,119.75,118.90,482,19067,2282106.00,
532848,DELTA CORP  ,A ,Q,120.70,121.60,120.50,120.80,120.90,120.00,1115,79742,9646087.00,
532850,MIC ELECTRON,B ,Q,50.73,52.12,50.12,52.12,52.12,49.64,897,80092,4099739.00,
532851,INSECTCID   ,B ,Q,605.00,614.90,601.80,607.95,610.20,589.55,252,2865,1740313.00,
532853,ASAHI SONG  ,B ,Q,374.95,380.25,366.75,378.85,378.70,374.60,770,5455,2040417.00,
532855,HARYA CAPFIN,X ,Q,177.90,180.00,169.00,175.00,175.00,173.45,23,837,145410.00,
532856,TIME TECHNO ,A ,Q,290.00,290.85,284.15,285.85,286.00,283.80,1538,51333,14769958.00,
532859,HGSL        ,A ,Q,818.00,821.90,816.00,820.85,821.50,814.60,381,2603,2133326.00,
532864,NELCAST     ,B ,Q,145.25,148.00,144.20,145.45,145.05,146.40,546,21006,3062298.00,
532867,V2RETAIL    ,T ,Q,619.70,622.65,600.00,622.65,622.65,593.00,324,36726,22807365.00,
532868,DLF LIMITED ,A ,Q,854.85,869.50,850.00,856.05,856.70,847.30,2817,95306,82151044.00,
532869,TARMAT      ,T ,Q,74.34,75.85,74.34,75.85,75.85,75.85,47,7830,585830.00,
532870,ANKIT METAL ,T ,Q,3.90,3.92,3.85,3.89,3.90,3.94,61,10828,41860.00,
532872,SUNPHA ADV  ,A ,Q,223.40,223.65,218.00,219.15,219.15,217.95,1371,82249,18109937.00,
