SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
518017,BHEEMA CEM  ,Z ,Q,25.80,25.80,24.10,24.32,24.90,24.59,51,14129,343952.00,
518075,SURAJ PRODUC,Z ,Q,825.55,825.55,760.45,825.00,825.00,786.25,853,33608,27576962.00,
518091,ANJANI PORTL,B ,Q,178.50,182.10,178.50,181.15,181.35,176.30,39,709,127948.00,
519003,MODINATURAL ,X ,Q,209.50,209.90,203.35,208.00,208.00,205.70,35,2744,571550.00,
519064,KHANDEL. EXT,X ,Q,62.48,69.03,62.48,69.03,69.03,65.75,2,2,131.00,
519091,TASTY BITE  ,B ,Q,11611.75,11611.75,11201.75,11298.70,11310.00,11512.00,142,240,2718628.00,
519097,RITESH INTER,X ,Q,27.06,27.79,25.80,26.20,26.12,26.92,123,5718,151207.00,
519105,AVT NATURAL ,B ,Q,94.89,94.92,92.47,92.89,92.70,93.70,323,13945,1304447.00,
519126,HIND.FOODS  ,A ,Q,499.00,500.95,495.35,498.15,499.95,497.85,564,3727,1854663.00,
519136,NAHAR INDUST,B ,Q,123.05,123.25,121.75,122.75,122.85,123.50,61,1694,207079.00,
519152,VADILAL ENT ,X ,Q,3879.95,3940.00,3700.00,3840.00,3840.00,3800.00,21,116,448505.00,
519156,VADILAL IND ,B ,Q,4949.90,5139.80,4854.60,4965.70,4965.70,4839.90,907,3068,15347053.00,
519174,ASHIANA AGRO,X ,Q,10.32,10.83,9.82,10.83,10.83,10.32,14,958,10369.00,
519183,ADF FOODS LT,B ,Q,237.45,237.45,231.00,232.15,232.15,232.75,477,7504,1747080.00,
519191,RGRL        ,X ,Q,9.15,9.37,8.52,9.05,9.12,9.15,678,254544,2252716.00,
519216,AJANTA SOYA ,X ,Q,29.06,29.06,27.95,28.10,28.12,28.51,438,74771,2102902.00,
519224,WILLIAM.MAGO,B ,Q,39.00,39.15,38.20,38.20,38.20,39.05,20,763,29356.00,
519234,SIEL        ,X ,Q,49.49,49.49,46.50,47.11,46.75,48.24,19,634,29876.00,
519238,SAPTARISHI A,X ,Q,20.35,20.35,19.00,19.00,19.00,19.95,7,174,3433.00,
519242,SARDA PROT. ,X ,Q,63.14,63.14,63.14,63.14,63.14,60.14,14,1387,87575.00,
519285,TARAI FOODS ,Z ,Q,9.74,9.90,9.27,9.27,9.55,9.74,36,9372,89326.00,
519287,MODERN DAIRI,X ,Q,40.64,40.64,39.00,40.13,40.13,40.51,181,28640,1141002.00,
519295,BAMBINO AGRO,X ,Q,345.00,345.00,337.05,338.00,338.00,342.20,21,462,156590.00,
519299,PRIME INDS. ,Z ,Q,199.95,204.85,189.05,190.80,190.80,199.00,449,42833,8302007.00,
519307,VIKAS WSP   ,Z ,Q,1.36,1.36,1.29,1.33,1.33,1.32,92,124982,165016.00,
519331,VSF PROJ    ,X ,Q,77.00,78.50,76.90,77.38,77.50,78.01,19,1133,87675.00,
519359,POONA DAL   ,X ,Q,63.31,64.95,62.80,63.13,63.13,63.44,20,680,43201.00,
519367,TRANSGL.FOOD,X ,Q,150.00,150.00,140.00,150.00,150.00,142.90,30,391,58572.00,
519383,ANIK INDS   ,B ,Q,52.11,53.39,51.60,51.76,51.75,53.45,46,1036,53979.00,
519397,SHARAT INDUS,X ,Q,49.00,50.00,48.05,48.10,48.07,49.00,49,7439,368147.00,
519415,KMGMILK     ,P ,Q,32.74,32.74,29.80,29.80,29.80,31.19,2,200,6254.00,
519421,KSE LIMITED ,X ,Q,1915.60,1970.00,1890.85,1964.95,1964.95,1972.90,51,501,966585.00,
519455,NARBADA     ,XT,Q,69.10,69.10,67.25,67.61,67.25,69.36,28,1694,115364.00,
519457,VIRAT CRANE ,X ,Q,62.10,63.51,60.99,61.01,61.00,62.27,54,3825,237292.00,
519463,IB INFOTECH ,X ,Q,120.65,122.95,118.00,122.95,122.95,118.25,9,290,34779.00,
519471,AMBARPIL    ,X ,Q,164.50,164.50,155.15,155.50,155.50,165.20,9,88,13853.00,
519475,CHORDIA FOOD,X ,Q,87.00,90.90,87.00,90.90,90.90,87.00,8,1380,123527.00,
519477,CIANAGRO    ,X ,Q,40.10,41.75,40.10,41.50,41.50,40.10,6,538,21766.00,
519483,TAI INDUST. ,X ,Q,46.08,46.95,45.05,46.78,46.78,46.08,29,1954,89970.00,
519494,N K INDUST. ,B ,Q,57.99,57.99,57.99,57.99,57.99,55.60,1,2,115.00,
519500,BKV INDUSTRS,XT,Q,15.21,15.21,14.25,15.00,15.00,15.00,53,6130,89790.00,
519528,NORBEN TEA  ,B ,Q,12.61,12.80,12.38,12.74,12.76,13.00,123,3154,39919.00,
519532,ASIAN TEA   ,X ,Q,14.15,14.19,13.60,13.75,13.82,13.82,126,17607,243232.00,
519552,HERITGFOOD  ,B ,Q,363.00,365.00,353.95,358.10,361.65,358.45,727,18197,6513141.00,
519566,SIMRAN FARMS,XT,Q,135.00,139.00,132.05,136.45,136.45,135.70,28,1826,247704.00,
519574,HIND.AGRIGEN,X ,Q,48.46,48.46,46.10,47.99,48.46,46.16,34,1081,51310.00,
519600,CCL PRODUCTS,A ,Q,563.30,571.60,560.50,566.30,566.00,560.05,609,8178,4634600.00,
519602,KELLTONTEC  ,B ,Q,98.65,98.85,97.25,97.70,97.45,96.70,1203,87944,8625595.00,
519604,SURYO FOODS ,X ,Q,14.00,14.00,14.00,14.00,14.00,13.66,4,16,224.00,
519606,INTEG.PROEIN,X ,Q,14.70,15.43,14.31,15.43,15.43,14.70,8,3772,55716.00,
519612,MAHAAN FOODS,X ,Q,50.00,52.40,48.00,50.16,52.40,50.06,48,2303,112468.00,
520008,RICO AUTO   ,B ,Q,130.50,136.20,130.50,135.20,135.10,130.70,2436,232240,31161080.00,
520021,OMAX AUTOS. ,T ,Q,140.60,140.60,140.60,140.60,140.60,137.85,45,4248,597268.00,
520043,MUNJAL SHOWA,B ,Q,168.65,169.40,166.60,168.25,167.70,165.30,169,5541,928707.00,
