SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
539470,SHREEGANES  ,X ,Q,11.36,11.44,10.80,11.00,11.00,11.35,480,165754,1846600.00,
539479,GTV         ,X ,Q,94.50,94.90,85.90,93.40,92.95,90.40,254,23790,2141759.00,
539480,LICNETFN50  ,B ,Q,178.18,178.18,173.44,175.92,175.92,177.46,28,137,23927.00,
539487,LICNETFSEN  ,A ,Q,592.00,592.00,581.00,582.03,582.03,593.85,37,632,369031.00,
539494,SMARTFIN    ,X ,Q,8.01,8.96,7.76,8.55,8.55,8.38,140,60215,506276.00,
539515,QUINT       ,X ,Q,600.00,638.05,561.05,592.90,592.90,580.05,3940,108136,67856426.00,
539516,HDFCNIFETF  ,B ,Q,176.60,177.00,173.10,175.19,175.19,177.32,373,11712,2048594.00,
539517,SXETF       ,A ,Q,593.00,593.75,582.11,588.06,586.10,596.51,384,10389,6109539.00,
539518,UDAYJEW     ,X ,Q,101.45,101.45,94.45,95.55,94.60,95.55,46,2255,214977.00,
539519,MAYUKH      ,X ,Q,11.45,12.09,10.95,12.09,12.09,11.52,373,114111,1341277.00,
539522,GROVY       ,XT,Q,48.70,48.70,48.70,48.70,48.70,46.40,1,10,487.00,
539523,ALKEM       ,A ,Q,3247.95,3258.60,3160.75,3176.90,3167.00,3249.65,714,2411,7726252.00,
539524,LALPATHLAB  ,A ,Q,2450.00,2450.00,2342.70,2351.10,2350.00,2446.40,2403,13503,32292956.00,
539526,SCTL        ,T ,Q,1.90,1.92,1.85,1.92,1.92,1.83,1009,693936,1329813.00,
539527,CREATIVE    ,X ,Q,345.10,364.00,340.05,360.20,364.00,365.00,18,61,21486.00,
539528,AAYUSH      ,X ,Q,24.90,26.30,23.90,24.30,24.25,25.00,20,487,11882.00,
539542,LUXIND      ,A ,Q,2319.85,2329.55,2231.30,2284.70,2285.90,2338.40,1758,6540,14913749.00,
539545,APOORVA     ,X ,Q,41.50,43.00,39.65,42.95,42.95,41.70,19,757,31101.00,
539546,BNL         ,X ,Q,9.10,9.10,9.09,9.09,9.09,8.28,26,1678,15261.00,
539551,NH          ,A ,Q,655.00,676.15,650.00,654.45,652.00,674.45,868,9595,6366392.00,
539559,DDIL        ,XT,Q,12.35,13.23,12.35,13.23,13.23,12.60,19,120073,1585141.00,
