SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500250,L.G.BALKRISH,A ,Q,1263.70,1275.95,1253.95,1261.75,1268.60,1264.20,381,2252,2845907.00,
500251,TRENT LTD.  ,A ,Q,3098.85,3098.85,3036.75,3044.00,3045.00,3066.40,1942,10853,33162216.00,
500252,LAXMIMACH   ,A ,Q,14200.05,14393.40,14109.95,14148.60,14244.95,14155.70,265,704,10016734.00,
500253,LIC HOUS.FIN,A ,Q,578.95,579.15,560.00,561.45,561.45,574.85,2726,87134,49649082.00,
500257,LUPIN LTD.  ,A ,Q,1399.40,1401.00,1375.75,1382.55,1390.00,1389.05,1191,17978,24892898.00,
500259,LYKA LABS   ,T ,Q,132.10,132.10,127.80,129.00,129.00,132.10,34,4442,573884.00,
500260,RAMCOCEM    ,A ,Q,1039.75,1039.75,993.60,996.60,997.00,1028.25,1113,10948,11115022.00,
500262,HYBRIDFIN   ,T ,Q,10.43,10.43,10.43,10.43,10.43,10.64,3,1102,11493.00,
500264,MAFATLAL IND,X ,Q,141.90,145.00,141.85,143.75,144.80,140.85,276,49920,7167312.00,
500265,MAH.SEAMLESS,A ,Q,934.80,950.00,930.00,940.25,942.00,924.40,803,7049,6629475.00,
500266,MAH.SCOOTER ,A ,Q,7481.70,7556.00,7412.05,7453.05,7412.05,7484.50,155,317,2372118.00,
500267,MAJESTIC AUT,XT,Q,260.00,264.90,258.20,258.90,259.90,260.80,99,5264,1368379.00,
500268,MANALI PETRO,B ,Q,81.36,81.65,79.00,79.15,79.15,81.19,1933,168676,13466527.00,
500270,BARODA RAYON,X ,Q,197.00,205.00,196.60,199.05,198.05,199.90,274,6317,1258709.00,
500271,MFSL        ,A ,Q,950.00,955.00,907.65,910.50,910.50,948.35,1738,23410,21728476.00,
500277,MID INDIA IN,XT,Q,8.75,8.75,8.35,8.70,8.70,8.75,31,1160,10058.00,
500279,MIRC ELECT  ,T ,Q,16.69,16.69,16.20,16.38,16.38,16.53,45,49315,808390.00,
500280,CENTURY ENKA,B ,Q,460.50,462.60,452.00,458.35,461.40,459.20,269,2473,1130672.00,
500284,LORDS CHLORO,B ,Q,155.00,160.00,151.05,156.35,156.00,155.20,584,8649,1326369.00,
500285,SPICEJET LTD,B ,Q,62.40,62.60,60.95,61.09,61.09,62.20,10233,3637393,223470013.00,
500288,MOREPEN LAB.,A ,Q,50.49,51.21,49.30,49.98,49.98,50.03,2197,480839,24064887.00,
500290,MRF LTD.    ,A ,Q,133100.05,133555.00,131000.00,131759.15,131759.15,132789.90,324,522,69177725.00,
500292,HEIDEL CEM  ,A ,Q,228.75,230.40,222.00,224.05,224.65,230.35,1710,38292,8639800.00,
