SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
533271,ASHOKA      ,A ,Q,146.95,147.65,143.25,143.90,144.45,146.75,2596,230752,33559415.00,
533272,JWL         ,B ,Q,315.95,329.45,314.30,329.45,329.45,313.80,4650,371304,121397038.00,
533273,OBEROI REAL ,A ,Q,1339.95,1350.15,1318.90,1342.40,1342.40,1333.60,2479,32781,43875316.00,
533274,PRESTIGE    ,A ,Q,911.90,911.90,872.90,877.20,877.20,910.50,2032,24851,21992920.00,
533275,SHAH        ,B ,Q,3.34,3.44,3.26,3.34,3.34,3.33,625,1724716,5796561.00,
533278,COAL INDIA  ,A ,Q,348.45,348.50,342.45,345.25,345.25,345.70,8504,427194,147489675.00,
533282,GRAVITA     ,A ,Q,1130.00,1143.05,1130.00,1137.90,1137.90,1134.70,939,7033,8000949.00,
533284,RPP INFRA   ,T ,Q,97.98,97.98,97.00,97.19,97.19,97.72,121,46379,4513111.00,
533285,RDB REALTY  ,X ,Q,63.45,64.20,61.60,63.29,63.01,62.33,61,2752,174013.00,
533286,MOIL LTD    ,A ,Q,269.40,277.35,263.30,269.10,269.10,265.20,5450,364762,99041119.00,
533287,ZEE LEARN   ,T ,Q,7.99,7.99,7.69,7.69,7.69,7.84,208,397955,3134322.00,
533289,KESAR TERMI ,X ,Q,55.30,55.90,53.90,54.50,54.50,54.62,25,1077,58913.00,
533292,A2ZINFRA    ,T ,Q,11.90,12.00,11.11,11.21,11.25,11.69,131,65978,760228.00,
533293,KIRLOIL ENG ,A ,Q,540.05,544.05,534.10,539.25,541.00,540.40,501,7939,4274352.00,
533294,RAVI KUMAR  ,T ,Q,19.60,20.09,19.42,20.09,20.09,19.70,26,11851,231699.00,
533295,PUNJABNSIND ,B ,Q,41.49,43.34,40.80,42.44,42.44,41.91,1352,130557,5446777.00,
533296,FMNL        ,T ,Q,5.80,5.98,5.66,5.67,5.67,5.80,39,15739,91603.00,
533298,SURANASOL   ,B ,Q,26.37,29.50,25.50,28.93,28.93,25.61,2316,382899,10890026.00,
533301,SHEKHAWATI  ,B ,Q,0.64,0.64,0.64,0.64,0.64,0.61,2,5001,3200.00,
533302,KALYANI INV ,B ,Q,2752.60,2960.00,2744.70,2945.55,2913.05,2778.45,214,547,1582340.00,
533303,BF INVEST   ,B ,Q,494.00,511.00,494.00,507.30,507.30,497.10,206,1584,800891.00,
533306,SUMMIT SECU ,B ,Q,1070.05,1174.85,1067.70,1159.55,1140.10,1078.65,483,1730,1947233.00,
533315,INNO INVEST ,X ,Q,23.70,23.70,22.30,22.45,22.62,22.88,24,2731,61036.00,
533316,STEL        ,B ,Q,282.65,282.65,262.05,268.35,268.35,269.10,442,6758,1822625.00,
