SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
542057,BCPL        ,B ,Q,38.90,41.20,38.50,40.55,40.45,37.65,295,41411,1651747.00,
542066,ATGL        ,A ,Q,2197.00,2284.50,2164.00,2251.40,2251.40,2148.75,2001,13350,29643617.00,
542123,PHOSPHATE   ,XT,Q,96.00,96.00,96.00,96.00,96.00,93.00,4,159,15264.00,
542131,MAN50ETF    ,B ,Q,180.99,183.42,180.99,181.99,183.42,180.40,140,17485,3175153.00,
542141,TECHNOE     ,A ,Q,248.90,258.95,248.90,254.95,256.45,247.40,483,6092,1562170.00,
542146,SKIFL       ,M ,Q,8.16,8.16,8.16,8.16,8.16,6.80,1,10000,81600.00,
542155,DGL         ,M ,Q,3.27,3.42,3.27,3.42,3.42,3.26,3,6000,20200.00,
542206,NIVAKA      ,X ,Q,7.87,7.87,7.22,7.58,7.58,7.58,26,3478,26280.00,
542216,DALBHARAT   ,A ,Q,1502.85,1534.20,1485.85,1527.25,1527.60,1494.70,677,5023,7620215.00,
542230,ABSLNN50ET  ,B ,Q,42.30,42.70,41.90,42.55,42.55,41.98,15,204,8689.00,
542231,NILASPACES  ,B ,Q,4.23,4.24,3.85,3.89,3.91,4.05,335,568809,2232361.00,
542232,SRD         ,B ,Q,172.95,172.95,162.00,167.95,168.75,166.00,215,8584,1429962.00,
542233,TREJHARA    ,B ,Q,71.80,71.80,66.30,71.80,71.80,68.40,132,12083,852786.00,
542246,AXISCCDPD   ,B ,Q,15.50,15.50,15.50,15.50,15.50,15.45,5,50000,775000.00,
542248,DECCAN      ,M ,Q,34.50,35.15,34.50,35.15,35.15,35.75,4,4800,167160.00,
542285,AXITA       ,M ,Q,141.50,145.50,141.50,144.90,144.90,144.65,31,117000,16771500.00,
542323,KPIGLOBAL   ,B ,Q,570.70,573.95,532.15,541.90,542.20,553.75,717,6216,3388446.00,
542333,RPSGVENT    ,A ,Q,589.50,619.00,589.50,615.80,615.80,585.35,679,6636,4036620.00,
542337,SPENCER     ,B ,Q,80.95,85.00,80.95,84.15,84.15,80.50,797,40556,3402645.00,
542351,GLOSTERLTD  ,X ,Q,1109.80,1176.00,1109.80,1141.95,1143.85,1100.30,362,6284,7199697.00,
542352,AXISWJD1D   ,F ,Q,9.01,10.99,9.01,9.01,9.01,0.00,12,66000,660000.00,
542354,AXISWJGPG   ,F ,Q,9.01,10.99,9.01,10.99,10.99,0.00,2,5000,50000.00,
542355,AXISWJQDD   ,F ,Q,9.01,10.99,9.01,10.99,10.99,0.00,18,104000,1041200.00,
542356,AXISWJRDD   ,F ,Q,10.99,10.99,9.01,9.51,9.51,0.00,10,50000,502650.00,
542367,XELPMOC     ,B ,Q,282.05,298.00,278.45,292.05,291.15,278.45,370,2905,836118.00,
542383,RITCO       ,M ,Q,70.00,77.00,69.15,77.00,77.00,70.00,72,144000,10838640.00,
542399,CHALET      ,A ,Q,320.00,320.00,299.90,306.40,307.20,300.80,729,33238,10148720.00,
542437,ANMOL       ,B ,Q,201.00,219.20,198.65,215.35,215.00,200.35,81,1764,375599.00,
542459,KRANTI      ,B ,Q,34.15,37.95,34.15,37.00,37.00,34.70,65,11575,418657.00,
542460,ANUP        ,B ,Q,806.55,831.00,801.45,822.65,823.65,795.20,337,1626,1330963.00,
542484,ARVINDFASN  ,A ,Q,277.20,288.55,277.20,285.10,284.55,283.80,925,22780,6502149.00,
542513,UTISXN50    ,B ,Q,50.38,50.38,49.00,49.50,49.50,48.78,35,76,3750.00,
542579,AGOL        ,B ,Q,75.40,75.40,69.00,71.10,69.10,71.95,82,2333,169511.00,
542597,MSTC        ,A ,Q,306.00,318.55,304.60,314.95,315.00,306.30,1309,39804,12502610.00,
542602,EMBASSY     ,IF,Q,369.15,374.00,367.55,372.75,372.50,371.72,425,16094,5959579.00,
542627,CHANDNIMACH ,X ,Q,32.90,32.90,30.15,31.95,32.00,31.35,43,9038,295375.00,
542649,RVNL        ,A ,Q,32.80,33.50,32.80,33.35,33.35,32.70,2037,401272,13353398.00,
542650,METROPOLIS  ,A ,Q,2042.95,2102.95,2042.95,2091.65,2094.00,2036.70,1496,8110,16898272.00,
542651,KPITTECH    ,A ,Q,608.00,613.40,599.65,608.35,608.35,600.95,3049,73213,44511404.00,
542652,POLYCAB     ,A ,Q,2354.40,2442.80,2354.40,2436.60,2436.60,2365.15,3446,20250,48932999.00,
542655,VIKASLIFE   ,B ,Q,5.43,5.45,5.20,5.41,5.41,5.32,2019,2044945,10972553.00,
542665,NEOGEN      ,B ,Q,1755.00,1792.00,1712.30,1736.25,1736.25,1744.85,2837,13912,24339537.00,
542666,GKP         ,B ,Q,149.00,152.00,138.20,148.00,151.65,138.20,64,1892,276458.00,
542667,WORL        ,T ,Q,598.00,614.95,590.00,600.15,600.15,588.25,281,9326,5621758.00,
542669,BMW         ,X ,Q,27.00,27.50,25.85,27.15,26.90,26.45,196,18451,494163.00,
542670,AEPL        ,B ,Q,47.50,53.25,45.20,48.70,48.80,48.45,185,17952,887306.00,
542677,MAHESH      ,X ,Q,8.74,8.74,8.74,8.74,8.74,9.19,3,1245,10881.00,
542678,CHCL        ,M ,Q,19.20,20.00,19.20,20.00,20.00,19.05,2,4000,78400.00,
542679,DEL         ,X ,Q,18.20,18.70,18.20,18.50,18.50,16.80,21,4912,89913.00,
542682,HARISH      ,X ,Q,48.50,53.60,48.50,53.20,53.55,51.05,18,1055,55956.00,
542684,PPL         ,B ,Q,151.60,159.00,151.60,157.75,158.95,155.55,280,7232,1136735.00,
542685,DGCONTENT   ,T ,Q,15.90,17.50,15.90,17.45,17.45,16.70,63,98703,1586030.00,
542721,ARL         ,B ,Q,47.60,51.70,47.60,49.60,49.75,49.95,367,19996,980875.00,
542724,EARUM       ,B ,Q,5.50,5.69,5.25,5.69,5.69,5.42,809,319480,1785005.00,
542725,SBC         ,B ,Q,5.50,5.73,5.31,5.73,5.73,5.46,663,516527,2929188.00,
542726,INDIAMART   ,A ,Q,4350.00,4500.00,4328.00,4467.00,4467.00,4323.20,2847,12631,55853816.00,
542727,CPML        ,M ,Q,47.45,51.00,47.40,51.00,51.00,49.85,6,24000,1181000.00,
542729,DCMNVL      ,B ,Q,233.00,245.90,233.00,240.65,241.25,234.20,684,44773,10948275.00,
542730,ICICIBANKN  ,B ,Q,363.00,370.00,363.00,369.02,369.10,361.68,682,15216,5614309.00,
542747,NETFSNX150  ,A ,Q,49.67,51.90,48.00,49.13,48.90,48.70,75,4958,246281.00,
